instrument,family,tenor_bucket,venue,unit,reconciles_to_mid,n,n_trimmed,n_days,b0_bps,h_fit_bps,h_fit_se_bps_day_block,s_fit_bps,tau_bps,separation_h_over_s,fit_status,mle_reliable,flags,tick_bps,tick_hit_rate,sd_trimmed_bps,h_roll_bps,h_meanabs_bps,h_meanabs_1min_bps,h_medtick_bps,tick_pairs,pairs_1min,frac_dp_zero,p90_abs_dp_bps,p99_abs_dp_bps,round_trip_fit_bps,round_trip_roll_bps,round_trip_meanabs1m_bps,round_trip_lattice_bps,round_trip_ceiling_bps,round_trip_used_bps,bracket_ok,kill_threshold_used_bps,bucket
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,10Y,ALL,bp of spread,False,290,204,176,-0.42774326723550604,0.02396740394808826,,0.4793480789617651,4.79348078961765,0.05,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;SEPARATION_BELOW_FLOOR,,,0.48167130276047715,,,,,19,0,0.21052631578947367,109.22984,110.714,0.04793480789617652,,,,0.9633426055209543,,True,,S1|MM_INVOICE|10Y|ALL
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,20Y,ALL,bp of spread,False,101,65,78,0.01850000000000307,0.0071524156200740464,,0.5174856162142756,5.174856162142755,0.013821477150221778,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;LEPTOKURTIC_MOMENT_CHECK_FAILED;SEPARATION_BELOW_FLOOR;ROBUST_SCALE_FALLBACK,,,0.5215626131285318,,,,,2,0,0.0,0.24500000000000027,0.24950000000000003,0.014304831240148093,,,,1.0431252262570636,,True,,S1|MM_INVOICE|20Y|ALL
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,2Y,ALL,bp of spread,False,41,41,34,16.71903354179086,0.883456632014548,,17.66913264029096,176.69132640290962,0.05,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;SEPARATION_BELOW_FLOOR,,,17.93217808960895,,,,,0,0,,,,1.766913264029096,,,,35.8643561792179,,True,,S1|MM_INVOICE|2Y|ALL
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,30Y,ALL,bp of spread,False,325,213,178,0.11050000000000182,0.0048857120841922265,,0.2506687193715356,2.506687193715356,0.0194907130671966,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;LEPTOKURTIC_MOMENT_CHECK_FAILED;SEPARATION_BELOW_FLOOR;ROBUST_SCALE_FALLBACK,,,0.25130694428842576,,,,,23,0,0.08695652173913043,149.64404,157.95899999999997,0.009771424168384453,,,,0.5026138885768515,,True,,S1|MM_INVOICE|30Y|ALL
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,3Y,ALL,bp of spread,False,180,117,108,0.33046264394639296,0.02254880233912794,,0.4509760467825588,4.509760467825588,0.05,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;SEPARATION_BELOW_FLOOR,,,0.4544369466598609,,,,,4,0,0.25,0.6774999999999989,0.7652499999999985,0.04509760467825588,,,,0.9088738933197218,,True,,S1|MM_INVOICE|3Y|ALL
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,5Y,ALL,bp of spread,False,236,133,130,0.07076203656503983,0.016696893823769262,,0.3339378764753852,3.3393787647538513,0.05,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;SEPARATION_BELOW_FLOOR,,,0.33600997340938615,,,,,22,5,0.45454545454545453,1.577500000000002,76.47848699999999,0.033393787647538524,,,,0.6720199468187723,,True,,S1|MM_INVOICE|5Y|ALL
S1_SWAP_SPREAD,MATCHED_MATURITY+INVOICE,7Y,ALL,bp of spread,False,416,253,211,-0.5792000000000073,0.01355329324593981,,1.0461493909871626,10.461493909871626,0.01295540901013259,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;LEPTOKURTIC_MOMENT_CHECK_FAILED;SEPARATION_BELOW_FLOOR;ROBUST_SCALE_FALLBACK,,,1.0483109936396655,15.996829441055965,13.7416,,0.20225000000000115,48,11,0.3333333333333333,76.10470000000004,96.275004,0.02710658649187962,31.99365888211193,,,2.096621987279331,,True,,S1|MM_INVOICE|7Y|ALL
S1_SWAP_SPREAD,SPREADOVER,10Y,D2C,bp of spread,True,4205,4102,375,-0.0029000000000003467,0.005108119125119135,,0.16475035267282365,1.6475035267282365,0.031005209046582778,UNRESOLVED_FLOOR,False,LEPTOKURTIC_MOMENT_CHECK_FAILED;SEPARATION_BELOW_FLOOR;ROBUST_SCALE_FALLBACK,,,0.1648496178358896,2.2522123001214487,0.5233722692307693,0.13427744565217384,0.04999999999999716,2600,368,0.27576923076923077,0.375,12.323749999998256,0.01021623825023827,4.504424600242897,0.2685548913043477,,0.3296992356717792,0.3296992356717792,True,0.6593984713435584,S1|SPREADOVER|10Y|D2C
S1_SWAP_SPREAD,SPREADOVER,20Y,D2C,bp of spread,True,373,370,169,0.02130000000000365,0.00914234220807892,,0.3323535650191261,3.3235356501912614,0.027507880673862492,UNRESOLVED_FLOOR,False,N_BELOW_MINIMUM;LEPTOKURTIC_MOMENT_CHECK_FAILED;SEPARATION_BELOW_FLOOR;ROBUST_SCALE_FALLBACK,,,0.3329294935926742,0.4835347538228631,0.3620523364485967,,0.06450000000000244,107,6,0.056074766355140186,0.8636000000000025,4.419649999999999,0.01828468441615784,0.9670695076457262,,,0.6658589871853484,0.6658589871853484,True,1.3317179743706968,S1|SPREADOVER|20Y|D2C
S1_SWAP_SPREAD,SPREADOVER,2Y,D2C,bp of spread,True,884,842,302,0.026850000000000485,0.00818636095129373,,0.25218242719844025,2.521824271984402,0.03246205947907683,UNRESOLVED_FLOOR,False,LEPTOKURTIC_MOMENT_CHECK_FAILED;SEPARATION_BELOW_FLOOR;ROBUST_SCALE_FALLBACK,,,0.2524652297897011,0.297626592870778,0.728815350877193,,0.09225000000000083,228,13,0.10526315789473684,1.0119999999999991,2.4152199999999966,0.01637272190258746,0.595253185741556,,,0.5049304595794022,0.5049304595794022,True,1.0098609191588044,S1|SPREADOVER|2Y|D2C
