tenor,venue,k,sd_fwd_bps,oracle_edge_bps,kill_ceiling_bps,oracle_over_hurdle,min_hit_rate_to_clear
2Y,D2C,1,0.9283031031323319,0.6379929360770681,1.0098609191588044,0.631763170525011,1.291435815393429
2Y,D2D,1,0.9283031031323319,0.6379929360770681,0.6842971215532134,0.9323332160581878,1.0362889484018925
2Y,D2C,2,1.2483119187409213,0.890543615630784,1.0098609191588044,0.8818477859036178,1.066991274449543
2Y,D2D,2,1.2483119187409213,0.890543615630784,0.6842971215532134,1.3013990379053963,0.8842019130464018
2Y,D2C,3,1.469436817651206,1.0695092283834622,1.0098609191588044,1.0590658654999183,0.972114168049389
2Y,D2D,3,1.469436817651206,1.0695092283834622,0.6842971215532134,1.5629310641492933,0.8199117424108215
2Y,D2C,4,1.6484212113939374,1.236227828577945,1.0098609191588044,1.2241565200955595,0.9084445018198892
2Y,D2D,4,1.6484212113939374,1.236227828577945,0.6842971215532134,1.8065658756125742,0.77676820798492
2Y,D2C,5,1.7960371252294747,1.362820982618508,1.0098609191588044,1.349513538709581,0.8705038783665003
2Y,D2D,5,1.7960371252294747,1.362820982618508,0.6842971215532134,1.991563225525756,0.7510590643528298
3Y,D2C,1,0.8203925682143303,0.5644689266115194,0.990173818769578,0.5700705430819679,1.3770844346681272
3Y,D2D,1,0.8203925682143303,0.5644689266115194,0.6376377281806362,0.88525020033258,1.0648120721262249
3Y,D2C,2,1.091630777798584,0.76480710194373,0.990173818769578,0.7723968130101683,1.1473356590525157
3Y,D2D,2,1.091630777798584,0.76480710194373,0.6376377281806362,1.1994382831234667,0.9168617985895415
3Y,D2C,3,1.297584435416867,0.8996092428372601,0.990173818769578,0.9085366889978405,1.0503355076959235
3Y,D2D,3,1.297584435416867,0.8996092428372601,0.6376377281806362,1.4108469481630328,0.8543970525300535
3Y,D2C,4,1.4696535371238801,1.049303506550036,0.990173818769578,1.059716472663289,0.9718243161242889
3Y,D2D,4,1.4696535371238801,1.049303506550036,0.6376377281806362,1.6456107601160939,0.8038385577672853
3Y,D2C,5,1.6211887844116777,1.162869148958956,0.990173818769578,1.1744091056699266,0.9257460177940136
3Y,D2D,5,1.6211887844116777,1.162869148958956,0.6376377281806362,1.8237144660134148,0.7741657256757879
5Y,D2C,1,0.7867765982220754,0.5301876267316136,0.6506431747191316,0.8148669613886044,1.113597094607881
5Y,D2D,1,0.7867765982220754,0.5301876267316136,0.5432481728813493,0.9759584167941817,1.0123169096101399
5Y,D2C,2,1.0771134516206728,0.7411049148799237,0.6506431747191316,1.139034333526733,0.9389683307015654
5Y,D2D,2,1.0771134516206728,0.7411049148799237,0.5432481728813493,1.3642105981676045,0.866512326375118
5Y,D2C,3,1.2968939740672687,0.8801813250764461,0.6506431747191316,1.3527865338115643,0.8696074639294474
5Y,D2D,3,1.2968939740672687,0.8801813250764461,0.5432481728813493,1.6202195773766297,0.8086001471538644
5Y,D2C,4,1.4897529165994838,1.02753603583888,0.6506431747191316,1.5792619914632087,0.8166035798384175
5Y,D2D,4,1.4897529165994838,1.02753603583888,0.5432481728813493,1.891467081037572,0.7643450710893276
5Y,D2C,5,1.6462544626752662,1.1406413810548808,0.6506431747191316,1.7530982040152356,0.7852093504259016
5Y,D2D,5,1.6462544626752662,1.1406413810548808,0.5432481728813493,2.0996690610204922,0.7381327654354193
7Y,D2C,1,0.8931095222307389,0.6234063629070711,1.1239381403151951,0.5546625214909463,1.4014490444675944
7Y,D2D,1,0.8931095222307389,0.6234063629070711,0.572117701341462,1.0896470454337472,0.9588641818424506
7Y,D2C,2,1.240829481657298,0.8677018150609201,1.1239381403151951,0.7720191921039208,1.1476522929920834
7Y,D2D,2,1.240829481657298,0.8677018150609201,0.572117701341462,1.5166491318593935,0.8296741411687
7Y,D2C,3,1.4535077497139965,1.0016460168392953,1.1239381403151951,0.891193190186068,1.0610455796858225
7Y,D2D,3,1.4535077497139965,1.0016460168392953,0.572117701341462,1.7507691415432611,0.7855887667515444
7Y,D2C,4,1.6516074332834079,1.1491619110107423,1.1239381403151951,1.022442312250809,0.9890251449974696
7Y,D2D,4,1.6516074332834079,1.1491619110107423,0.572117701341462,2.008611004896837,0.7489282388581159
7Y,D2C,5,1.8147761117208898,1.2622668283910423,1.1239381403151951,1.1230750012959383,0.9452062412777777
7Y,D2D,5,1.8147761117208898,1.2622668283910423,0.572117701341462,2.206306194392109,0.7266231229694581
10Y,D2C,1,0.8922388943743123,0.5956729659834978,0.6593984713435584,0.9033581239122126,1.0534903453733588
10Y,D2D,1,0.8922388943743123,0.5956729659834978,0.5578963171317612,1.067712669346793,0.968290781176073
10Y,D2C,2,1.2488577627117317,0.8623895695072195,0.6593984713435584,1.3078428400812883,0.8823089324470537
10Y,D2D,2,1.2488577627117317,0.8623895695072195,0.5578963171317612,1.5457882459968713,0.8234595691194122
10Y,D2C,3,1.5064268655979298,1.0482556801142655,0.6593984713435584,1.5897150595123317,0.8145217735770726
10Y,D2D,3,1.5064268655979298,1.0482556801142655,0.5578963171317612,1.878943538296729,0.766106985020557
10Y,D2C,4,1.7349917496055998,1.2214737440410413,0.6593984713435584,1.8524060899811088,0.7699192162584064
