tenor,venue,n_raw,n_trimmed_out,n_zero_sign,n_signed,b0_bps,frac_pay,frac_capped,frac_block
10Y,D2C,4205,103,0,4102,-0.0029000000000003,0.5,0.01877133105802048,0.027547537786445635
10Y,D2D,20275,322,0,19953,-0.0029000000000038,0.4999749411116123,0.0010524733122838671,0.0
20Y,D2C,373,3,0,370,0.0213000000000036,0.5,0.008108108108108109,0.002702702702702703
20Y,D2D,110,0,0,110,-0.0259500000000016,0.5,0.01818181818181818,0.0
2Y,D2C,884,42,0,842,0.0268500000000004,0.5,0.048693586698337295,0.05938242280285035
2Y,D2D,345,9,0,336,0.0274999999999998,0.5,0.002976190476190476,0.0
30Y,D2C,3217,46,0,3171,-0.004800000000003,0.49984232103437404,0.005045726900031536,0.011668243456322927
30Y,D2D,9143,71,0,9072,-0.005200000000002,0.49955908289241624,0.00011022927689594356,0.0
3Y,D2C,1058,12,0,1046,0.0277000000000011,0.5,0.06692160611854685,0.06596558317399617
3Y,D2D,924,221,0,703,0.0048999999999956,0.5007112375533428,0.09246088193456614,0.0
5Y,D2C,3235,79,0,3156,0.004999999999999,0.5003168567807351,0.03485424588086185,0.04467680608365019
5Y,D2D,16578,851,0,15727,0.0010000000000012,0.5001589622941438,0.005341133083232657,0.0
7Y,D2C,631,18,0,613,0.0067000000000021,0.5008156606851549,0.01794453507340946,0.021207177814029365
7Y,D2D,498,10,0,488,-0.0182500000000018,0.5,0.020491803278688523,0.0
