spec,tenor,venue,k,n_days,usable_bucket_days,n_trades,nw_lag,rho_F,crit_beta,crit_edge,beta_bps_per_unit_F,beta_se,beta_t,beta_p_normal,beta_significant,beta_sign_expected,sign_ok,edge_bps_per_trade,edge_se,edge_t,edge_p_normal,edge_significant,edge_upper_sizecorr,mde_bps,hit_rate,mean_abs_F,sd_fwd_bps,kill_floor_bps,kill_ceiling_bps,mde_over_ceiling,verdict
primary,10Y,D2C,1,383,376,375,1,0.12553772019542295,2.512367234550866,2.5441948279601747,0.021244463973619652,0.08459202116049806,0.2511402811065611,0.8017056538075007,False,-1,False,0.0004386393229166667,0.047051590913562515,0.009322518418611642,0.9925618142274601,False,0.12014705357250037,0.15930803223582432,0.464,0.3906172481095456,0.8922388943743123,0.25,0.6593984713435584,0.24159599871565668,DEAD
primary,10Y,D2C,2,382,375,374,2,0.12107644856570107,2.5520205840861134,2.549528659075301,-0.06507264459646042,0.14873606430207345,-0.43750414468613363,0.6617457709191481,False,-1,True,0.030883421872388874,0.0708133459395317,0.4361243133287413,0.6627465377477542,False,0.21142407679023856,0.24013867048090387,0.4839572192513369,0.38944260980826334,1.2488577627117317,0.25,0.6593984713435584,0.3641783851752172,DEAD
primary,10Y,D2C,3,381,374,373,3,0.12431006647958491,2.6308588358100833,2.517445073178067,-0.2521085450058335,0.21189216046778098,-1.1897964721737198,0.23412639651364545,False,-1,True,0.1171820387443972,0.0932240659759546,1.2569934331615842,0.2087560134898665,False,0.3518685043371912,0.31314581899815963,0.4906166219839142,0.38890875238530576,1.5064268655979298,0.25,0.6593984713435584,0.47489618585270427,AMBIGUOUS
primary,10Y,D2C,4,380,373,372,4,0.12526315946557953,2.618805806253619,2.567814981018271,-0.15995580808218937,0.2552357637412944,-0.6266982563004756,0.530857047084109,False,-1,True,0.04460231206750356,0.11571181152251063,0.38546032147138765,0.6998963984390578,False,0.3417288351757689,0.3945120406607973,0.49193548387096775,0.3888695050209388,1.7349917496055998,0.25,0.6593984713435584,0.5982908026112931,AMBIGUOUS
primary,10Y,D2C,5,379,372,371,5,0.12469601431589462,2.5870711480435635,2.550345193030599,-0.34689180746700726,0.3104947389208163,-1.1172228188879976,0.2638990662377155,False,-1,True,0.08350728078672505,0.12994135071720722,0.6426536304710488,0.5204488752865517,False,0.41490257996425767,0.44075669906027926,0.5013477088948787,0.38940772689649605,1.9208523636042771,0.25,0.6593984713435584,0.6684223852721628,AMBIGUOUS
primary,10Y,D2D,1,383,376,374,1,0.15385019207125641,2.5381166270286566,2.540702527797049,-0.1702189941412258,0.22158616606898615,-0.7681842109594139,0.4423777524377264,False,-1,True,0.008993903583383816,0.048972397251229885,0.18365250811073874,0.8542860681167705,False,0.13341819707186486,0.16564050287408394,0.5374331550802139,0.16832775909986092,0.8922388943743123,0.25,0.5578963171317612,0.29690194716765583,DEAD
primary,10Y,D2D,2,382,375,373,2,0.1607084892017777,2.6242928737197717,2.5871341967175883,-0.6090354035874644,0.3112323746674948,-1.9568510642189059,0.050364981384526594,False,-1,True,0.10710920277613419,0.06280760914853147,1.7053539249175282,0.0881284360056924,False,0.2696009162183724,0.21535193093159072,0.5549597855227882,0.1676400409586625,1.2488577627117317,0.25,0.5578963171317612,0.3860070846833175,AMBIGUOUS
primary,10Y,D2D,3,381,374,372,3,0.15967066248420103,2.6673547003768463,2.565436567084556,-0.8775857789636049,0.4452058809175357,-1.9711908952212556,0.048702044952720534,False,-1,True,0.20378673717539797,0.08900487388063048,2.2896132345371107,0.02204374711140806,False,0.43212309527751647,0.3032447498515364,0.553763440860215,0.16747442544549304,1.5064268655979298,0.25,0.5578963171317612,0.5435503704533642,AMBIGUOUS
primary,10Y,D2D,4,380,373,371,4,0.16075586133092512,2.7167077605882453,2.6082733627023162,-0.8614325205917545,0.48615821154372546,-1.771918071395728,0.07640815814337285,False,-1,True,0.2148053254078662,0.1014577146609005,2.117190655494306,0.03424367014686136,False,0.4794347799985452,0.35001842155907487,0.5471698113207547,0.16767544498884104,1.7349917496055998,0.25,0.5578963171317612,0.627389733200926,AMBIGUOUS
primary,10Y,D2D,5,379,372,370,5,0.1600934953920132,2.657957781294606,2.651626317150358,-0.8704232170962981,0.5925018927882925,-1.4690640277959586,0.14181542349874324,False,-1,True,0.19322117985905826,0.1093276091217299,1.7673594201069356,0.07716805441299256,False,0.4831171453973647,0.3819084027909142,0.5162162162162162,0.1676863614249288,1.9208523636042771,0.25,0.5578963171317612,0.6845508584003018,AMBIGUOUS
primary,20Y,D2C,1,383,162,154,1,-0.060107671230863,2.546270022382896,2.5287080993405016,-0.06285182441086644,0.12819012631342638,-0.4903016029268353,0.623920492914563,False,-1,True,0.044810579968737316,0.11591287180905023,0.3865884717493351,0.6990608938562293,False,0.33792039773009996,0.39066455192027455,0.43506493506493504,0.7982969872365672,1.2601458008320752,0.25,1.3317179743706968,0.2933538177292253,UNINFORMATIVE_COVERAGE
primary,20Y,D2C,2,382,162,154,2,-0.060142335542241736,2.5428483519105183,2.492875425618611,-0.0612216117897835,0.1722071575975281,-0.3555114238216907,0.7222064881989203,False,-1,True,0.026731813108766236,0.16050894227449763,0.16654407368189045,0.8677288016617142,False,0.4268606108968976,0.5352165317846778,0.4805194805194805,0.7982969872365672,1.727272344167017,0.25,1.3317179743706968,0.40189930757493475,UNINFORMATIVE_COVERAGE
primary,20Y,D2C,3,381,161,153,3,-0.05914918794792522,2.5853874833684922,2.5273838777532256,-0.062032142148698524,0.18923038803078282,-0.32781279367565175,0.7430532134273864,False,-1,True,0.13111059650097018,0.16443151591153146,0.7973568556742563,0.4252438087677099,False,0.5466921588102978,0.553970617569055,0.5032679738562091,0.8027119543587417,2.1456988020054597,0.25,1.3317179743706968,0.41598193328496125,UNINFORMATIVE_COVERAGE
