bucket_key,n_sessions,frac_observed,n_z,z_ac1,z_ac5,level_mean_usd_per_bp,level_sd_usd_per_bp,abs_dv01_mean,mean_n_units
0-1Y,367,1.0,308,0.1899934301569285,0.13274359978299424,-24201.353633015395,418776.62198462844,3913225.580843449,1426.6294277929155
1-2Y,367,1.0,308,0.26559005552354226,0.1997549118563622,991.6866699267174,948497.6328186798,6741710.231852695,1426.6294277929155
10-15Y,367,1.0,308,0.3926845040435585,0.3025078978783538,-101855.90369067666,1144978.4058651666,4832223.15557845,1426.6294277929155
15-20Y,367,1.0,308,0.19907211837152985,0.21840068160240922,-72055.62369943775,844976.8645599425,3240004.028203515,1426.6294277929155
2-3Y,367,1.0,308,0.38976830304149324,0.21665009506365093,-55300.17415411624,821282.8352863722,5387964.907500697,1426.6294277929155
20-30Y,367,1.0,308,0.35920755500453166,0.25195503331983643,-172120.96161355896,2611628.1710484824,9952472.41510159,1426.6294277929155
3-5Y,367,1.0,308,0.4480669856842336,0.331915997156141,-59558.39416732981,2343700.6382917934,14074949.741956798,1426.6294277929155
30Y+,367,1.0,308,0.061047366261463176,0.031035221276600203,-6878.899846858529,153235.31221474166,407539.9848407638,1426.6294277929155
5-7Y,367,1.0,308,0.3990631717186877,0.23963997076830815,-25629.510702157226,1661513.5426157427,6225256.926586289,1426.6294277929155
7-10Y,367,1.0,308,0.5735890735734289,0.4026372040156698,-4758.90073116012,3008085.9053964512,15814347.892061735,1426.6294277929155
