bucket_key,0-1Y,1-2Y,10-15Y,15-20Y,2-3Y,20-30Y,3-5Y,30Y+,5-7Y,7-10Y
0-1Y,1.0,-0.108,-0.117,0.084,-0.213,0.045,-0.056,-0.027,-0.158,-0.203
1-2Y,-0.108,1.0,0.338,0.268,0.445,0.401,0.475,0.199,0.495,0.539
10-15Y,-0.117,0.338,1.0,0.439,0.317,0.418,0.408,0.143,0.338,0.464
15-20Y,0.084,0.268,0.439,1.0,0.213,0.411,0.314,0.15,0.188,0.272
2-3Y,-0.213,0.445,0.317,0.213,1.0,0.405,0.58,0.078,0.545,0.558
20-30Y,0.045,0.401,0.418,0.411,0.405,1.0,0.546,0.235,0.339,0.56
3-5Y,-0.056,0.475,0.408,0.314,0.58,0.546,1.0,0.118,0.561,0.628
30Y+,-0.027,0.199,0.143,0.15,0.078,0.235,0.118,1.0,0.074,0.123
5-7Y,-0.158,0.495,0.338,0.188,0.545,0.339,0.561,0.074,1.0,0.618
7-10Y,-0.203,0.539,0.464,0.272,0.558,0.56,0.628,0.123,0.618,1.0
