opened_at,closed_at,holding_period_steps,holding_period_days,realized_pnl,gross_realized_pnl,fee_allocated,date,tenor,rank,sector,signal_move_bp,hold_move_bp,trade_direction,entry_ts,exit_ts,gross_usd,fee_usd,net_usd,abs_signal_move_bp
2022-01-03 22:00:00-05:00,2022-01-04 08:00:00-05:00,1,0.4166666666666667,66785.44873511512,116786.44873511512,50001.0,2022-01-03,IMM_3xIMM_4,3,whites,-0.05298854441818657,1.1679069031702238,1.0,2022-01-03 22:00:00-05:00,2022-01-04 08:00:00-05:00,116786.44873511512,50001.0,66785.44873511512,0.05298854441818657
2022-01-04 22:00:00-05:00,2022-01-05 08:00:00-05:00,1,0.4166666666666667,-103951.1428182507,-53950.14281825069,50001.0,2022-01-04,IMM_3xIMM_4,3,whites,-0.24813653006613423,-0.5394907577375041,1.0,2022-01-04 22:00:00-05:00,2022-01-05 08:00:00-05:00,-53950.14281825069,50001.0,-103951.1428182507,0.24813653006613423
2022-01-05 22:00:00-05:00,2022-01-06 08:00:00-05:00,1,0.4166666666666667,256864.21847933624,306865.21847933624,50001.0,2022-01-05,IMM_3xIMM_4,3,whites,-0.521354862077561,3.0692614222743164,1.0,2022-01-05 22:00:00-05:00,2022-01-06 08:00:00-05:00,306865.21847933624,50001.0,256864.21847933624,0.521354862077561
2022-01-06 22:00:00-05:00,2022-01-07 08:00:00-05:00,1,0.4166666666666667,-74070.2468185965,-24069.246818596497,50001.0,2022-01-06,IMM_3xIMM_4,3,whites,-0.6772696935758549,-0.24067497837315655,1.0,2022-01-06 22:00:00-05:00,2022-01-07 08:00:00-05:00,-24069.246818596497,50001.0,-74070.2468185965,0.6772696935758549
2022-01-10 22:00:00-05:00,2022-01-11 08:00:00-05:00,1,0.4166666666666667,25853.481642371975,75854.48164237197,50001.0,2022-01-10,IMM_3xIMM_4,3,whites,0.9935505969597691,0.7585636594469203,-1.0,2022-01-10 22:00:00-05:00,2022-01-11 08:00:00-05:00,-75854.48164237197,50001.0,-125855.48164237197,0.9935505969597691
2022-01-11 22:00:00-05:00,2022-01-12 08:00:00-05:00,1,0.4166666666666667,144057.87645045947,194058.87645045947,50001.0,2022-01-11,IMM_3xIMM_4,3,whites,0.09254487188007365,1.9407792553357783,-1.0,2022-01-11 22:00:00-05:00,2022-01-12 08:00:00-05:00,-194058.87645045947,50001.0,-244059.87645045947,0.09254487188007365
2022-01-12 22:00:00-05:00,2022-01-13 08:00:00-05:00,1,0.4166666666666667,41131.30261521228,91132.30261521228,50001.0,2022-01-12,IMM_3xIMM_4,3,whites,-0.670288120656104,0.911375565556094,1.0,2022-01-12 22:00:00-05:00,2022-01-13 08:00:00-05:00,91132.30261521228,50001.0,41131.30261521228,0.670288120656104
2022-01-13 22:00:00-05:00,2022-01-14 08:00:00-05:00,1,0.4166666666666667,-36774.2683788389,13226.731621161103,50001.0,2022-01-13,IMM_3xIMM_4,3,whites,1.2698815718267031,0.13226851323222544,-1.0,2022-01-13 22:00:00-05:00,2022-01-14 08:00:00-05:00,-13226.731621161103,50001.0,-63227.7316211611,1.2698815718267031
2022-01-18 22:00:00-05:00,2022-01-19 08:00:00-05:00,1,0.4166666666666667,-336886.7814863939,-286885.7814863939,50001.0,2022-01-18,IMM_3xIMM_4,3,whites,1.4027507767224057,-2.8685726576698434,-1.0,2022-01-18 22:00:00-05:00,2022-01-19 08:00:00-05:00,286885.7814863939,50001.0,236884.78148639388,1.4027507767224057
2022-01-19 22:00:00-05:00,2022-01-20 08:00:00-05:00,1,0.4166666666666667,-251341.32388372906,-201340.32388372906,50001.0,2022-01-19,IMM_3xIMM_4,3,whites,-0.4960491117383836,-2.0130921915461952,1.0,2022-01-19 22:00:00-05:00,2022-01-20 08:00:00-05:00,-201340.32388372906,50001.0,-251341.32388372906,0.4960491117383836
2022-01-20 22:00:00-05:00,2022-01-21 08:00:00-05:00,1,0.4166666666666667,64228.23388311453,114229.23388311453,50001.0,2022-01-20,IMM_3xIMM_4,3,whites,-1.4891522833837878,1.142372455884022,1.0,2022-01-20 22:00:00-05:00,2022-01-21 08:00:00-05:00,114229.23388311453,50001.0,64228.23388311453,1.4891522833837878
2022-01-24 22:00:00-05:00,2022-01-25 08:00:00-05:00,1,0.4166666666666667,-256945.826178208,-206944.826178208,50001.0,2022-01-24,IMM_3xIMM_4,3,whites,1.9045395217568761,-2.0692818839616045,-1.0,2022-01-24 22:00:00-05:00,2022-01-25 08:00:00-05:00,206944.826178208,50001.0,156943.826178208,1.9045395217568761
2022-01-25 22:00:00-05:00,2022-01-26 08:00:00-05:00,1,0.4166666666666667,43003.9639428705,93004.9639428705,50001.0,2022-01-25,IMM_3xIMM_4,3,whites,0.60505302313002,0.9300880986263915,-1.0,2022-01-25 22:00:00-05:00,2022-01-26 08:00:00-05:00,-93004.9639428705,50001.0,-143005.9639428705,0.60505302313002
2022-01-26 22:00:00-05:00,2022-01-27 08:00:00-05:00,1,0.4166666666666667,138001.45882688835,188002.45882688835,50001.0,2022-01-26,IMM_3xIMM_4,3,whites,4.135009947415047,1.8803385241905168,-1.0,2022-01-26 22:00:00-05:00,2022-01-27 08:00:00-05:00,-188002.45882688835,50001.0,-238003.45882688835,4.135009947415047
2022-01-27 22:00:00-05:00,2022-01-28 08:00:00-05:00,1,0.4166666666666667,344322.53313143924,394323.53313143924,50001.0,2022-01-27,IMM_3xIMM_4,3,whites,0.2690190484970767,3.9443342877843124,-1.0,2022-01-27 22:00:00-05:00,2022-01-28 08:00:00-05:00,-394323.53313143924,50001.0,-444324.53313143924,0.2690190484970767
2022-01-31 22:00:00-05:00,2022-02-01 08:00:00-05:00,1,0.4166666666666667,-345137.84429475665,-295136.84429475665,50001.0,2022-01-31,IMM_3xIMM_4,3,whites,-1.575599609463696,-2.950879746550572,1.0,2022-01-31 22:00:00-05:00,2022-02-01 08:00:00-05:00,-295136.84429475665,50001.0,-345137.84429475665,1.575599609463696
2022-02-01 22:00:00-05:00,2022-02-02 08:00:00-05:00,1,0.4166666666666667,-13897.723399262875,36103.276600737125,50001.0,2022-02-01,IMM_3xIMM_4,3,whites,-0.7659865151045553,0.36103693271931636,1.0,2022-02-01 22:00:00-05:00,2022-02-02 08:00:00-05:00,36103.276600737125,50001.0,-13897.723399262875,0.7659865151045553
2022-02-02 22:00:00-05:00,2022-02-03 08:00:00-05:00,1,0.4166666666666667,162991.54421567172,212992.54421567172,50001.0,2022-02-02,IMM_3xIMM_4,3,whites,-2.0566761151723734,2.1302549881711874,1.0,2022-02-02 22:00:00-05:00,2022-02-03 08:00:00-05:00,212992.54421567172,50001.0,162991.54421567172,2.0566761151723734
2022-02-03 22:00:00-05:00,2022-02-04 08:00:00-05:00,1,0.4166666666666667,-204878.92165323347,-154877.92165323347,50001.0,2022-02-03,IMM_3xIMM_4,3,whites,0.8379497121498769,-1.5485955442907207,-1.0,2022-02-03 22:00:00-05:00,2022-02-04 08:00:00-05:00,154877.92165323347,50001.0,104876.92165323347,0.8379497121498769
2022-02-07 22:00:00-05:00,2022-02-08 08:00:00-05:00,1,0.4166666666666667,80274.87133689597,130275.87133689597,50001.0,2022-02-07,IMM_3xIMM_4,3,whites,1.8668663021799814,1.3028500909238794,-1.0,2022-02-07 22:00:00-05:00,2022-02-08 08:00:00-05:00,-130275.87133689597,50001.0,-180276.87133689597,1.8668663021799814
2022-02-08 22:00:00-05:00,2022-02-09 08:00:00-05:00,1,0.4166666666666667,-38422.11006776802,11578.889932231978,50001.0,2022-02-08,IMM_3xIMM_4,3,whites,-1.8922284187363525,0.11579205977350071,1.0,2022-02-08 22:00:00-05:00,2022-02-09 08:00:00-05:00,11578.889932231978,50001.0,-38422.11006776802,1.8922284187363525
2022-02-09 22:00:00-05:00,2022-02-10 08:00:00-05:00,1,0.4166666666666667,-72010.89936889336,-22009.899368893355,50001.0,2022-02-09,IMM_3xIMM_4,3,whites,-0.7655876359682123,-0.22009478094999757,1.0,2022-02-09 22:00:00-05:00,2022-02-10 08:00:00-05:00,-22009.899368893355,50001.0,-72010.89936889336,0.7655876359682123
2022-02-10 22:00:00-05:00,2022-02-11 08:00:00-05:00,1,0.4166666666666667,-259367.04926188104,-209366.04926188104,50001.0,2022-02-10,IMM_3xIMM_4,3,whites,4.5244679606650795,-2.0932581841683895,-1.0,2022-02-10 22:00:00-05:00,2022-02-11 08:00:00-05:00,209366.04926188104,50001.0,159365.04926188104,4.5244679606650795
2022-02-14 22:00:00-05:00,2022-02-15 08:00:00-05:00,1,0.4166666666666667,-30202.590760283172,19798.409239716828,50001.0,2022-02-14,IMM_3xIMM_4,3,whites,-0.3775661659014995,0.19798529194117176,1.0,2022-02-14 22:00:00-05:00,2022-02-15 08:00:00-05:00,19798.409239716828,50001.0,-30202.590760283172,0.3775661659014995
2022-02-15 22:00:00-05:00,2022-02-16 08:00:00-05:00,1,0.4166666666666667,89370.0297034774,139371.0297034774,50001.0,2022-02-15,IMM_3xIMM_4,3,whites,-2.9831956755514755,1.3937564944890957,1.0,2022-02-15 22:00:00-05:00,2022-02-16 08:00:00-05:00,139371.0297034774,50001.0,89370.0297034774,2.9831956755514755
2022-02-16 22:00:00-05:00,2022-02-17 08:00:00-05:00,1,0.4166666666666667,136976.70874554105,186977.70874554105,50001.0,2022-02-16,IMM_3xIMM_4,3,whites,-1.4023388089965172,1.8699384303055178,1.0,2022-02-16 22:00:00-05:00,2022-02-17 08:00:00-05:00,186977.70874554105,50001.0,136976.70874554105,1.4023388089965172
2022-02-17 22:00:00-05:00,2022-02-18 08:00:00-05:00,1,0.4166666666666667,-162531.19328874163,-112530.19328874163,50001.0,2022-02-17,IMM_3xIMM_4,3,whites,2.3346405315883834,-1.1252079305400287,-1.0,2022-02-17 22:00:00-05:00,2022-02-18 08:00:00-05:00,112530.19328874163,50001.0,62529.19328874163,2.3346405315883834
2022-02-22 22:00:00-05:00,2022-02-23 08:00:00-05:00,1,0.4166666666666667,294048.5747883152,344049.5747883152,50001.0,2022-02-22,IMM_3xIMM_4,3,whites,-0.523435740659095,3.4410993269960777,1.0,2022-02-22 22:00:00-05:00,2022-02-23 08:00:00-05:00,344049.5747883152,50001.0,294048.5747883152,0.523435740659095
2022-03-03 22:00:00-05:00,2022-03-04 08:00:00-05:00,1,0.4166666666666667,106552.52313630469,156553.5231363047,50001.0,2022-03-03,IMM_3xIMM_4,3,whites,-5.563118320898219,1.5656164720085464,1.0,2022-03-03 22:00:00-05:00,2022-03-04 08:00:00-05:00,156553.5231363047,50001.0,106552.52313630469,5.563118320898219
2022-03-07 22:00:00-05:00,2022-03-08 08:00:00-05:00,1,0.4166666666666667,199385.33240465634,249386.33240465634,50001.0,2022-03-07,IMM_3xIMM_4,3,whites,0.49779004327794585,2.4941862519071156,-1.0,2022-03-07 22:00:00-05:00,2022-03-08 08:00:00-05:00,-249386.33240465634,50001.0,-299387.33240465634,0.49779004327794585
2022-03-08 22:00:00-05:00,2022-03-09 08:00:00-05:00,1,0.4166666666666667,575094.4813471623,625095.4813471623,50001.0,2022-03-08,IMM_3xIMM_4,3,whites,-0.25853709328995667,6.253134764248491,1.0,2022-03-08 22:00:00-05:00,2022-03-09 08:00:00-05:00,625095.4813471623,50001.0,575094.4813471623,0.25853709328995667
