package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.8246769842756745,momentum,0.0,all,False,0,False,457,0.7461706783369803,42321.01503212298,19340703.869680203,5.643434709603803,-987660.2817328423
SFR12_outright,outright,IMM_12xIMM_13,1.2031389932176624,momentum,0.0,all,False,0,False,457,0.5579868708971554,31852.180532499333,14556446.503352195,1.6382479659388727,-3709551.549886804
SFR3_outright,outright,IMM_3xIMM_4,1.3537563489605162,momentum,0.0,all,False,0,True,428,0.5700934579439252,27117.929886745653,11606473.99152714,1.552577829263933,-3224958.0393316485
SFR5_7_9_fly,fly,IMM_5xIMM_6/IMM_7xIMM_8/IMM_9xIMM_10,0.39732113922673257,momentum,0.0,drop_low,True,2,True,240,0.5458333333333333,90771.1857605591,21785084.582534187,1.5517694749457855,-4147183.984272113
SFR8_outright,outright,IMM_8xIMM_9,1.3254433469541609,momentum,0.0,all,False,0,False,457,0.5820568927789934,29889.011013041236,13659278.032959845,1.4738375588447161,-5261257.767997388
SFR1Q5Q_curve,spread,IMM_1xIMM_2/IMM_5xIMM_6,1.2803408443043887,fade,2.0,all,False,0,False,31,0.5483870967741935,212913.1463030346,6600307.5353940725,1.2391389128570263,-1616473.0227943622
SFR8Q12Q_curve,spread,IMM_8xIMM_9/IMM_12xIMM_13,0.3869866127865534,momentum,2.0,drop_low,False,0,False,34,0.5882352941176471,214751.2384760201,7301542.108184684,1.1888426181802367,-2032248.7518504336
SFR5_outright,outright,IMM_5xIMM_6,1.476905905285168,momentum,0.0,all,False,0,True,428,0.5794392523364486,24340.000863889425,10417520.369744673,1.1418125240421229,-5591075.927847162
SFR5Q9Q_curve,spread,IMM_5xIMM_6/IMM_9xIMM_10,0.5412517432189677,momentum,0.0,all,True,2,False,383,0.5404699738903395,49732.19303538006,19047429.932550564,1.1241279634410886,-6013071.511569541
SFR3_5_7_fly,fly,IMM_3xIMM_4/IMM_5xIMM_6/IMM_7xIMM_8,0.5084575585818534,fade,1.0,all,False,0,False,182,0.5439560439560439,73061.54047602053,13297200.366635736,1.0205132910339374,-7248850.238272147
SFR8_10_12_fly,fly,IMM_8xIMM_9/IMM_10xIMM_11/IMM_12xIMM_13,0.28283810334035364,momentum,0.0,all,True,2,False,383,0.5195822454308094,44641.29670498017,17097616.638007402,1.0090140478673417,-6963994.586754546
SFR4_5_6_fly,fly,IMM_4xIMM_5/IMM_5xIMM_6/IMM_6xIMM_7,0.19281953033530194,fade,0.0,high_only,True,2,True,115,0.5391304347826087,68908.56642662671,7924485.139062071,0.8286124790535108,-4639246.5542241875
SFR4Q8Q_curve,spread,IMM_4xIMM_5/IMM_8xIMM_9,0.6062869215696687,fade,1.0,drop_low,True,2,True,71,0.5492957746478874,113410.00822072051,8052110.583671156,0.7727390792581845,-3632743.713779632
