package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,False,399,0.7543859649122807,42581.73660544235,16990112.905571498,5.47478287968843,-725575.8755392581
SFR5_7_9_fly,fly,IMM_5xIMM_6/IMM_7xIMM_8/IMM_9xIMM_10,0.403396879820065,momentum,0.0,drop_low,False,0,True,248,0.5483870967741935,99347.64965013122,24638217.11323254,1.7463061197500112,-3584164.8245277107
SFR3_outright,outright,IMM_3xIMM_4,1.416085455065521,momentum,0.0,all,False,0,True,372,0.5752688172043011,26359.80016029384,9805845.659629308,1.4368870282412967,-3488185.652814623
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,False,0,False,399,0.5488721804511278,29975.72449277038,11960314.072615381,1.4342068170642972,-4048533.344491739
SFR8_outright,outright,IMM_8xIMM_9,1.3390402203016987,momentum,0.0,all,False,0,False,399,0.5714285714285714,30424.8421726493,12139512.02688707,1.3948451403423496,-4237636.819478583
SFR8Q12Q_curve,spread,IMM_8xIMM_9/IMM_12xIMM_13,0.39072652934190605,momentum,1.5,high_only,False,0,False,32,0.625,194063.93509149412,6210045.922927812,1.12931740470611,-1360125.0075521655
SFR8_10_12_fly,fly,IMM_8xIMM_9/IMM_10xIMM_11/IMM_12xIMM_13,0.2839797047222643,momentum,0.0,all,True,2,False,379,0.5224274406332454,48833.551290968535,18507915.939277075,1.1023467763924206,-6963994.586754546
SFR4Q8Q_curve,spread,IMM_4xIMM_5/IMM_8xIMM_9,0.6309230771724389,fade,1.5,drop_low,False,0,True,36,0.6666666666666666,246609.70858458243,8877949.509044968,1.0345574759770673,-2304609.524414301
SFR5Q9Q_curve,spread,IMM_5xIMM_6/IMM_9xIMM_10,0.5650832447178319,momentum,0.0,all,True,2,False,379,0.5356200527704486,43889.7477141661,16634214.383668952,0.9901344712783822,-6013071.511569541
SFR4_5_6_fly,fly,IMM_4xIMM_5/IMM_5xIMM_6/IMM_6xIMM_7,0.19507946648129462,fade,0.0,high_only,False,0,True,120,0.5416666666666666,77109.56440804324,9253147.72896519,0.937621895739658,-3794507.0543327574
SFR5_outright,outright,IMM_5xIMM_6,1.5166073546490741,momentum,0.0,all,False,0,True,372,0.5752688172043011,20981.746976584327,7805209.875289369,0.9235856110896902,-5196673.686219871
SFR3_5_7_fly,fly,IMM_3xIMM_4/IMM_5xIMM_6/IMM_7xIMM_8,0.5126503354379888,fade,1.0,drop_low,False,0,False,122,0.5245901639344263,87369.0070853004,10659018.864406649,0.9183556799727154,-5007803.624420565
SFR1Q5Q_curve,spread,IMM_1xIMM_2/IMM_5xIMM_6,1.337140701419492,momentum,0.0,all,False,0,True,370,0.5540540540540541,17746.66826908995,6566267.259563282,0.6094337915415925,-5497789.9746850245
