,hour,n_units,n_compared,flip_rate,n_no_coverage
0,0,167,0,,167
1,1,187,181,0.44751381215469616,6
2,2,233,228,0.4166666666666667,5
3,3,240,234,0.3717948717948718,6
4,4,239,232,0.41810344827586204,7
5,5,222,215,0.44651162790697674,7
6,6,211,208,0.44711538461538464,3
7,7,256,251,0.40239043824701193,5
8,8,346,337,0.37388724035608306,9
9,9,383,373,0.40214477211796246,10
10,10,373,366,0.32786885245901637,7
11,11,364,357,0.24929971988795518,7
12,12,334,273,0.31135531135531136,61
13,13,284,229,0.3056768558951965,55
14,14,287,224,0.3392857142857143,63
15,15,271,222,0.36486486486486486,49
16,16,231,194,0.35051546391752575,37
17,17,61,51,0.13725490196078433,10
18,18,10,10,0.3,0
19,19,50,44,0.29545454545454547,6
20,20,180,147,0.4421768707482993,33
21,21,201,164,0.3719512195121951,37
22,22,215,168,0.4226190476190476,47
23,23,175,15,0.4,160
