,ts,bucket,horizon_min,innovation,flow_signed_by_innovation,expected_sign
0,2026-01-12 08:15:00-05:00,SFRH26,5,-17378.160935635933,550.0,-1
1,2026-01-12 08:15:00-05:00,SFRH26,15,-17378.160935635933,159.0,-1
2,2026-01-12 08:15:00-05:00,SFRH26,30,-17378.160935635933,159.0,-1
3,2026-01-12 08:15:00-05:00,SFRH26,60,-17378.160935635933,-11577.0,-1
4,2026-01-12 09:05:00-05:00,SFRH26,5,-68869.03171412964,-854.0,-1
5,2026-01-12 09:05:00-05:00,SFRH26,15,-68869.03171412964,-839.0,-1
6,2026-01-12 09:05:00-05:00,SFRH26,30,-68869.03171412964,-839.0,-1
7,2026-01-12 09:05:00-05:00,SFRH26,60,-68869.03171412964,-839.0,-1
8,2026-01-12 09:10:00-05:00,SFRH26,5,-27367.81469118339,-0.0,-1
9,2026-01-12 09:10:00-05:00,SFRH26,15,-27367.81469118339,15.0,-1
10,2026-01-12 09:10:00-05:00,SFRH26,30,-27367.81469118339,15.0,-1
11,2026-01-12 09:10:00-05:00,SFRH26,60,-27367.81469118339,15.0,-1
12,2026-01-12 09:20:00-05:00,SFRH26,5,-63539.320001066604,-0.0,-1
13,2026-01-12 09:20:00-05:00,SFRH26,15,-63539.320001066604,-0.0,-1
14,2026-01-12 09:20:00-05:00,SFRH26,30,-63539.320001066604,-0.0,-1
15,2026-01-12 09:20:00-05:00,SFRH26,60,-63539.320001066604,-0.0,-1
16,2026-01-12 09:35:00-05:00,SFRH26,5,66758.88575337865,0.0,-1
17,2026-01-12 09:35:00-05:00,SFRH26,15,66758.88575337865,0.0,-1
18,2026-01-12 09:35:00-05:00,SFRH26,30,66758.88575337865,0.0,-1
19,2026-01-12 09:35:00-05:00,SFRH26,60,66758.88575337865,0.0,-1
20,2026-01-12 10:05:00-05:00,SFRH26,5,59420.83729792099,0.0,-1
21,2026-01-12 10:05:00-05:00,SFRH26,15,59420.83729792099,0.0,-1
22,2026-01-12 10:05:00-05:00,SFRH26,30,59420.83729792099,0.0,-1
23,2026-01-12 10:05:00-05:00,SFRH26,60,59420.83729792099,0.0,-1
24,2026-01-12 10:10:00-05:00,SFRH26,5,201306.75417082768,0.0,-1
25,2026-01-12 10:10:00-05:00,SFRH26,15,201306.75417082768,0.0,-1
26,2026-01-12 10:10:00-05:00,SFRH26,30,201306.75417082768,0.0,-1
27,2026-01-12 10:10:00-05:00,SFRH26,60,201306.75417082768,0.0,-1
28,2026-01-12 10:15:00-05:00,SFRH26,5,-71978.62562833403,-0.0,-1
29,2026-01-12 10:15:00-05:00,SFRH26,15,-71978.62562833403,-0.0,-1
30,2026-01-12 10:15:00-05:00,SFRH26,30,-71978.62562833403,-0.0,-1
31,2026-01-12 10:15:00-05:00,SFRH26,60,-71978.62562833403,-0.0,-1
32,2026-01-12 10:40:00-05:00,SFRH26,5,-194877.14006321016,-0.0,-1
33,2026-01-12 10:40:00-05:00,SFRH26,15,-194877.14006321016,-0.0,-1
34,2026-01-12 10:40:00-05:00,SFRH26,30,-194877.14006321016,-0.0,-1
35,2026-01-12 10:40:00-05:00,SFRH26,60,-194877.14006321016,278.0,-1
36,2026-01-12 11:45:00-05:00,SFRH26,5,80666.07849091727,0.0,-1
37,2026-01-12 11:45:00-05:00,SFRH26,15,80666.07849091727,0.0,-1
38,2026-01-12 11:45:00-05:00,SFRH26,30,80666.07849091727,0.0,-1
39,2026-01-12 11:45:00-05:00,SFRH26,60,80666.07849091727,0.0,-1
40,2026-01-12 11:55:00-05:00,SFRH26,5,-20681.20063336334,-0.0,-1
41,2026-01-12 11:55:00-05:00,SFRH26,15,-20681.20063336334,-0.0,-1
42,2026-01-12 11:55:00-05:00,SFRH26,30,-20681.20063336334,-0.0,-1
43,2026-01-12 11:55:00-05:00,SFRH26,60,-20681.20063336334,-0.0,-1
44,2026-01-12 12:00:00-05:00,SFRH26,5,-21775.47297071633,-0.0,-1
45,2026-01-12 12:00:00-05:00,SFRH26,15,-21775.47297071633,-0.0,-1
46,2026-01-12 12:00:00-05:00,SFRH26,30,-21775.47297071633,-0.0,-1
47,2026-01-12 12:00:00-05:00,SFRH26,60,-21775.47297071633,-23.0,-1
48,2026-01-12 12:30:00-05:00,SFRH26,5,-30764.53742945598,-0.0,-1
49,2026-01-12 12:30:00-05:00,SFRH26,15,-30764.53742945598,-0.0,-1
50,2026-01-12 12:30:00-05:00,SFRH26,30,-30764.53742945598,-23.0,-1
51,2026-01-12 12:30:00-05:00,SFRH26,60,-30764.53742945598,-13.0,-1
