,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
0,0,FFF26,0.16341632033212464,240.0,-0.0465305875887626,96,50
1,0,FFG26,23.76700045659537,30.0,0.3925141478850677,96,92
2,0,FFH26,7.858564460315299,240.0,-0.14629469829480274,96,95
3,0,FFJ26,52.457108480502846,30.0,-0.4353766533698216,96,95
4,0,FFK26,0.05954703633936049,1.0,-0.02664806315576363,96,95
5,0,FFM26,1999.04515883988,5.0,0.8573143566320457,96,81
6,1,FFF26,0.133646159990727,1.0,-0.13194151590702638,96,67
7,1,FFG26,-0.6591320981868858,-30.0,0.45832830312960615,96,89
8,1,FFH26,5.938214664883456,15.0,-0.37488226180962475,96,92
9,1,FFJ26,-0.5874156770475449,-30.0,-0.18816094151629692,96,96
10,1,FFK26,-1.7761126489696737,-120.0,-0.26364140274180276,96,94
11,1,FFM26,-67.86289965895264,-120.0,-0.6445189044676666,96,85
12,2,FFF26,0.7174799093706593,120.0,0.13020924125756164,96,80
13,2,FFG26,0.13702506601957168,120.0,0.04337737730874982,96,93
14,2,FFH26,0.5459407691278423,1.0,-0.10614306338144895,96,93
15,2,FFJ26,-3.318977934601388,-60.0,0.3056002733296437,96,96
16,2,FFK26,0.029550034478067328,-240.0,-0.10852519172848388,96,96
17,2,FFM26,2.8286210615832283,15.0,-0.17361798473275633,96,69
18,3,FFF26,6.729002467623483,60.0,0.2796477496281135,96,84
19,3,FFG26,-13.994889045805117,-120.0,0.3595999165764885,96,82
20,3,FFH26,-303.04079827130704,-120.0,0.25616218839109495,96,96
21,3,FFJ26,0.03652823765001988,30.0,-0.060633174751172275,96,96
22,3,FFK26,0.01602807857497566,30.0,-0.13518800600714295,96,94
23,3,FFM26,-0.37132207687099716,-120.0,0.07745434268232364,96,85
24,4,FFF26,0.7522709053334253,60.0,0.026845326968372493,96,72
25,4,FFG26,-0.02707357525761624,-1.0,0.10021938801419523,96,69
26,4,FFH26,0.6998644817359685,-60.0,-0.4399606154048837,96,96
27,4,FFJ26,-19.487114917803304,-60.0,-0.43478101844690287,96,93
28,4,FFK26,1.6356722350066355,1.0,0.5361974978028248,96,96
29,4,FFM26,2.113134017295193,1.0,0.33880842194993127,96,79
