,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
0,0,SFRH26,-17.634773295137233,-15.0,-0.21336650343854477,96,95
1,0,SFRM26,-0.5269793946316499,-15.0,0.18041018244421123,96,95
2,0,SFRU26,-2.029028444186104,-1.0,0.21221256953783108,96,95
3,0,SFRZ26,2.683990725470254,240.0,-0.16396762265123818,96,95
4,0,SFRH27,-2.0848962919615603,-15.0,0.3515187917249529,96,95
5,0,SFRM27,-6.387561840271508,-15.0,0.3549674935391116,96,95
6,1,SFRH26,-0.8194803268362278,-60.0,-0.22302501591904259,96,96
7,1,SFRM26,-2.749879566385092,-60.0,-0.26281543925247836,96,96
8,1,SFRU26,-0.4000200245293868,-60.0,-0.08133420614471676,96,96
9,1,SFRZ26,-3.555837447546163,-1.0,0.302453547161731,96,96
10,1,SFRH27,-1.57073432142171,-1.0,0.3445279289309034,96,96
11,1,SFRM27,-6.523241828685169,-1.0,0.3873661175386332,96,96
12,2,SFRH26,-2.4675832680045895,1.0,-0.3359669134927936,96,96
13,2,SFRM26,1.2976902699439326,60.0,-0.18834872544174294,96,96
14,2,SFRU26,-4.310471605908252,-1.0,0.23770020216037568,96,96
15,2,SFRZ26,-316.65401632094216,-30.0,-0.36618296904790837,96,96
16,2,SFRH27,-1.057490219364742,-15.0,0.1504703769541083,96,96
17,2,SFRM27,0.05798205119426473,-240.0,0.17804244088295024,96,96
18,3,SFRH26,-3.6022684719165814,-5.0,-0.20673281283006797,96,96
19,3,SFRM26,-0.1486632035962226,-15.0,-0.09854877090443445,96,96
20,3,SFRU26,2.2725349032485065,30.0,0.358850912350856,96,96
21,3,SFRZ26,-3.4270382897143072,-30.0,0.3010427300013496,96,96
22,3,SFRH27,0.18443413137673154,0.0,0.22121601957002104,96,96
23,3,SFRM27,-0.5802629590027033,1.0,0.20702704457444607,96,96
24,4,SFRH26,-9.116727979099373,-1.0,-0.3249681392126549,96,96
25,4,SFRM26,-3.9123397649488023,-30.0,-0.337366678238697,96,96
26,4,SFRU26,0.07561087727926957,30.0,0.33780459475030056,96,96
27,4,SFRZ26,-0.21513654187544534,-60.0,0.21557563800817922,96,96
28,4,SFRH27,0.05112221610954439,5.0,0.15940733514467925,96,96
29,4,SFRM27,0.3004847518787101,5.0,0.1399954082559901,96,96
30,5,SFRH26,-1.78932763585005,-60.0,0.24539902901618074,96,96
31,5,SFRM26,3.9164136427125236,5.0,0.26845938784386425,96,96
32,5,SFRU26,0.08060945647916753,-60.0,-0.3115918746853816,96,96
33,5,SFRZ26,1.4826286106309132,60.0,0.17335837326392922,96,96
34,5,SFRH27,-0.884321046007907,-60.0,-0.2639897728203904,96,96
35,5,SFRM27,-56.049204283842116,-60.0,-0.4667923113067976,96,96
36,6,SFRH26,0.07625270268439681,120.0,-0.2710714967355016,96,96
37,6,SFRM26,-3.6538481921942063,-120.0,-0.332441211639841,96,96
38,6,SFRU26,1.0670168169882976,60.0,0.2884936271192953,96,96
39,6,SFRZ26,-0.42668234485040424,0.0,-0.16419938714966664,96,96
40,6,SFRH27,-0.7391692699193677,-240.0,0.1555195491366621,96,96
41,6,SFRM27,-1.2015175105946514,-60.0,0.22708192437979674,96,96
42,7,SFRH26,-0.23175171165376515,-60.0,-0.13063838876906406,96,96
43,7,SFRM26,-3.3387072881706215,-240.0,-0.2400291284468609,96,96
44,7,SFRU26,-27.90546807724558,-5.0,0.4424873894889413,96,96
45,7,SFRZ26,-164.31755386392481,-5.0,0.4434867947890406,96,96
46,7,SFRH27,-8.663381497307284,-240.0,-0.4051810317405853,96,96
47,7,SFRM27,0.3825028864271626,1.0,-0.18454870274295856,96,96
48,8,SFRH26,-0.5237200932354379,-1.0,0.10215177763460806,96,96
49,8,SFRM26,5.280979802283019,30.0,0.32088072470633855,96,96
50,8,SFRU26,-0.023483877174165977,-5.0,-0.17171778194342502,96,96
51,8,SFRZ26,-0.1093941825172158,30.0,-0.19491574696115177,96,96
52,8,SFRH27,-1.9037013031169903,-15.0,0.1232545294620954,96,96
53,8,SFRM27,-0.3206937439097724,-120.0,-0.0936651697325541,96,96
54,9,SFRH26,0.6066355423276993,1.0,0.10189989082983493,96,96
55,9,SFRM26,-0.421037723757621,-1.0,-0.17210803711984893,96,96
56,9,SFRU26,1.8712477957071536,30.0,0.2326124527617977,96,96
57,9,SFRZ26,-2.4637869419294125,-1.0,-0.19017409689319875,96,96
58,9,SFRH27,-9.64091616217864,-240.0,-0.3813886532477941,96,96
59,9,SFRM27,94.8675018681966,5.0,0.47385403168995677,96,96
60,10,SFRH26,0.12156316080650952,-30.0,0.15883248749590143,96,96
61,10,SFRM26,8.135631693981873,15.0,0.39358456987408924,96,96
