,spec,term,coef,se,t,n,n_blocks,design_rank,design_cols,design_cond,rank_deficient
0,signal only,const,0.02119265590796746,0.020371749836549675,1.040296296489218,16090,99,2,2,1.4355373549180905,False
1,signal only,signal,-0.012211857483185967,0.00828040944258555,-1.4747890871653353,16090,99,2,2,1.4355373549180905,False
2,signal + controls,const,6.398757157288741,0.00372745677743615,1716.6549578852494,16090,99,14,14,32329552.072305933,False
3,signal + controls,signal,-0.011759491855806187,0.009903328764561268,-1.1874282006962282,16090,99,14,14,32329552.072305933,False
4,signal + controls,basis_bp,0.013324633833134491,0.016215214730793598,0.8217365020661902,16090,99,14,14,32329552.072305933,False
5,signal + controls,abs_basis_bp,-0.02172433186750159,0.020628375612839003,-1.0531285776074617,16090,99,14,14,32329552.072305933,False
6,signal + controls,signed_basis_dv01,1.5345241292843287e-07,2.3761939097770138e-07,0.6457907845695687,16090,99,14,14,32329552.072305933,False
7,signal + controls,level_bp,-0.017360241374113593,0.00043715748186015863,-39.71164190132041,16090,99,14,14,32329552.072305933,False
8,signal + controls,slope_bp,0.0013998997001930579,0.007249198343243218,0.19311096674542869,16090,99,14,14,32329552.072305933,False
9,signal + controls,curvature_bp,-0.00831794761293651,0.009996373890060051,-0.8320964886284922,16090,99,14,14,32329552.072305933,False
10,signal + controls,trailing_60m_bp,-0.11339510284168774,0.029874903542365838,-3.7956642330537154,16090,99,14,14,32329552.072305933,False
11,signal + controls,realized_vol_bp,-0.35562787365080434,0.2538975803928292,-1.4006745282904172,16090,99,14,14,32329552.072305933,False
12,signal + controls,amihud,1.4425147520280759,1.6373871562682445,0.8809857500749544,16090,99,14,14,32329552.072305933,False
13,signal + controls,tod_min,1.7550205957192998e-05,0.0002391020430451983,0.0734004851387883,16090,99,14,14,32329552.072305933,False
14,signal + controls,days_to_expiry,0.0006338542137749606,0.0003791765378115177,1.671659901304439,16090,99,14,14,32329552.072305933,False
15,signal + controls,days_to_fomc,-0.003227544161118048,0.0024110145041548138,-1.3386664226018292,16090,99,14,14,32329552.072305933,False
