,spec,term,coef,se,t,n,n_blocks,design_rank,design_cols,design_cond,rank_deficient
0,signal only,const,0.009459666910456315,0.04429125876633242,0.21357864224096043,42426,99,2,2,1.3441300030894634,False
1,signal only,signal,0.0034634984174829425,0.02473298591146556,0.14003559577808017,42426,99,2,2,1.3441300030894634,False
2,signal + controls,const,22.447187294390996,16.096892395742962,1.3945044013792038,42426,99,14,14,280050642.0713476,False
3,signal + controls,signal,0.013233849190778718,0.026306640904766445,0.5030611562565901,42426,99,14,14,280050642.0713476,False
4,signal + controls,basis_bp,0.047354884973539936,0.023427358995492784,2.021349695569637,42426,99,14,14,280050642.0713476,False
5,signal + controls,abs_basis_bp,-0.03284221741858958,0.02104008070426383,-1.5609359051523986,42426,99,14,14,280050642.0713476,False
6,signal + controls,signed_basis_dv01,3.1881232890815236e-07,1.8656992972269596e-07,1.7088087527395863,42426,99,14,14,280050642.0713476,False
7,signal + controls,level_bp,-0.06022857215339513,0.043944904511501244,-1.3705473438366929,42426,99,14,14,280050642.0713476,False
8,signal + controls,slope_bp,0.03201308756247822,0.023038018167922357,1.3895764526764962,42426,99,14,14,280050642.0713476,False
9,signal + controls,curvature_bp,0.02532923323058094,0.017302096082078618,1.4639401555986487,42426,99,14,14,280050642.0713476,False
10,signal + controls,trailing_60m_bp,-0.05059401910761664,0.02805338541096718,-1.8034906791619323,42426,99,14,14,280050642.0713476,False
11,signal + controls,realized_vol_bp,-0.17234192868180911,0.25276595219626746,-0.6818241427864036,42426,99,14,14,280050642.0713476,False
12,signal + controls,amihud,33.58757367316103,0.08638493766902358,388.81284839087243,42426,99,14,14,280050642.0713476,False
13,signal + controls,tod_min,-0.00029911703841050026,0.00048626295282541275,-0.6151343355945417,42426,99,14,14,280050642.0713476,False
14,signal + controls,days_to_expiry,0.00010351656555458374,0.00018677274276699608,0.554238075754573,42426,99,14,14,280050642.0713476,False
15,signal + controls,days_to_fomc,-0.006528560456513769,0.004773321117256428,-1.367718679749374,42426,99,14,14,280050642.0713476,False
