,spec,term,coef,se,t,n,n_blocks,design_rank,design_cols,design_cond,rank_deficient
0,signal only,const,0.018231507479558273,0.04894355864652446,0.37250065143869376,38436,99,2,2,1.3352650129094565,False
1,signal only,signal,0.01328282708249192,0.026504550683578473,0.501152697929779,38436,99,2,2,1.3352650129094565,False
2,signal + controls,const,23.048864062259174,17.475559942517545,1.3189199166192058,38436,99,16,16,291402656.728794,False
3,signal + controls,signal,0.023308747146356147,0.02785415218831198,0.8368140946733552,38436,99,16,16,291402656.728794,False
4,signal + controls,basis_bp,0.01950069973656817,0.027562775198596786,0.7075013163972308,38436,99,16,16,291402656.728794,False
5,signal + controls,abs_basis_bp,0.0014936090202268323,0.0263818384188932,0.05661504693157369,38436,99,16,16,291402656.728794,False
6,signal + controls,signed_basis_dv01,1.7299977796148003e-07,1.9146308674698956e-07,0.903567266676798,38436,99,16,16,291402656.728794,False
7,signal + controls,level_bp,-0.06214374476966649,0.0476913048737514,-1.303041402078925,38436,99,16,16,291402656.728794,False
8,signal + controls,slope_bp,0.03268044295038821,0.02498902188003765,1.3077920019148412,38436,99,16,16,291402656.728794,False
9,signal + controls,curvature_bp,0.027048198536541793,0.01867434146379088,1.4484151202326265,38436,99,16,16,291402656.728794,False
10,signal + controls,trailing_60m_bp,-0.03895814206284495,0.03236112569471757,-1.203856207919375,38436,99,16,16,291402656.728794,False
11,signal + controls,realized_vol_bp,-0.20186983691168134,0.2670461785874772,-0.7559360631163429,38436,99,16,16,291402656.728794,False
12,signal + controls,amihud,2.9753234574168634,0.08783897270131029,33.87247557566757,38436,99,16,16,291402656.728794,False
13,signal + controls,tod_min,-0.00022250457252089625,0.0005175192102492553,-0.42994456652870966,38436,99,16,16,291402656.728794,False
14,signal + controls,days_to_expiry,0.00021716275650354505,0.00020020130437930575,1.0847219860870825,38436,99,16,16,291402656.728794,False
15,signal + controls,days_to_fomc,-0.006464527699805909,0.005221426975552701,-1.2380768188607336,38436,99,16,16,291402656.728794,False
16,signal + controls,indep_basis_bp,0.19622970339657855,0.043210255762393186,4.541276137674739,38436,99,16,16,291402656.728794,False
17,signal + controls,abs_indep_basis_bp,0.13264959531398113,0.05769807543676218,2.2990298083575897,38436,99,16,16,291402656.728794,False
