,held_out,mean_bp,t,n
0,FFF26,-0.00913156236366721,-1.0495228961955954,41258
1,FFG26,-0.009289085324747717,-1.0370317907926732,40047
2,FFH26,-0.009659356649176226,-1.0464957753979223,38486
3,FFJ26,-0.011389877475622189,-1.1860976780172134,36809
4,FFK26,-0.011306070468377926,-1.1082192440119203,35335
5,FFM26,-0.01164446618142354,-1.2360942196495974,34759
6,FFN26,-0.004590060145620156,-0.5018864128859983,34749
7,FFQ26,-0.006184652078659048,-0.835880709854473,36057
8,FFU26,-0.007621228873799489,-1.0163894764598842,37986
9,FFV26,-0.009278011239941587,-1.0871111100144724,39502
10,FFX26,-0.008832415574294426,-1.0160185402638877,41042
11,<none>,-0.009001754681157218,-1.0425241921556214,41603
