,conditioner,bucket,n,n_blocks,mean_net_bp,t,stars,median_value
0,block_share,q1,546,59,-0.37454212454214497,-5.4880113122144,***,1.2376794105268359e-08
1,block_share,q2,546,68,-0.6666666666666738,-9.437041384302477,***,0.024627833113485383
2,block_share,q3,547,59,-0.5959780621572093,-4.650756902044806,***,0.2580271742886699
3,level_prox_bp,q1,546,86,-0.5695970695970922,-8.089543658217227,***,-9.05570137967166
4,level_prox_bp,q2,546,88,-0.5998168498168501,-7.9854741071574065,***,-1.3474939956505239
5,level_prox_bp,q3,547,88,-0.4680073126142523,-5.906159242231731,***,7.466568978904547
6,realized_vol_bp,q1,477,88,-0.4606918238994098,-10.133638679572027,***,0.2574643252722779
7,realized_vol_bp,q2,477,90,-0.5890985324947404,-7.49281736334766,***,0.39648073054920896
8,realized_vol_bp,q3,477,78,-0.4150943396226234,-3.387409563928133,***,0.6336522323126367
9,amihud,q1,477,83,-0.48427672955976275,-10.416178848197918,***,7.205026226301197e-05
10,amihud,q2,477,92,-0.5151991614255955,-5.221748262261267,***,0.00016838109233400196
11,amihud,q3,477,87,-0.46540880503141546,-4.321696670221214,***,0.000342453408312653
12,days_to_fomc,q1,570,34,-0.7219298245614111,-8.338983025023268,***,5.0
13,days_to_fomc,q2,542,34,-0.5442804428044088,-5.715122060172785,***,15.0
14,days_to_fomc,q3,527,31,-0.3567362428842783,-3.3020057798311235,***,29.0
15,tod_min,q1,557,88,-0.6364452423698496,-5.668843303109648,***,540.0
16,tod_min,q2,535,91,-0.5037383177570166,-6.470345853950492,***,695.0
17,tod_min,q3,547,88,-0.49451553930529885,-6.8245846861285075,***,820.0
