,variant,mean,se,t,n,n_blocks,lo,hi,n_boot,stars,hit_rate,share_long,share_agreeing,p_sign
0,FUTURES->FUTURES|hl30|expected|h5,-0.49734106840706,0.006472185260462476,-76.8428356717839,12411,99,-0.5111230717654921,-0.4853323076859132,200,***,0.10402062686326646,0.34082668600435095,1.0,3.1554436208840472e-30
1,FUTURES->FUTURES|hl30|expected|h15,-0.48217400784998077,0.018429538201405683,-26.163108515285735,4586,99,-0.52324944511872,-0.4471786029064914,200,***,0.15896205843872657,0.34430876580898384,0.9494949494949495,2.3807607549403916e-22
2,FUTURES->FUTURES|hl30|expected|h30,-0.4722115013508326,0.03718186489443279,-12.7000488730606,2591,99,-0.5580126807543353,-0.4022908580886553,200,***,0.20223851794673872,0.3523736009262833,0.898989898989899,5.521266925181343e-17
3,FUTURES->FUTURES|hl30|expected|h60,-0.5046052631578971,0.06942994061226583,-7.267833714216819,1520,99,-0.6508599426703026,-0.36952017762110284,200,***,0.24276315789473685,0.3631578947368421,0.8787878787878788,3.3697570742087657e-15
4,FUTURES->FUTURES|hl30|expected|h240,-0.5422619047619476,0.19434451035686046,-2.790209529285042,420,95,-0.9188587617688226,-0.23979238650368287,200,**,0.3404761904761905,0.42857142857142855,0.7157894736842105,3.1140616591069675e-05
5,FUTURES->FUTURES|hl30|expected|h1440,-0.4266666666666462,0.37405949691811613,-1.1406385085312942,375,78,-1.235679360331291,0.28396774424526017,200,,0.416,0.38133333333333336,0.5512820512820513,0.4282070357175808
6,FUTURES->FUTURES|hl30|unweighted|h5,-0.495346700750919,0.006627333313869822,-74.74298896574993,12518,99,-0.509202684758631,-0.4828088591061274,200,***,0.10472918996644831,0.3485381051286148,1.0,3.1554436208840472e-30
7,FUTURES->FUTURES|hl30|unweighted|h15,-0.4811361665221174,0.0168785384668332,-28.505795538373388,4612,99,-0.5209165427509289,-0.44830888338391395,200,***,0.15741543798785776,0.3534258456201214,0.9595959595959596,1.2388827013668045e-23
8,FUTURES->FUTURES|hl30|unweighted|h30,-0.4621299500192245,0.03653347268401772,-12.64949417801698,2601,99,-0.5429218166283885,-0.38459096586178876,200,***,0.2095347943098808,0.3590926566705113,0.898989898989899,5.521266925181343e-17
9,FUTURES->FUTURES|hl30|unweighted|h60,-0.551662320730125,0.05779081620170743,-9.545847540977041,1534,99,-0.685607375235926,-0.4346004658758532,200,***,0.24119947848761408,0.3754889178617992,0.8888888888888888,4.529579978466477e-16
10,FUTURES->FUTURES|hl30|unweighted|h240,-0.6367370892018903,0.1747791559060568,-3.643095115667765,426,97,-1.0120152645175482,-0.3130969123193006,200,***,0.32629107981220656,0.41784037558685444,0.711340206185567,3.803794805755344e-05
11,FUTURES->FUTURES|hl30|unweighted|h1440,-0.5186666666666307,0.3986028624708963,-1.301211595550197,375,78,-1.302046767203888,0.2276220316622908,200,,0.4266666666666667,0.3626666666666667,0.5641025641025641,0.30816823194368076
12,FUTURES->FUTURES|hl90|expected|h5,-0.5020550953815266,0.005304634841071578,-94.64460993513129,15936,99,-0.5129964475461015,-0.4926725460063505,200,***,0.10272339357429719,0.2824422690763052,1.0,3.1554436208840472e-30
13,FUTURES->FUTURES|hl90|expected|h15,-0.5135219564441247,0.01552963966753955,-33.06721646075932,5602,99,-0.5441985939926401,-0.4855615067418616,200,***,0.15601570867547304,0.28025705105319526,0.98989898989899,3.155443620884047e-28
14,FUTURES->FUTURES|hl90|expected|h30,-0.5318455366098309,0.030475512456545138,-17.451569924154235,2991,99,-0.5916096478554888,-0.4769465641207814,200,***,0.2019391507856904,0.2795051822133066,0.9595959595959596,1.2388827013668045e-23
15,FUTURES->FUTURES|hl90|expected|h60,-0.545759609518004,0.05779353173724009,-9.44326455076868,1639,99,-0.6810291711538147,-0.44122027021569254,200,***,0.23550945698596706,0.2769981696156193,0.898989898989899,5.521266925181343e-17
16,FUTURES->FUTURES|hl90|expected|h240,-0.6212871287128735,0.21217068662603805,-2.9282420611096227,404,95,-1.0451601065608904,-0.1719813373410218,200,**,0.35396039603960394,0.3341584158415842,0.6842105263157895,0.00042479272889474573
17,FUTURES->FUTURES|hl90|expected|h1440,-0.8242296918767504,0.33646016483006846,-2.449709588334278,357,77,-1.5293683466400452,-0.25693862741035395,200,*,0.40336134453781514,0.26330532212885155,0.5844155844155844,0.17106097355391156
18,FUTURES->FUTURES|hl90|unweighted|h5,-0.5010532837670396,0.005039899119832013,-99.41732400860842,16140,99,-0.5118292208846527,-0.4929267228822516,200,***,0.10260223048327137,0.29287484510532835,0.98989898989899,3.155443620884047e-28
19,FUTURES->FUTURES|hl90|unweighted|h15,-0.5119488536155204,0.014556034294612441,-35.17090185786425,5670,99,-0.5434584165081302,-0.48761037431457105,200,***,0.15343915343915343,0.290299823633157,0.98989898989899,3.155443620884047e-28
20,FUTURES->FUTURES|hl90|unweighted|h30,-0.5402612433862463,0.028324349801567186,-19.07409162685717,3024,99,-0.5997723174145081,-0.49663576565469747,200,***,0.2027116402116402,0.289021164021164,0.9696969696969697,5.105507778590388e-25
21,FUTURES->FUTURES|hl90|unweighted|h60,-0.6108091787439712,0.05651174540587948,-10.808535010854976,1656,99,-0.7344384472052159,-0.5127457526188071,200,***,0.2288647342995169,0.29045893719806765,0.9090909090909091,6.053134256946273e-18
22,FUTURES->FUTURES|hl90|unweighted|h240,-0.6713759213759262,0.21272935536459867,-3.156009758151381,407,97,-1.0433567381870918,-0.30275630212335153,200,***,0.33906633906633904,0.32923832923832924,0.6701030927835051,0.0010496073324912283
23,FUTURES->FUTURES|hl90|unweighted|h1440,-0.6925207756232825,0.3532700683798228,-1.960315457234577,361,78,-1.3576587782685865,-0.0004877588438475788,200,*,0.407202216066482,0.29085872576177285,0.5897435897435898,0.14053828626952244
24,FUTURES->FUTURES|hl240|expected|h5,-0.5029064821641247,0.004551398060114551,-110.49494584340253,17633,98,-0.5143747813140849,-0.49578167579726856,200,***,0.09862190211535189,0.21578857823399308,1.0,6.310887241768095e-30
25,FUTURES->FUTURES|hl240|expected|h15,-0.5103388141504741,0.01366979547389681,-37.333317468062546,6021,98,-0.540100635363208,-0.4876835572427035,200,***,0.14914466035542268,0.21209101478159775,1.0,6.310887241768095e-30
26,FUTURES->FUTURES|hl240|expected|h30,-0.5178974524347001,0.027138818871972337,-19.083271636760863,3101,98,-0.5809020263865491,-0.4738280698933432,200,***,0.1986455981941309,0.21025475653015158,0.9387755102040817,7.09532095861481e-21
27,FUTURES->FUTURES|hl240|expected|h60,-0.5262336039975034,0.05920363887977738,-8.888534792026997,1601,98,-0.6656356341025456,-0.4225720695634649,200,***,0.2448469706433479,0.2042473454091193,0.8367346938775511,7.380354309112728e-12
28,FUTURES->FUTURES|hl240|expected|h240,-0.5219414893616859,0.2517033872686674,-2.073637129104533,376,95,-1.036927102760169,-0.1498225487106958,200,*,0.3696808510638298,0.2047872340425532,0.6421052631578947,0.007313123139453616
29,FUTURES->FUTURES|hl240|expected|h1440,-0.884164222873851,0.3751204431327121,-2.357014231189332,341,77,-1.6716740618660988,-0.2977762265656082,200,*,0.41055718475073316,0.1935483870967742,0.5974025974025974,0.11001559898513336
30,FUTURES->FUTURES|hl240|unweighted|h5,-0.5007574482410372,0.004485691674555195,-111.63438875693407,17823,98,-0.5114598418731446,-0.4936993264109606,200,***,0.09891712955170286,0.2271783650339449,0.9897959183673469,6.2477783693504135e-28
31,FUTURES->FUTURES|hl240|unweighted|h15,-0.5046774987690776,0.013278673447150608,-38.006620222848646,6093,98,-0.5350957576348886,-0.4849307974033127,200,***,0.15181355654029213,0.22386344986049564,1.0,6.310887241768095e-30
32,FUTURES->FUTURES|hl240|unweighted|h30,-0.5217667619955532,0.026320428263675276,-19.823642562672184,3147,98,-0.5807078802565423,-0.4777541368719077,200,***,0.1938353987925008,0.22243406418811568,0.9387755102040817,7.09532095861481e-21
33,FUTURES->FUTURES|hl240|unweighted|h60,-0.5610128126906624,0.055982981618399194,-10.021131359432303,1639,98,-0.6852843969747741,-0.4611089435465021,200,***,0.24161073825503357,0.2141549725442343,0.8571428571428571,2.4575158375112673e-13
34,FUTURES->FUTURES|hl240|unweighted|h240,-0.6783854166666562,0.23265144121935927,-2.91588744566181,384,95,-1.1465364837661294,-0.30576976248150284,200,**,0.3385416666666667,0.2109375,0.6947368421052632,0.00018640192629178003
35,FUTURES->FUTURES|hl240|unweighted|h1440,-0.8575581395348559,0.36037186642290003,-2.3796478566628805,344,77,-1.631412212471733,-0.33120911295906236,200,*,0.40406976744186046,0.20348837209302326,0.5974025974025974,0.11001559898513336
36,FUTURES->FUTURES|hl1440|expected|h5,-0.5047556971803788,0.004116587978872468,-122.61506368160538,20712,95,-0.511620426840891,-0.4971192458936533,200,***,0.0955484743144071,0.07990536886828892,1.0,5.048709793414476e-29
37,FUTURES->FUTURES|hl1440|expected|h15,-0.5138525305410114,0.013071786942401093,-39.3100448167666,6876,95,-0.5362683459349588,-0.48803774603013583,200,***,0.15372309482257127,0.07882489819662594,0.968421052631579,7.21844331423228e-24
38,FUTURES->FUTURES|hl1440|expected|h30,-0.534070926143024,0.02758923854644925,-19.357943686769826,3412,95,-0.5782546142068676,-0.4840658217756618,200,***,0.1937280187573271,0.07708089097303635,0.968421052631579,7.21844331423228e-24
39,FUTURES->FUTURES|hl1440|expected|h60,-0.5757666867107717,0.06219995663718794,-9.256705596584514,1663,94,-0.7024853305968731,-0.4534253494415984,200,***,0.22850270595309682,0.07516536380036079,0.9042553191489362,1.1976554450525877e-16
40,FUTURES->FUTURES|hl1440|expected|h240,-0.6911290322581062,0.28347251153980685,-2.4380813099087875,310,85,-1.2180275461920513,-0.19835468164225573,200,*,0.2967741935483871,0.07096774193548387,0.6352941176470588,0.016508822028535212
41,FUTURES->FUTURES|hl1440|expected|h1440,-0.6101973684210599,0.5535148535306543,-1.102404686213658,304,74,-1.6386250599592243,0.5388081395349076,200,,0.45723684210526316,0.0625,0.527027027027027,0.72754708348947
42,FUTURES->FUTURES|hl1440|unweighted|h5,-0.5037593984962412,0.004074179330741985,-123.64683967028449,20482,97,-0.5106155556901733,-0.49570321984882443,200,***,0.09603554340396446,0.08802851284054292,1.0,1.262177448353619e-29
43,FUTURES->FUTURES|hl1440|unweighted|h15,-0.5135154987512861,0.01237051566189411,-41.51124438030575,6807,97,-0.5340478636691969,-0.48934340308847446,200,***,0.15219626854708387,0.0877038342882327,0.979381443298969,6.000391589473104e-26
44,FUTURES->FUTURES|hl1440|unweighted|h30,-0.5351550960118184,0.025862499682880385,-20.692319094200432,3385,97,-0.5771781383025534,-0.48347579471148716,200,***,0.19202363367799113,0.08567208271787297,0.9690721649484536,1.9209583457473067e-24
45,FUTURES->FUTURES|hl1440|unweighted|h60,-0.5821710127350049,0.05557681153470232,-10.475070387431199,1649,96,-0.6637668447158142,-0.48776934908911146,200,***,0.22801697998787143,0.08308065494238932,0.875,1.8316192854098385e-14
46,FUTURES->FUTURES|hl1440|unweighted|h240,-0.7760586319218646,0.2808583591705518,-2.763167292630238,307,88,-1.2554538699279028,-0.29765039013340816,200,**,0.28664495114006516,0.06840390879478828,0.6590909090909091,0.0037465093469812296
47,FUTURES->FUTURES|hl1440|unweighted|h1440,-0.6907894736842193,0.5509432374113014,-1.2538305705139585,304,76,-1.6520633313331632,0.3133977572274664,200,,0.4605263157894737,0.06907894736842106,0.5,1.0
48,FED_FUNDS->FED_FUNDS|hl30|expected|h5,-0.5004399130524796,0.002286507687736899,-218.86649047211233,9661,99,-0.5051423089893265,-0.49578832080024626,200,***,0.02432460407825277,0.4302867198012628,1.0,3.1554436208840472e-30
