,mean,se,t,n,n_blocks,p_raw,p_fwer
FED_FUNDS->FED_FUNDS|hl240|unweighted|h5,-0.5004097824069509,0.0016108061484041542,-310.657978865249,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h5,-0.5004007483729196,0.002170122283505741,-230.58642924238504,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h5,-0.5006850480497677,0.0025481142058798355,-196.49238911443794,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|unweighted|h5,-0.5034718570872107,0.0026575302542297726,-189.4510349546824,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h5,-0.4954586129391628,0.005225654506481246,-94.81273825597503,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h5,-0.4949201850243848,0.005251816174548822,-94.23791095789883,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h5,-0.4960696863272159,0.00530571732673914,-93.49719477650672,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|expected|h5,-0.49742652769339596,0.005611477133059998,-88.64448983723186,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl90|expected|h5,-0.5027186421656024,0.005848114500958909,-85.96251699298503,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|unweighted|h15,-0.5061167386397686,0.006401286948672687,-79.06484160106467,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h15,-0.4996446952338135,0.006418516413293225,-77.8442654129562,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h15,-0.5014985414584703,0.006565287786857261,-76.38637600356171,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h15,-0.4935657545017648,0.0065698140554963785,-75.12628977510289,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl30|unweighted|h5,-0.4957589744705005,0.0070264854085738595,-70.55575378631903,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h15,-0.5003927648362074,0.0071480976031170484,-70.0036279048572,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|unweighted|h15,-0.5081538234493309,0.007301274643791961,-69.59796038920379,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h15,-0.4963288066856603,0.0072245808600862665,-68.7000140627859,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h30,-0.507193007800492,0.008634712600080557,-58.73884068773293,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl1440|unweighted|h5,-0.4890583652603489,0.00846070168387013,-57.803523104083936,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|expected|h15,-0.5044784590102579,0.00899591608913573,-56.07860878332459,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl30|expected|h5,-0.5035750465336413,0.009066481320980993,-55.54250085623675,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl240|expected|h5,-0.5056064121995761,0.009877529883656087,-51.18753556354011,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl90|unweighted|h5,-0.4967504994412021,0.010196009210221768,-48.72009128269487,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h30,-0.49876976826264996,0.010248999269268616,-48.66521649174075,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h30,-0.4919104998816367,0.010141813779689805,-48.50320766752258,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl1440|expected|h5,-0.4780898289738466,0.010928848413044735,-43.74567300276541,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h30,-0.49864708406530706,0.011816874958022156,-42.19788106726043,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h30,-0.5015114836019656,0.012246851531857368,-40.950237887460204,99,99,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl240|unweighted|h5,-0.4923607210682152,0.012348040405428308,-39.873591671417685,99,99,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|unweighted|h30,-0.5149048038773909,0.014551220254196029,-35.3856786497965,99,99,0.0004997501249375312,0.0004997501249375312
