,variant,reason
0,FED_FUNDS->FUTURES|hl30|expected|h5,no shared bucket keys between signal and target space
1,FED_FUNDS->FUTURES|hl30|expected|h15,no shared bucket keys between signal and target space
2,FED_FUNDS->FUTURES|hl30|expected|h30,no shared bucket keys between signal and target space
3,FED_FUNDS->FUTURES|hl30|expected|h60,no shared bucket keys between signal and target space
4,FED_FUNDS->FUTURES|hl30|expected|h240,no shared bucket keys between signal and target space
5,FED_FUNDS->FUTURES|hl30|expected|h1440,no shared bucket keys between signal and target space
6,FED_FUNDS->FUTURES|hl30|unweighted|h5,no shared bucket keys between signal and target space
7,FED_FUNDS->FUTURES|hl30|unweighted|h15,no shared bucket keys between signal and target space
8,FED_FUNDS->FUTURES|hl30|unweighted|h30,no shared bucket keys between signal and target space
9,FED_FUNDS->FUTURES|hl30|unweighted|h60,no shared bucket keys between signal and target space
10,FED_FUNDS->FUTURES|hl30|unweighted|h240,no shared bucket keys between signal and target space
11,FED_FUNDS->FUTURES|hl30|unweighted|h1440,no shared bucket keys between signal and target space
12,FED_FUNDS->FUTURES|hl90|expected|h5,no shared bucket keys between signal and target space
13,FED_FUNDS->FUTURES|hl90|expected|h15,no shared bucket keys between signal and target space
14,FED_FUNDS->FUTURES|hl90|expected|h30,no shared bucket keys between signal and target space
15,FED_FUNDS->FUTURES|hl90|expected|h60,no shared bucket keys between signal and target space
16,FED_FUNDS->FUTURES|hl90|expected|h240,no shared bucket keys between signal and target space
17,FED_FUNDS->FUTURES|hl90|expected|h1440,no shared bucket keys between signal and target space
18,FED_FUNDS->FUTURES|hl90|unweighted|h5,no shared bucket keys between signal and target space
19,FED_FUNDS->FUTURES|hl90|unweighted|h15,no shared bucket keys between signal and target space
20,FED_FUNDS->FUTURES|hl90|unweighted|h30,no shared bucket keys between signal and target space
21,FED_FUNDS->FUTURES|hl90|unweighted|h60,no shared bucket keys between signal and target space
22,FED_FUNDS->FUTURES|hl90|unweighted|h240,no shared bucket keys between signal and target space
23,FED_FUNDS->FUTURES|hl90|unweighted|h1440,no shared bucket keys between signal and target space
24,FED_FUNDS->FUTURES|hl240|expected|h5,no shared bucket keys between signal and target space
25,FED_FUNDS->FUTURES|hl240|expected|h15,no shared bucket keys between signal and target space
