trial,label,cfg_horizon,cfg_threshold,res_mean,res_t,note,cfg_signal,cfg_signal_space,cfg_target,cfg_half_life,cfg_weighting
1,PRIMARY (in-sample),60,1.0,-0.545759609518004,-9.44326455076868,,,,,,
2,"LABEL-FREE (unsigned intensity, FUTURES)",60,1.0,-0.6402339499456078,-9.034433696139319,,intensity,,,,
3,FUTURES->FUTURES|hl30|expected|h5,5,,-0.49734106840706,-76.8428356717839,,,FUTURES,FUTURES,30.0,expected
4,FUTURES->FUTURES|hl30|expected|h15,15,,-0.48217400784998077,-26.163108515285735,,,FUTURES,FUTURES,30.0,expected
5,FUTURES->FUTURES|hl30|expected|h30,30,,-0.4722115013508326,-12.7000488730606,,,FUTURES,FUTURES,30.0,expected
6,FUTURES->FUTURES|hl30|expected|h60,60,,-0.5046052631578971,-7.267833714216819,,,FUTURES,FUTURES,30.0,expected
7,FUTURES->FUTURES|hl30|expected|h240,240,,-0.5422619047619476,-2.790209529285042,,,FUTURES,FUTURES,30.0,expected
8,FUTURES->FUTURES|hl30|expected|h1440,1440,,-0.4266666666666462,-1.1406385085312942,,,FUTURES,FUTURES,30.0,expected
9,FUTURES->FUTURES|hl30|unweighted|h5,5,,-0.495346700750919,-74.74298896574993,,,FUTURES,FUTURES,30.0,unweighted
10,FUTURES->FUTURES|hl30|unweighted|h15,15,,-0.4811361665221174,-28.505795538373388,,,FUTURES,FUTURES,30.0,unweighted
11,FUTURES->FUTURES|hl30|unweighted|h30,30,,-0.4621299500192245,-12.64949417801698,,,FUTURES,FUTURES,30.0,unweighted
12,FUTURES->FUTURES|hl30|unweighted|h60,60,,-0.551662320730125,-9.545847540977041,,,FUTURES,FUTURES,30.0,unweighted
13,FUTURES->FUTURES|hl30|unweighted|h240,240,,-0.6367370892018903,-3.643095115667765,,,FUTURES,FUTURES,30.0,unweighted
14,FUTURES->FUTURES|hl30|unweighted|h1440,1440,,-0.5186666666666307,-1.301211595550197,,,FUTURES,FUTURES,30.0,unweighted
15,FUTURES->FUTURES|hl90|expected|h5,5,,-0.5020550953815266,-94.64460993513129,,,FUTURES,FUTURES,90.0,expected
16,FUTURES->FUTURES|hl90|expected|h15,15,,-0.5135219564441247,-33.06721646075932,,,FUTURES,FUTURES,90.0,expected
17,FUTURES->FUTURES|hl90|expected|h30,30,,-0.5318455366098309,-17.451569924154235,,,FUTURES,FUTURES,90.0,expected
18,FUTURES->FUTURES|hl90|expected|h60,60,,-0.545759609518004,-9.44326455076868,,,FUTURES,FUTURES,90.0,expected
19,FUTURES->FUTURES|hl90|expected|h240,240,,-0.6212871287128735,-2.9282420611096227,,,FUTURES,FUTURES,90.0,expected
20,FUTURES->FUTURES|hl90|expected|h1440,1440,,-0.8242296918767504,-2.449709588334278,,,FUTURES,FUTURES,90.0,expected
21,FUTURES->FUTURES|hl90|unweighted|h5,5,,-0.5010532837670396,-99.41732400860842,,,FUTURES,FUTURES,90.0,unweighted
22,FUTURES->FUTURES|hl90|unweighted|h15,15,,-0.5119488536155204,-35.17090185786425,,,FUTURES,FUTURES,90.0,unweighted
23,FUTURES->FUTURES|hl90|unweighted|h30,30,,-0.5402612433862463,-19.07409162685717,,,FUTURES,FUTURES,90.0,unweighted
24,FUTURES->FUTURES|hl90|unweighted|h60,60,,-0.6108091787439712,-10.808535010854976,,,FUTURES,FUTURES,90.0,unweighted
25,FUTURES->FUTURES|hl90|unweighted|h240,240,,-0.6713759213759262,-3.156009758151381,,,FUTURES,FUTURES,90.0,unweighted
26,FUTURES->FUTURES|hl90|unweighted|h1440,1440,,-0.6925207756232825,-1.960315457234577,,,FUTURES,FUTURES,90.0,unweighted
27,FUTURES->FUTURES|hl240|expected|h5,5,,-0.5029064821641247,-110.49494584340253,,,FUTURES,FUTURES,240.0,expected
28,FUTURES->FUTURES|hl240|expected|h15,15,,-0.5103388141504741,-37.333317468062546,,,FUTURES,FUTURES,240.0,expected
29,FUTURES->FUTURES|hl240|expected|h30,30,,-0.5178974524347001,-19.083271636760863,,,FUTURES,FUTURES,240.0,expected
30,FUTURES->FUTURES|hl240|expected|h60,60,,-0.5262336039975034,-8.888534792026997,,,FUTURES,FUTURES,240.0,expected
31,FUTURES->FUTURES|hl240|expected|h240,240,,-0.5219414893616859,-2.073637129104533,,,FUTURES,FUTURES,240.0,expected
32,FUTURES->FUTURES|hl240|expected|h1440,1440,,-0.884164222873851,-2.357014231189332,,,FUTURES,FUTURES,240.0,expected
33,FUTURES->FUTURES|hl240|unweighted|h5,5,,-0.5007574482410372,-111.63438875693407,,,FUTURES,FUTURES,240.0,unweighted
34,FUTURES->FUTURES|hl240|unweighted|h15,15,,-0.5046774987690776,-38.006620222848646,,,FUTURES,FUTURES,240.0,unweighted
35,FUTURES->FUTURES|hl240|unweighted|h30,30,,-0.5217667619955532,-19.823642562672184,,,FUTURES,FUTURES,240.0,unweighted
36,FUTURES->FUTURES|hl240|unweighted|h60,60,,-0.5610128126906624,-10.021131359432303,,,FUTURES,FUTURES,240.0,unweighted
37,FUTURES->FUTURES|hl240|unweighted|h240,240,,-0.6783854166666562,-2.91588744566181,,,FUTURES,FUTURES,240.0,unweighted
38,FUTURES->FUTURES|hl240|unweighted|h1440,1440,,-0.8575581395348559,-2.3796478566628805,,,FUTURES,FUTURES,240.0,unweighted
39,FUTURES->FUTURES|hl1440|expected|h5,5,,-0.5047556971803788,-122.61506368160538,,,FUTURES,FUTURES,1440.0,expected
40,FUTURES->FUTURES|hl1440|expected|h15,15,,-0.5138525305410114,-39.3100448167666,,,FUTURES,FUTURES,1440.0,expected
41,FUTURES->FUTURES|hl1440|expected|h30,30,,-0.534070926143024,-19.357943686769826,,,FUTURES,FUTURES,1440.0,expected
42,FUTURES->FUTURES|hl1440|expected|h60,60,,-0.5757666867107717,-9.256705596584514,,,FUTURES,FUTURES,1440.0,expected
43,FUTURES->FUTURES|hl1440|expected|h240,240,,-0.6911290322581062,-2.4380813099087875,,,FUTURES,FUTURES,1440.0,expected
44,FUTURES->FUTURES|hl1440|expected|h1440,1440,,-0.6101973684210599,-1.102404686213658,,,FUTURES,FUTURES,1440.0,expected
45,FUTURES->FUTURES|hl1440|unweighted|h5,5,,-0.5037593984962412,-123.64683967028449,,,FUTURES,FUTURES,1440.0,unweighted
46,FUTURES->FUTURES|hl1440|unweighted|h15,15,,-0.5135154987512861,-41.51124438030575,,,FUTURES,FUTURES,1440.0,unweighted
47,FUTURES->FUTURES|hl1440|unweighted|h30,30,,-0.5351550960118184,-20.692319094200432,,,FUTURES,FUTURES,1440.0,unweighted
48,FUTURES->FUTURES|hl1440|unweighted|h60,60,,-0.5821710127350049,-10.475070387431199,,,FUTURES,FUTURES,1440.0,unweighted
49,FUTURES->FUTURES|hl1440|unweighted|h240,240,,-0.7760586319218646,-2.763167292630238,,,FUTURES,FUTURES,1440.0,unweighted
50,FUTURES->FUTURES|hl1440|unweighted|h1440,1440,,-0.6907894736842193,-1.2538305705139585,,,FUTURES,FUTURES,1440.0,unweighted
51,FED_FUNDS->FED_FUNDS|hl30|expected|h5,5,,-0.5004399130524796,-218.86649047211233,,,FED_FUNDS,FED_FUNDS,30.0,expected
52,FED_FUNDS->FED_FUNDS|hl30|expected|h15,15,,-0.5011805555555588,-81.66069867316813,,,FED_FUNDS,FED_FUNDS,30.0,expected
53,FED_FUNDS->FED_FUNDS|hl30|expected|h30,30,,-0.5049926936190923,-46.47692713565068,,,FED_FUNDS,FED_FUNDS,30.0,expected
54,FED_FUNDS->FED_FUNDS|hl30|expected|h60,60,,-0.5169902912621435,-30.262464154337582,,,FED_FUNDS,FED_FUNDS,30.0,expected
55,FED_FUNDS->FED_FUNDS|hl30|expected|h240,240,,-0.5572916666666664,-9.276334310944263,,,FED_FUNDS,FED_FUNDS,30.0,expected
56,FED_FUNDS->FED_FUNDS|hl30|expected|h1440,1440,,-0.3845029239765886,-3.925859598201759,,,FED_FUNDS,FED_FUNDS,30.0,expected
57,FED_FUNDS->FED_FUNDS|hl30|unweighted|h5,5,,-0.499419836545253,-234.76036793121773,,,FED_FUNDS,FED_FUNDS,30.0,unweighted
58,FED_FUNDS->FED_FUNDS|hl30|unweighted|h15,15,,-0.4987741759738491,-84.0354447084243,,,FED_FUNDS,FED_FUNDS,30.0,unweighted
59,FED_FUNDS->FED_FUNDS|hl30|unweighted|h30,30,,-0.4995164410057977,-47.51673402766579,,,FED_FUNDS,FED_FUNDS,30.0,unweighted
60,FED_FUNDS->FED_FUNDS|hl30|unweighted|h60,60,,-0.5075636942675249,-31.66118906967704,,,FED_FUNDS,FED_FUNDS,30.0,unweighted
61,FED_FUNDS->FED_FUNDS|hl30|unweighted|h240,240,,-0.5503826530612295,-8.989045032284977,,,FED_FUNDS,FED_FUNDS,30.0,unweighted
62,FED_FUNDS->FED_FUNDS|hl30|unweighted|h1440,1440,,-0.37499999999999317,-4.5152005066958845,,,FED_FUNDS,FED_FUNDS,30.0,unweighted
63,FED_FUNDS->FED_FUNDS|hl90|expected|h5,5,,-0.5013520822065974,-272.98757506154845,,,FED_FUNDS,FED_FUNDS,90.0,expected
