,spec,term,coef,se,t,n,n_blocks,design_rank,design_cols,design_cond,rank_deficient
0,signal only,const,0.01265916279105327,0.02016064088951706,0.6279147007492039,15393,94,2,2,1.4507620361949414,False
1,signal only,signal,-0.013684787689546818,0.008444524410296078,-1.6205516171948642,15393,94,2,2,1.4507620361949414,False
2,signal + controls,const,6.731832281237748,0.0038062881343313417,1768.6081672375394,15393,94,14,14,32554121.430559438,False
3,signal + controls,signal,-0.012800658729659173,0.009851253534133434,-1.2993938979751558,15393,94,14,14,32554121.430559438,False
4,signal + controls,basis_bp,0.021144176563776554,0.01575415768129409,1.3421331048934706,15393,94,14,14,32554121.430559438,False
5,signal + controls,abs_basis_bp,-0.02060367756914952,0.02133824070386488,-0.9655752718834822,15393,94,14,14,32554121.430559438,False
6,signal + controls,signed_basis_dv01,1.2883725980083333e-07,2.3641217363339271e-07,0.5449688052046883,15393,94,14,14,32554121.430559438,False
7,signal + controls,level_bp,-0.01848381554272007,0.0004216455718478586,-43.83732873492513,15393,94,14,14,32554121.430559438,False
8,signal + controls,slope_bp,0.00431574310753499,0.007240932702527355,0.5960203311969237,15393,94,14,14,32554121.430559438,False
9,signal + controls,curvature_bp,-0.002697521686225244,0.009760861763441155,-0.2763610172545096,15393,94,14,14,32554121.430559438,False
10,signal + controls,trailing_60m_bp,-0.10968083598507523,0.03091800804040737,-3.547474204733084,15393,94,14,14,32554121.430559438,False
11,signal + controls,realized_vol_bp,-0.37240886545987456,0.2567518588827684,-1.450462197548936,15393,94,14,14,32554121.430559438,False
12,signal + controls,amihud,1.6578898956391828,1.6642686040081893,0.9961672602886071,15393,94,14,14,32554121.430559438,False
13,signal + controls,tod_min,0.00010959317906817159,0.00023589509140562942,0.46458439815401875,15393,94,14,14,32554121.430559438,False
14,signal + controls,days_to_expiry,0.0005954133778598185,0.00038916367803814195,1.529981885414964,15393,94,14,14,32554121.430559438,False
15,signal + controls,days_to_fomc,-0.003154890413832729,0.002456333756200116,-1.284389959576691,15393,94,14,14,32554121.430559438,False
