,spec,term,coef,se,t,n,n_blocks,design_rank,design_cols,design_cond,rank_deficient
0,signal only,const,-0.0071751511805631185,0.04534095921422121,-0.1582487734029374,40266,94,2,2,1.325354583664815,False
1,signal only,signal,-0.001142518867290697,0.026212490892450813,-0.043586810272187526,40266,94,2,2,1.325354583664815,False
2,signal + controls,const,22.17214292450084,16.830410980194692,1.3173857103425501,40266,94,14,14,291809109.0573561,False
3,signal + controls,signal,0.011612109663865156,0.02800518356357324,0.4146414408427303,40266,94,14,14,291809109.0573561,False
4,signal + controls,basis_bp,0.04687127123212063,0.023631105307161532,1.983456576528227,40266,94,14,14,291809109.0573561,False
5,signal + controls,abs_basis_bp,-0.03360717797051576,0.021317163402037646,-1.5765314238433499,40266,94,14,14,291809109.0573561,False
6,signal + controls,signed_basis_dv01,3.5140025384308715e-07,1.888028609529954e-07,1.8612019546174792,40266,94,14,14,291809109.0573561,False
7,signal + controls,level_bp,-0.059963424531421505,0.04594853989720644,-1.305012622067391,40266,94,14,14,291809109.0573561,False
8,signal + controls,slope_bp,0.031027126245362056,0.02395221631471575,1.2953760035266393,40266,94,14,14,291809109.0573561,False
9,signal + controls,curvature_bp,0.025642715935359807,0.01821022421639518,1.4081493797464033,40266,94,14,14,291809109.0573561,False
10,signal + controls,trailing_60m_bp,-0.04953030815865797,0.029914535095101485,-1.655727157423502,40266,94,14,14,291809109.0573561,False
11,signal + controls,realized_vol_bp,-0.18615280945268503,0.2570595599195268,-0.7241621728091369,40266,94,14,14,291809109.0573561,False
12,signal + controls,amihud,19.746331823717778,0.0810035958393975,243.77105261929384,40266,94,14,14,291809109.0573561,False
13,signal + controls,tod_min,-6.0395365776324574e-05,0.0004832294587320601,-0.12498278961467962,40266,94,14,14,291809109.0573561,False
14,signal + controls,days_to_expiry,9.151225243515001e-05,0.0001884930460060244,0.48549405070479473,40266,94,14,14,291809109.0573561,False
15,signal + controls,days_to_fomc,-0.00705440153218518,0.004923435868171552,-1.432820843222442,40266,94,14,14,291809109.0573561,False
