,spec,term,coef,se,t,n,n_blocks,design_rank,design_cols,design_cond,rank_deficient
0,signal only,const,-0.0014569243513897854,0.04915561550241394,-0.02963902163565094,36906,94,2,2,1.3183675436643467,False
1,signal only,signal,0.00839334903467825,0.02809109726762981,0.29879035890670425,36906,94,2,2,1.3183675436643467,False
2,signal + controls,const,22.799633944953836,18.08662153912852,1.2605800312473618,36906,94,16,16,303336786.39744323,False
3,signal + controls,signal,0.022476622949409854,0.028953751614358376,0.7762939756056875,36906,94,16,16,303336786.39744323,False
4,signal + controls,basis_bp,0.016259192918188625,0.027782383990014484,0.5852338994390289,36906,94,16,16,303336786.39744323,False
5,signal + controls,abs_basis_bp,-0.0008317610478037994,0.02636262892914918,-0.03155076263597219,36906,94,16,16,303336786.39744323,False
6,signal + controls,signed_basis_dv01,2.1591835908107981e-07,1.9002991953748337e-07,1.1362334921080148,36906,94,16,16,303336786.39744323,False
7,signal + controls,level_bp,-0.061939256448446056,0.04935417488831731,-1.2549952782841027,36906,94,16,16,303336786.39744323,False
8,signal + controls,slope_bp,0.03163182261450509,0.02578436347946919,1.2267831486199743,36906,94,16,16,303336786.39744323,False
9,signal + controls,curvature_bp,0.02739122991397678,0.01939274331945066,1.4124474017300968,36906,94,16,16,303336786.39744323,False
10,signal + controls,trailing_60m_bp,-0.03812044398453349,0.03457929471599927,-1.1024066366193348,36906,94,16,16,303336786.39744323,False
11,signal + controls,realized_vol_bp,-0.21981235777201064,0.2689089354289223,-0.8174230336429679,36906,94,16,16,303336786.39744323,False
12,signal + controls,amihud,-9.930654700244604,0.08321977868536798,-119.33046274720087,36906,94,16,16,303336786.39744323,False
13,signal + controls,tod_min,1.2975826795653782e-05,0.0005126317886310947,0.025312177440856242,36906,94,16,16,303336786.39744323,False
14,signal + controls,days_to_expiry,0.00021548052270103728,0.00020108790621179367,1.0715737547840631,36906,94,16,16,303336786.39744323,False
15,signal + controls,days_to_fomc,-0.007107269432584165,0.005336953770518876,-1.3317090119544304,36906,94,16,16,303336786.39744323,False
16,signal + controls,indep_basis_bp,0.20270055462650063,0.045059988237294964,4.498459998680842,36906,94,16,16,303336786.39744323,False
17,signal + controls,abs_indep_basis_bp,0.13026432063920082,0.059808341360890444,2.178029312887493,36906,94,16,16,303336786.39744323,False
