,held_out,mean_bp,t,n
0,FFF26,-0.010522496371557916,-1.177585070732814,39273
1,FFG26,-0.010732489096741741,-1.165076267828974,38062
2,FFH26,-0.011184625078770678,-1.17643303283261,36501
3,FFJ26,-0.013087238685969144,-1.3204937814677857,34824
4,FFK26,-0.013068587758994638,-1.2443384014421277,33592
5,FFM26,-0.013302613687871704,-1.371758943266168,33095
6,FFN26,-0.005813777898589295,-0.6204522325440432,33111
7,FFQ26,-0.006244372803583677,-0.8321766112723857,34431
8,FFU26,-0.00895386900668886,-1.1645141567645647,36353
9,FFV26,-0.010823367915318533,-1.2422548987782887,37881
10,FFX26,-0.010292649205013221,-1.1458261473043956,39057
11,<none>,-0.010374072391342219,-1.170244684469519,39618
