,conditioner,bucket,n,n_blocks,mean_net_bp,t,stars,median_value
0,block_share,q1,522,60,-0.42863984674330546,-5.980946799425196,***,1.183913386708252e-06
1,block_share,q2,521,67,-0.6473128598848392,-9.09178802469494,***,0.03154521262691716
2,block_share,q3,522,59,-0.6039272030651294,-4.518819588810287,***,0.2627583283040797
3,level_prox_bp,q1,522,81,-0.5933908045977251,-7.7615854609210695,***,-9.01397147435705
4,level_prox_bp,q2,521,84,-0.6161228406909797,-8.179472527990091,***,-1.2563496942149754
5,level_prox_bp,q3,522,82,-0.4703065134099451,-5.671007954107664,***,7.579258439401116
6,realized_vol_bp,q1,458,83,-0.4716157205240526,-9.934080617070995,***,0.2574643252722462
7,realized_vol_bp,q2,450,87,-0.5766666666666411,-7.032926450229792,***,0.3964807305493448
8,realized_vol_bp,q3,454,76,-0.4614537444933708,-3.6114108693149123,***,0.629439731866297
9,amihud,q1,454,77,-0.49174008810574377,-10.929400303915326,***,7.058699958095322e-05
10,amihud,q2,454,86,-0.5440528634361271,-5.263007869543829,***,0.0001680603224781186
11,amihud,q3,454,83,-0.4730176211453426,-4.196824909636542,***,0.00033858213015440443
12,days_to_fomc,q1,569,34,-0.7196836555360356,-8.380187216235933,***,5.0
13,days_to_fomc,q2,500,32,-0.5804999999999779,-5.771508200231494,***,15.0
14,days_to_fomc,q3,496,28,-0.35584677419357064,-3.105657069096206,***,29.0
15,tod_min,q1,528,83,-0.6406250000000121,-5.567217409162222,***,540.0
16,tod_min,q2,524,87,-0.5291030534351205,-6.744397945802378,***,690.0
17,tod_min,q3,513,84,-0.5082846003898532,-6.669956164619462,***,820.0
