,variant,mean,se,t,n,n_blocks,lo,hi,n_boot,stars,hit_rate,share_long,share_agreeing,p_sign
0,FUTURES->FUTURES|hl30|expected|h5,-0.4968991925414139,0.006646313567919573,-74.76312808048164,12013,94,-0.5096249559562527,-0.4836235334972498,200,***,0.10513610255556481,0.3476234079746941,1.0,1.0097419586828951e-28
1,FUTURES->FUTURES|hl30|expected|h15,-0.4782682321065693,0.018949542016153245,-25.239039112337224,4429,94,-0.5129911920598567,-0.44207274669202823,200,***,0.16256491307292842,0.34974034770828627,0.9468085106382979,5.864483250086067e-21
2,FUTURES->FUTURES|hl30|expected|h30,-0.461099999999999,0.03817689187371843,-12.07798690174219,2500,94,-0.526655600157502,-0.3864145900365817,200,***,0.2052,0.3572,0.8936170212765957,1.032699183755085e-15
3,FUTURES->FUTURES|hl30|expected|h60,-0.48805460750853163,0.07118610743048266,-6.856037296113502,1465,94,-0.616446318089832,-0.33710487391749927,200,***,0.24641638225255974,0.36860068259385664,0.8723404255319149,5.6223687374767304e-14
4,FUTURES->FUTURES|hl30|expected|h240,-0.4956683168317223,0.20024332639047396,-2.475330018565365,404,90,-0.8726834577114487,-0.1371903159918691,200,*,0.3465346534653465,0.4183168316831683,0.7111111111111111,7.657072931048344e-05
5,FUTURES->FUTURES|hl30|expected|h1440,-0.34058988764043074,0.3907650889476088,-0.8715975333356731,356,73,-0.9812498345291198,0.4378562591642611,200,,0.4241573033707865,0.37359550561797755,0.547945205479452,0.4827885568440213
6,FUTURES->FUTURES|hl30|unweighted|h5,-0.4947240926260464,0.006764028573113175,-73.14044984856523,12178,94,-0.5084269534465886,-0.48214794524171417,200,***,0.1055181474790606,0.3567088191821317,1.0,1.0097419586828951e-28
7,FUTURES->FUTURES|hl30|unweighted|h15,-0.47678053136860665,0.017276452015622747,-27.59713226636254,4479,94,-0.509460419568133,-0.4438857986494056,200,***,0.16008037508372405,0.3603482920294709,0.9574468085106383,3.219068471442615e-22
8,FUTURES->FUTURES|hl30|unweighted|h30,-0.45013877874702474,0.03711937349631828,-12.126788152598323,2522,94,-0.5228527696523768,-0.38614543373986154,200,***,0.21292624900872323,0.3655828707375099,0.8936170212765957,1.032699183755085e-15
9,FUTURES->FUTURES|hl30|unweighted|h60,-0.5388888888888909,0.05852991381574766,-9.207067869351638,1485,94,-0.652717277296217,-0.41748694725090785,200,***,0.24444444444444444,0.3838383838383838,0.8829787234042553,8.004192428935576e-15
10,FUTURES->FUTURES|hl30|unweighted|h240,-0.6048780487804929,0.1787961524710272,-3.3830596487724174,410,92,-0.9572522813421068,-0.31270038162468516,200,***,0.33414634146341465,0.4121951219512195,0.6956521739130435,0.00022250112957580387
11,FUTURES->FUTURES|hl30|unweighted|h1440,-0.4817927170867916,0.41464657596599147,-1.1619358388873018,357,73,-1.1765689962969137,0.4384806218673751,200,,0.42296918767507,0.3585434173669468,0.5753424657534246,0.24164472314075197
12,FUTURES->FUTURES|hl90|expected|h5,-0.5027375831052022,0.005498678678103606,-91.42879817785375,15342,94,-0.5118308679735227,-0.491074673401287,200,***,0.10252900534480511,0.2860122539434233,1.0,1.0097419586828951e-28
13,FUTURES->FUTURES|hl90|expected|h15,-0.515552460538531,0.0161336545278227,-31.95509483914224,5385,94,-0.541173788165013,-0.4817420554182983,200,***,0.1565459610027855,0.2828226555246054,0.9893617021276596,9.592548607487504e-27
14,FUTURES->FUTURES|hl90|expected|h30,-0.5356894150417829,0.03095967745755825,-17.302809946135405,2872,94,-0.584295041136174,-0.46809959961534536,200,***,0.20090529247910863,0.28168523676880225,0.9574468085106383,3.219068471442615e-22
15,FUTURES->FUTURES|hl90|expected|h60,-0.5599041533546354,0.059371764448419906,-9.430478587865792,1565,94,-0.6622610881820573,-0.4351062849985342,200,***,0.23386581469648562,0.27539936102236423,0.8936170212765957,1.032699183755085e-15
16,FUTURES->FUTURES|hl90|expected|h240,-0.6397435897435938,0.2194412164312659,-2.915330128713429,390,90,-1.0807067652329523,-0.2443430621139152,200,**,0.35128205128205126,0.3153846153846154,0.6888888888888889,0.00043792219663413404
17,FUTURES->FUTURES|hl90|expected|h1440,-0.8229166666666649,0.3511464071652857,-2.3435144141438284,336,72,-1.5067133999122564,-0.1930852755805094,200,*,0.40476190476190477,0.25595238095238093,0.5833333333333334,0.19450516586739908
18,FUTURES->FUTURES|hl90|unweighted|h5,-0.5008363893714218,0.005255453603485907,-95.29841325955583,15543,94,-0.5099581532824993,-0.48969132445784436,200,***,0.10261854210898796,0.29711123978639903,0.9893617021276596,9.592548607487504e-27
19,FUTURES->FUTURES|hl90|unweighted|h15,-0.5096963044273687,0.015102482313203899,-33.749174066686244,5466,94,-0.5386891318110887,-0.47808841480651976,200,***,0.1544090742773509,0.2950969630442737,0.9893617021276596,9.592548607487504e-27
20,FUTURES->FUTURES|hl90|unweighted|h30,-0.5341689560439571,0.029334273891406765,-18.209721434435693,2912,94,-0.5909765877947203,-0.47501266876622816,200,***,0.20467032967032966,0.2936126373626374,0.9574468085106383,3.219068471442615e-22
21,FUTURES->FUTURES|hl90|unweighted|h60,-0.6116352201257927,0.05879805886061749,-10.402302932749734,1590,94,-0.7283010757139942,-0.48270252244143996,200,***,0.23018867924528302,0.2943396226415094,0.8936170212765957,1.032699183755085e-15
22,FUTURES->FUTURES|hl90|unweighted|h240,-0.679568527918788,0.22036039957221396,-3.083895878016357,394,92,-1.1666515562831765,-0.26553811881185446,200,***,0.3426395939086294,0.3223350253807107,0.6630434782608695,0.0023146015214254912
23,FUTURES->FUTURES|hl90|unweighted|h1440,-0.6044117647059002,0.37213557206750897,-1.6241708938167676,340,73,-1.2886276712645377,0.03296815043817555,200,,0.4235294117647059,0.2852941176470588,0.5616438356164384,0.3491818381705883
24,FUTURES->FUTURES|hl240|expected|h5,-0.5033285782215892,0.004802213382854452,-104.8117895007841,16824,93,-0.5121151075158071,-0.4938708632307043,200,***,0.0982524964336662,0.2139205896338564,1.0,2.0194839173657902e-28
25,FUTURES->FUTURES|hl240|expected|h15,-0.5113656157463874,0.014373919229452236,-35.575934968285935,5741,93,-0.534763715681071,-0.4846284611262408,200,***,0.14823201532834002,0.20989374673401848,1.0,2.0194839173657902e-28
26,FUTURES->FUTURES|hl240|expected|h30,-0.5193673883626544,0.028553368233044614,-18.189356300234806,2956,93,-0.5655547433755069,-0.4646388197779526,200,***,0.20027063599458728,0.20771312584573748,0.9354838709677419,1.6504649136152465e-19
27,FUTURES->FUTURES|hl240|expected|h60,-0.5266339869281083,0.06194014024027723,-8.502305369106331,1530,93,-0.6348448740906399,-0.39376158847029935,200,***,0.24640522875816995,0.20065359477124184,0.8279569892473119,9.629776957272858e-11
28,FUTURES->FUTURES|hl240|expected|h240,-0.5501392757660027,0.26495772669947415,-2.0763284868834684,359,90,-1.0534787636161675,-0.029362511416526703,200,*,0.36768802228412256,0.19220055710306408,0.6444444444444445,0.008045928133225098
29,FUTURES->FUTURES|hl240|expected|h1440,-0.8150470219435322,0.39811295719856815,-2.0472757974993727,319,72,-1.469954144849808,-0.10923485502411456,200,*,0.42946708463949845,0.1724137931034483,0.5694444444444444,0.28878428041410487
30,FUTURES->FUTURES|hl240|unweighted|h5,-0.5004237040500265,0.004761547873031642,-105.09685450908013,17111,93,-0.5093028784102216,-0.4903246378992317,200,***,0.09829933960610134,0.225235228800187,0.989247311827957,1.8983148823238428e-26
31,FUTURES->FUTURES|hl240|unweighted|h15,-0.5040612175102583,0.014170266933373707,-35.571751744711115,5848,93,-0.5312157644603365,-0.47268753204011665,200,***,0.15167578659370726,0.2212722298221614,1.0,2.0194839173657902e-28
32,FUTURES->FUTURES|hl240|unweighted|h30,-0.5185307743216437,0.02817944246803165,-18.40103028688003,3022,93,-0.5681208719571901,-0.4588322665080363,200,***,0.19490403706154863,0.21972203838517537,0.9354838709677419,1.6504649136152465e-19
33,FUTURES->FUTURES|hl240|unweighted|h60,-0.551970756516208,0.05934619745792309,-9.300861388929922,1573,93,-0.6628534033076559,-0.4345349279451126,200,***,0.24411951684678956,0.21233312142403052,0.8387096774193549,1.9393097995260696e-11
34,FUTURES->FUTURES|hl240|unweighted|h240,-0.6571038251365973,0.2426195743504189,-2.7083710244563073,366,90,-1.177789642718089,-0.25404382175408746,200,**,0.34153005464480873,0.20491803278688525,0.6777777777777778,0.0009727607079513675
35,FUTURES->FUTURES|hl240|unweighted|h1440,-0.736068111455096,0.3875670946763593,-1.8992017680700033,323,72,-1.3791061658249177,0.056188703186931026,200,.,0.43653250773993807,0.18885448916408668,0.5694444444444444,0.28878428041410487
36,FUTURES->FUTURES|hl1440|expected|h5,-0.5036457809514234,0.004446024465083985,-113.28002913765108,19886,90,-0.5122464151893991,-0.4947652686333396,200,***,0.09715377652619933,0.08262093935431962,1.0,1.6155871338926322e-27
37,FUTURES->FUTURES|hl1440|expected|h15,-0.5115856428895952,0.01420353611046996,-36.01818863349713,6603,90,-0.5396434690605425,-0.48557714348102077,200,***,0.1558382553384825,0.0814781160078752,0.9666666666666667,1.9641662139013065e-22
