,mean,se,t,n,n_blocks,p_raw,p_fwer
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h5,-0.5010866127891818,0.0013459577932766315,-372.28998954664445,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|unweighted|h5,-0.5000779935359072,0.0017249437534472766,-289.90973910685966,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h5,-0.5001178938367443,0.002273487773725055,-219.9782640648703,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h5,-0.5009402490577916,0.0026943755349340876,-185.9207235824482,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|unweighted|h5,-0.5035338645452075,0.0028010710849177287,-179.76475758022292,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h15,-0.4999726722528555,0.004319180345104132,-115.756377901558,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h5,-0.4947154974755323,0.005533405294989979,-89.40525248050318,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h5,-0.4956058998258949,0.005594368640558404,-88.59013977606342,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|expected|h5,-0.49901690179992136,0.00606589136447075,-82.26604662305235,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl90|expected|h5,-0.5033868412426852,0.006169869257861895,-81.58792677839153,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h15,-0.4991805289880681,0.006623537869014932,-75.36463727689194,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|unweighted|h15,-0.5053641905216053,0.006766094584731908,-74.69067778951678,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h15,-0.5000473475660556,0.006967693391713529,-71.76655450435679,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|unweighted|h15,-0.5085292251200839,0.007584729643455338,-67.0464537333747,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl30|unweighted|h5,-0.4953281955772085,0.007460356905132761,-66.39470495525761,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h15,-0.5001680091910408,0.0075362987492901025,-66.367858524472,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h15,-0.496670477839959,0.0075902797177204336,-65.4350691029767,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h30,-0.5009498592048536,0.009060260642852017,-55.29088830353594,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h30,-0.5065297744744156,0.009166977586066377,-55.25591938223245,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl1440|unweighted|h5,-0.48933797341266,0.008930342279119687,-54.79498524449578,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl30|expected|h5,-0.5033571057063834,0.009577975977260579,-52.5535986832105,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|expected|h15,-0.5078469714154054,0.009830150000917066,-51.66217925138759,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl240|expected|h5,-0.5066213234572192,0.010405027684685592,-48.69005050345791,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h30,-0.49930811640854306,0.010778750557030222,-46.32337614333968,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl90|unweighted|h5,-0.4964647068707552,0.010766563237028442,-46.11171605469332,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl1440|expected|h5,-0.47599189953359466,0.01158143051497033,-41.09957737244293,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h30,-0.4979564602169882,0.01230121831172907,-40.480255499749354,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h30,-0.501526702684151,0.012768551535729873,-39.27827688839593,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl240|unweighted|h5,-0.49209845484936704,0.013020520334931876,-37.794069836759846,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|unweighted|h30,-0.5136813416960374,0.01545135671436046,-33.24506392494472,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl90|expected|h30,-0.5166759097763313,0.01589613628904744,-32.50323854686154,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|unweighted|h30,-0.5170027606243914,0.016238670768032842,-31.837751254995197,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|unweighted|h60,-0.5160045695258203,0.016503934781028927,-31.265548269068617,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl1440|expected|h60,-0.5086842266798083,0.016418182179858586,-30.982981008935894,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl240|expected|h60,-0.5162092987353091,0.016948911200942007,-30.45678230390508,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl1440|unweighted|h15,-0.4848910257621021,0.016603948473294418,-29.20335645114743,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|unweighted|h60,-0.5004706872664763,0.017664883441322728,-28.33138916137686,94,94,0.0004997501249375312,0.0004997501249375312
FED_FUNDS->FED_FUNDS|hl30|expected|h60,-0.5073758213960702,0.01802704335615972,-28.145259950390216,94,94,0.0004997501249375312,0.0004997501249375312
FUTURES->FUTURES|hl90|expected|h15,-0.516265297180478,0.019036411500196474,-27.119885340530153,94,94,0.0004997501249375312,0.0004997501249375312
