trial,label,cfg_horizon,cfg_threshold,res_mean,res_t,note,cfg_signal,cfg_signal_space,cfg_target,cfg_half_life,cfg_weighting
1,PRIMARY (in-sample),60,1.0,-0.5599041533546354,-9.430478587865792,,,,,,
2,"LABEL-FREE (unsigned intensity, FUTURES)",60,1.0,-0.6563914027149427,-9.057886108503364,,intensity,,,,
3,FUTURES->FUTURES|hl30|expected|h5,5,,-0.4968991925414139,-74.76312808048164,,,FUTURES,FUTURES,30.0,expected
4,FUTURES->FUTURES|hl30|expected|h15,15,,-0.4782682321065693,-25.239039112337224,,,FUTURES,FUTURES,30.0,expected
5,FUTURES->FUTURES|hl30|expected|h30,30,,-0.461099999999999,-12.07798690174219,,,FUTURES,FUTURES,30.0,expected
6,FUTURES->FUTURES|hl30|expected|h60,60,,-0.48805460750853163,-6.856037296113502,,,FUTURES,FUTURES,30.0,expected
7,FUTURES->FUTURES|hl30|expected|h240,240,,-0.4956683168317223,-2.475330018565365,,,FUTURES,FUTURES,30.0,expected
8,FUTURES->FUTURES|hl30|expected|h1440,1440,,-0.34058988764043074,-0.8715975333356731,,,FUTURES,FUTURES,30.0,expected
9,FUTURES->FUTURES|hl30|unweighted|h5,5,,-0.4947240926260464,-73.14044984856523,,,FUTURES,FUTURES,30.0,unweighted
10,FUTURES->FUTURES|hl30|unweighted|h15,15,,-0.47678053136860665,-27.59713226636254,,,FUTURES,FUTURES,30.0,unweighted
11,FUTURES->FUTURES|hl30|unweighted|h30,30,,-0.45013877874702474,-12.126788152598323,,,FUTURES,FUTURES,30.0,unweighted
12,FUTURES->FUTURES|hl30|unweighted|h60,60,,-0.5388888888888909,-9.207067869351638,,,FUTURES,FUTURES,30.0,unweighted
13,FUTURES->FUTURES|hl30|unweighted|h240,240,,-0.6048780487804929,-3.3830596487724174,,,FUTURES,FUTURES,30.0,unweighted
14,FUTURES->FUTURES|hl30|unweighted|h1440,1440,,-0.4817927170867916,-1.1619358388873018,,,FUTURES,FUTURES,30.0,unweighted
15,FUTURES->FUTURES|hl90|expected|h5,5,,-0.5027375831052022,-91.42879817785375,,,FUTURES,FUTURES,90.0,expected
16,FUTURES->FUTURES|hl90|expected|h15,15,,-0.515552460538531,-31.95509483914224,,,FUTURES,FUTURES,90.0,expected
17,FUTURES->FUTURES|hl90|expected|h30,30,,-0.5356894150417829,-17.302809946135405,,,FUTURES,FUTURES,90.0,expected
