curve_name,mode,check,backend,n,n_err,worst_abs_bp,median_abs_bp
AUD-AONIA-1D,eod,backends,rl-ql,4,0,0.015164442375237286,0.006193279068700264
AUD-AONIA-1D,eod,forward,ql,6,0,2.164872072700863,0.02113137653845243
AUD-AONIA-1D,eod,forward,rl,6,0,2.164872068194601,0.021133059508260388
AUD-AONIA-1D,eod,interpolation,rl,4,0,2.4622512325329637,0.8971317171694082
AUD-AONIA-1D,eod,par,ql,44,0,0.10710132484819113,1.1617373729677638e-10
AUD-AONIA-1D,eod,par,rl,44,0,2.5776071321814698e-05,4.4356962547453804e-09
AUD-AONIA-1D,intraday,backends,rl-ql,4,0,0.015189809991067449,0.006411946726636586
AUD-AONIA-1D,intraday,par,ql,44,0,0.09725676199199285,1.290079154614432e-10
AUD-AONIA-1D,intraday,par,rl,44,0,2.557597822416824e-05,5.35256283740182e-09
AUD-AONIA-1D,live,backends,rl-ql,4,0,6.756057668866333e-06,1.2754819422866603e-08
AUD-AONIA-1D,live,par,ql,44,0,0.05983256555266436,1.9868551248691801e-10
AUD-AONIA-1D,live,par,rl,44,0,2.474228164572878e-05,5.4864557341716136e-09
CAD-CORRA-1D,eod,backends,rl-ql,4,0,0.047245438683329866,0.0006378045359411999
CAD-CORRA-1D,eod,forward,ql,6,0,0.42173604500526096,0.01646459047950355
CAD-CORRA-1D,eod,forward,rl,6,0,0.4217360488380617,0.016460116152461346
CAD-CORRA-1D,eod,interpolation,rl,4,0,2.5031954868729667,0.7494135945608882
CAD-CORRA-1D,eod,par,ql,44,0,0.18263028427969452,9.004952339353167e-09
CAD-CORRA-1D,eod,par,rl,44,0,3.972818327646621e-05,9.606426765174092e-09
CAD-CORRA-1D,intraday,backends,rl-ql,4,0,0.04583968939102512,0.0006480329804325891
CAD-CORRA-1D,intraday,par,ql,44,0,0.18217730202745308,3.65152352799214e-10
CAD-CORRA-1D,intraday,par,rl,44,0,4.152249601929725e-05,8.438072462979562e-09
CAD-CORRA-1D,live,backends,rl-ql,4,0,0.015091018448254445,0.006854004434431182
CAD-CORRA-1D,live,par,ql,44,0,0.22325869291406342,4.938272013532696e-11
CAD-CORRA-1D,live,par,rl,44,0,4.2218159101992114e-05,7.231348853053987e-09
CHF-SARON-1D,eod,backends,rl-ql,4,0,0.012696172051412935,0.005905155547170082
CHF-SARON-1D,eod,forward,ql,6,0,0.0530419110354452,0.0031305466531128534
CHF-SARON-1D,eod,forward,rl,6,0,0.053042156760191306,0.003136938528858213
CHF-SARON-1D,eod,interpolation,rl,4,0,1.5494439786814307,1.1434569442191345
CHF-SARON-1D,eod,par,ql,44,0,11.062800000036159,7.615741370869955e-10
