,TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_UnderlyingIssuerType,Derived_CFIOptionStyleandType,Derived_CFIDeliveryType,Derived_CFI_0_Version,Derived_CFI_0_VersionStatus,Derived_CFI_0_Value,Derived_CFI_0_Category_Code,Derived_CFI_0_Category_Value,Derived_CFI_0_Group_Code,Derived_CFI_0_Group_Value,Derived_CFI_0_Attributes_0_Name,Derived_CFI_0_Attributes_0_Code,Derived_CFI_0_Attributes_0_Value,Derived_CFI_0_Attributes_1_Name,Derived_CFI_0_Attributes_1_Code,Derived_CFI_0_Attributes_1_Value,Derived_CFI_0_Attributes_2_Name,Derived_CFI_0_Attributes_2_Code,Derived_CFI_0_Attributes_2_Value,Derived_CFI_0_Attributes_3_Name,Derived_CFI_0_Attributes_3_Code,Derived_CFI_0_Attributes_3_Value,Derived_CFI_1_Version,Derived_CFI_1_VersionStatus,Derived_CFI_1_Value,Derived_CFI_1_Category_Code,Derived_CFI_1_Category_Value,Derived_CFI_1_Group_Code,Derived_CFI_1_Group_Value,Derived_CFI_1_Attributes_0_Name,Derived_CFI_1_Attributes_0_Code,Derived_CFI_1_Attributes_0_Value,Derived_CFI_1_Attributes_1_Name,Derived_CFI_1_Attributes_1_Code,Derived_CFI_1_Attributes_1_Value,Derived_CFI_1_Attributes_2_Name,Derived_CFI_1_Attributes_2_Code,Derived_CFI_1_Attributes_2_Value,Derived_CFI_1_Attributes_3_Name,Derived_CFI_1_Attributes_3_Code,Derived_CFI_1_Attributes_3_Value,Attributes_UnderlyingInstrumentUPI,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Attributes_DeliveryType
0,1,Credit,Option,Single_Name_Swaption,UPI,QZ8DDL9MVQT0,New,,2025-07-28T06:06:53,HCUAVP,NA/CDS SN Swt,NA/CDS Corp SN Sr,CDS on Single Name,Corporate,European-Call,Physical,2021,Current,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZGPB12QLG8R,CALL,EURO,Vanilla,PHYS
1,1,Credit,Option,Single_Name_Swaption,UPI,QZX2418GVFQ9,New,,2023-12-03T02:17:14,HCUAVP,NA/CDS SN Swt,NA/CDS Corp SN Sr,CDS on Single Name,Corporate,European-Call,Physical,2021,Current,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZ96Z06P8823,CALL,EURO,Vanilla,PHYS
2,1,Credit,Option,Single_Name_Swaption,UPI,QZSRJK0G9JLN,New,,2023-12-03T02:17:14,HCUDVC,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Put,Cash,2021,Current,HCUDVC,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,D,European-Put,Valuation method or trigger,V,Vanilla,Delivery,C,Cash,2015,Previous,HCUDVC,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,D,European-Put,Valuation method or trigger,V,Vanilla,Delivery,C,Cash,QZTXLHW4CNKP,PUTO,EURO,Vanilla,CASH
3,1,Credit,Option,Single_Name_Swaption,UPI,QZGKCBHF85V0,New,,2023-12-03T02:17:14,HCUAVP,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Call,Physical,2021,Current,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZBDK51CKTMD,CALL,EURO,Vanilla,PHYS
4,1,Credit,Option,Single_Name_Swaption,UPI,QZ3TXGJH5M02,New,,2023-12-03T02:17:14,HCUDVP,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Put,Physical,2021,Current,HCUDVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,D,European-Put,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUDVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,D,European-Put,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZBDK51CKTMD,PUTO,EURO,Vanilla,PHYS
5,1,Credit,Option,Single_Name_Swaption,UPI,QZRQSJN0F349,New,,2023-12-03T02:17:14,HCUAVC,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Call,Cash,2021,Current,HCUAVC,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,C,Cash,2015,Previous,HCUAVC,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,C,Cash,QZ4HD4624Z11,CALL,EURO,Vanilla,CASH
6,1,Credit,Option,Single_Name_Swaption,UPI,QZH62CGQRNM0,New,,2023-12-03T02:17:14,HCUAVP,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Call,Physical,2021,Current,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZCH5K7HSV6W,CALL,EURO,Vanilla,PHYS
7,1,Credit,Option,Single_Name_Swaption,UPI,QZV4HQVQTC6Q,New,,2023-12-03T02:17:14,HCUAVP,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Call,Physical,2021,Current,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZV8JB033ZHP,CALL,EURO,Vanilla,PHYS
8,1,Credit,Option,Single_Name_Swaption,UPI,QZBLHR48377N,New,,2023-12-03T02:17:14,HCUAVC,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Call,Cash,2021,Current,HCUAVC,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,C,Cash,2015,Previous,HCUAVC,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,C,Cash,QZP6Z7WQDBX0,CALL,EURO,Vanilla,CASH
9,1,Credit,Option,Single_Name_Swaption,UPI,QZLP42ZLC8DB,New,,2023-12-03T02:17:13,HCUAVP,NA/CDS SN Swt,NA/CDS Sov SN Sr,CDS on Single Name,Sovereign,European-Call,Physical,2021,Current,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,2015,Previous,HCUAVP,H,Non-listed and complex listed options,C,Credit,Underlying assets,U,CDS on a single name,Option style and type,A,European-Call,Valuation method or trigger,V,Vanilla,Delivery,P,Physical,QZ9PJRMR82DX,CALL,EURO,Vanilla,PHYS
