TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZNVT8X53N0W,New,,2023-11-05 14:49:21,JFTXCC,NA/Fwd CFD CAD GBP,CAD GBP,Spot,Contract for Difference (CFD),Cash,CAD,GBP,AUD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZ7458CXNGZX,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD EUR KRW,EUR KRW,Spot,Contract for Difference (CFD),Cash,EUR,KRW,EUR,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZTTVRLDMZFX,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD MYR USD,MYR USD,Spot,Contract for Difference (CFD),Cash,MYR,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZSKJVDF5WX8,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD RUB USD,RUB USD,Spot,Contract for Difference (CFD),Cash,RUB,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZN9ZC5FH0XZ,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD AUD INR,AUD INR,Spot,Contract for Difference (CFD),Cash,AUD,INR,AUD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZCNT3BMG9JJ,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD COP JPY,COP JPY,Spot,Contract for Difference (CFD),Cash,COP,JPY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZDBBTN8X545,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD JPY RUB,JPY RUB,Spot,Contract for Difference (CFD),Cash,JPY,RUB,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZKD8FSD4PK4,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD USD XAU,USD XAU,Spot,Contract for Difference (CFD),Cash,USD,XAU,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZR6DB7Z94JQ,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD USD XAG,USD XAG,Spot,Contract for Difference (CFD),Cash,USD,XAG,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Contract_For_Difference,UPI,QZNBKVHM12Z4,New,,2023-11-10 04:05:04,JFTXCC,NA/Fwd CFD TRY USD,TRY USD,Spot,Contract for Difference (CFD),Cash,TRY,USD,TRY,CASH,,,,,,,,,
