TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Forward,UPI,QZP9J2Z2H4R5,New,,2023-10-15 19:50:04,JFTXFC,NA/Fwd AUD CLP,AUD CLP,Spot,Forward price of underlying instrument,Cash,AUD,CLP,CASH,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZQ59KMMJJQK,New,,2023-10-16 20:08:31,JFTXFP,NA/Fwd CHF USD,CHF USD,Spot,Forward price of underlying instrument,Physical,CHF,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZX7MNCV02FK,New,,2023-10-16 20:09:53,JFTXFP,NA/Fwd CLP USD,CLP USD,Spot,Forward price of underlying instrument,Physical,CLP,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZZT4LTBDL7R,New,,2023-10-16 20:10:28,JFTXFP,NA/Fwd CAD USD,CAD USD,Spot,Forward price of underlying instrument,Physical,CAD,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZKC6FFQL6Q3,New,,2023-10-19 17:28:13,JFTXFP,NA/Fwd EUR USD,EUR USD,Spot,Forward price of underlying instrument,Physical,EUR,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZJ802ZB82G1,New,,2023-10-19 17:29:27,JFTXFP,NA/Fwd EUR JPY,EUR JPY,Spot,Forward price of underlying instrument,Physical,EUR,JPY,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZ8NB0J4CSQC,New,,2023-10-19 17:31:05,JFTXFP,NA/Fwd TRY USD,TRY USD,Spot,Forward price of underlying instrument,Physical,TRY,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZLB8N9G1BTX,New,,2023-10-19 17:31:45,JFTXFP,NA/Fwd NOK USD,NOK USD,Spot,Forward price of underlying instrument,Physical,NOK,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZ519CG94F4L,New,,2023-10-19 17:32:43,JFTXFP,NA/Fwd NZD USD,NZD USD,Spot,Forward price of underlying instrument,Physical,NZD,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZR7W162QSBQ,New,,2023-10-19 17:33:49,JFTXFP,NA/Fwd AUD USD,AUD USD,Spot,Forward price of underlying instrument,Physical,AUD,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZ8QJ6XXG7X5,New,,2023-10-19 17:37:39,JFTXFP,NA/Fwd JPY USD,JPY USD,Spot,Forward price of underlying instrument,Physical,JPY,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZPK2M4LKLJR,New,,2023-10-19 17:38:43,JFTXFP,NA/Fwd GBP USD,GBP USD,Spot,Forward price of underlying instrument,Physical,GBP,USD,PHYS,,,,,,,,,,
