TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_DeliveryType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,NDF,UPI,QZ9L91GTWPT3,New,,2023-10-16 16:57:45,JFTXFC,NA/Fwd NDF ARS USD,ARS USD,Spot,Forward price of underlying instrument,CASH,Cash,ARS,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ95QCJX1JRX,New,,2023-10-16 16:59:16,JFTXFC,NA/Fwd NDF BRL USD,BRL USD,Spot,Forward price of underlying instrument,CASH,Cash,BRL,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ00VD18Q4T6,New,,2023-10-16 17:00:33,JFTXFC,NA/Fwd NDF CLP USD,CLP USD,Spot,Forward price of underlying instrument,CASH,Cash,CLP,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ6583NHBZK7,New,,2023-10-16 17:02:10,JFTXFC,NA/Fwd NDF CNY USD,CNY USD,Spot,Forward price of underlying instrument,CASH,Cash,CNY,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZQVD5W65KNZ,New,,2023-10-16 17:02:49,JFTXFC,NA/Fwd NDF COP USD,COP USD,Spot,Forward price of underlying instrument,CASH,Cash,COP,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ5977C3572V,New,,2023-10-16 17:03:43,JFTXFC,NA/Fwd NDF EGP USD,EGP USD,Spot,Forward price of underlying instrument,CASH,Cash,EGP,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZV97ZRRD7J6,New,,2023-10-16 19:06:45,JFTXFC,NA/Fwd NDF GHS USD,GHS USD,Spot,Forward price of underlying instrument,CASH,Cash,GHS,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZQR57LHTLB2,New,,2023-10-16 19:07:23,JFTXFC,NA/Fwd NDF IDR USD,IDR USD,Spot,Forward price of underlying instrument,CASH,Cash,IDR,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZQDJSBGDWPG,New,,2023-10-16 19:08:17,JFTXFC,NA/Fwd NDF INR USD,INR USD,Spot,Forward price of underlying instrument,CASH,Cash,INR,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZDCBBZ90RVP,New,,2023-10-16 19:08:45,JFTXFC,NA/Fwd NDF KES USD,KES USD,Spot,Forward price of underlying instrument,CASH,Cash,KES,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZKL3MJ7CZC6,New,,2023-10-16 19:09:19,JFTXFC,NA/Fwd NDF KRW USD,KRW USD,Spot,Forward price of underlying instrument,CASH,Cash,KRW,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZGWWSMJ8F1G,New,,2023-10-16 19:10:02,JFTXFC,NA/Fwd NDF MYR USD,MYR USD,Spot,Forward price of underlying instrument,CASH,Cash,MYR,USD,USD,,,,,,,,,
