TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZX9P0QHFZBK,New,,2023-11-05 12:46:53,JFTXFC,NA/Fwd Rlg Spot EUR USD,EUR USD,Spot,Forward price of underlying instrument,Cash,EUR,USD,CAD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ34K8DHP4MK,New,,2023-11-06 08:36:21,JFTXFC,NA/Fwd Rlg Spot AUD HKD,AUD HKD,Spot,Forward price of underlying instrument,Cash,AUD,HKD,HKD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZZQ9R4ZXNKL,New,,2023-11-10 16:21:16,JFTXFC,NA/Fwd Rlg Spot CHF CZK,CHF CZK,Spot,Forward price of underlying instrument,Cash,CHF,CZK,CHF,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZTHV2TLWTBF,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot CHF USD,CHF USD,Spot,Forward price of underlying instrument,Cash,CHF,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ45F20QPZDD,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot JPY TRY,JPY TRY,Spot,Forward price of underlying instrument,Cash,JPY,TRY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZCZQ09XS7DG,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot MXN USD,MXN USD,Spot,Forward price of underlying instrument,Cash,MXN,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZQSXV8X2RQX,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot NOK PLN,NOK PLN,Spot,Forward price of underlying instrument,Cash,NOK,PLN,PLN,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ9MJD21P2V4,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot AUD USD,AUD USD,Spot,Forward price of underlying instrument,Cash,AUD,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZGKQ8641BSB,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot EUR NOK,EUR NOK,Spot,Forward price of underlying instrument,Cash,EUR,NOK,EUR,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZLZ926B9Z2L,New,,2023-11-11 11:48:48,JFTXFC,NA/Fwd Rlg Spot EUR USD,EUR USD,Spot,Forward price of underlying instrument,Cash,EUR,USD,USD,CASH,,,,,,,,,
