TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZQ379J4F22T,New,,2023-11-05T12:44:54,JFTXSC,NA/Fwd Spread ARS USD,ARS USD,Spot,Spreadbets,Cash,ARS,USD,CASH,,BDT,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ9K2F1D6JNS,New,,2023-11-05T12:46:25,JFTXSC,NA/Fwd Spread CAD USD,CAD USD,Spot,Spreadbets,Cash,CAD,USD,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ58V12WVMNR,New,,2023-11-05T14:49:25,JFTXSC,NA/Fwd Spread BRL USD,BRL USD,Spot,Spreadbets,Cash,BRL,USD,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZDCX13F4ZTC,New,,2023-11-11T11:49:36,JFTXSP,NA/Fwd Spread EUR USD,EUR USD,Spot,Spreadbets,Physical,EUR,USD,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ2M24G3752B,New,,2023-11-11T11:49:36,JFTXSP,NA/Fwd Spread CAD EUR,CAD EUR,Spot,Spreadbets,Physical,CAD,EUR,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZXRXK8DLVCZ,New,,2023-11-11T11:49:36,JFTXSC,NA/Fwd Spread ETB VEF,ETB VEF,Spot,Spreadbets,Cash,ETB,VEF,CASH,,DZD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZMT1KP5K74W,New,,2023-11-11T11:49:36,JFTXSP,NA/Fwd Spread GBP USD,GBP USD,Spot,Spreadbets,Physical,GBP,USD,PHYS,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZGXMKZ3WNGF,New,,2023-11-11T11:49:36,JFTXSC,NA/Fwd Spread EUR USD,EUR USD,Spot,Spreadbets,Cash,EUR,USD,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ6SN21X7J7S,New,,2023-11-11T11:49:36,JFTXSC,NA/Fwd Spread CAD EUR,CAD EUR,Spot,Spreadbets,Cash,CAD,EUR,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZSFBPB0S4JB,New,,2023-11-11T11:49:36,JFTXSC,NA/Fwd Spread EUR USD,EUR USD,Spot,Spreadbets,Cash,EUR,USD,CASH,,USD,,,,,,,,
