TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZH5X1M00N6N,New,,2023-11-05T12:46:26,JFRXFC,NA/Fwd VolVar BRL EUR,BRL EUR,Forward,Forward price of underlying instrument,Cash,BRL,EUR,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZMK0ZQBBDXK,New,,2023-11-06T10:10:15,JFRXFC,NA/Fwd VolVar GBP USD,GBP USD,Forward,Forward price of underlying instrument,Cash,GBP,USD,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZGWBQZ9XXF2,New,,2023-11-06T11:27:52,JFRXFP,NA/Fwd VolVar EUR USD,EUR USD,Forward,Forward price of underlying instrument,Physical,EUR,USD,PHYS,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZGPW71ZZWVN,New,,2023-11-06T11:28:05,JFRXFP,NA/Fwd VolVar EUR USD,EUR USD,Forward,Forward price of underlying instrument,Physical,EUR,USD,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZG6T5JCJ2SZ,New,,2023-11-06T13:12:04,JFRXFC,NA/Fwd VolVar EUR USD,EUR USD,Forward,Forward price of underlying instrument,Cash,EUR,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZDBVDN1PHL1,New,,2023-11-06T14:36:37,JFRXFC,NA/Fwd VolVar AUD NZD,AUD NZD,Forward,Forward price of underlying instrument,Cash,AUD,NZD,CASH,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZTWBW11MCMD,New,,2023-11-06T14:36:45,JFRXFC,NA/Fwd VolVar SEK USD,SEK USD,Forward,Forward price of underlying instrument,Cash,SEK,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ188BC394Z8,New,,2023-11-06T14:36:53,JFRXFC,NA/Fwd VolVar CZK USD,CZK USD,Forward,Forward price of underlying instrument,Cash,CZK,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ1V9JDKJSW5,New,,2023-11-06T14:40:34,JFRXFP,NA/Fwd VolVar AUD NZD,AUD NZD,Forward,Forward price of underlying instrument,Physical,AUD,NZD,PHYS,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZSZS1QM5P4T,New,,2023-11-06T14:40:34,JFRXFP,NA/Fwd VolVar AUD NZD,AUD NZD,Forward,Forward price of underlying instrument,Physical,AUD,NZD,PHYS,,NZD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ3K7161JTJ9,New,,2023-11-06T14:58:01,JFRXFC,NA/Fwd VolVar AUD JPY,AUD JPY,Forward,Forward price of underlying instrument,Cash,AUD,JPY,CASH,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ2HPFDSQ4HB,New,,2023-11-06T14:58:01,JFRXFC,NA/Fwd VolVar AUD USD,AUD USD,Forward,Forward price of underlying instrument,Cash,AUD,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZH5R75F52X7,New,,2023-11-06T14:58:02,JFRXFC,NA/Fwd VolVar CAD USD,CAD USD,Forward,Forward price of underlying instrument,Cash,CAD,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZTT3DXQJHR1,New,,2023-11-06T14:58:02,JFRXFC,NA/Fwd VolVar EUR JPY,EUR JPY,Forward,Forward price of underlying instrument,Cash,EUR,JPY,CASH,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ5C4SGZ25S3,New,,2023-11-06T14:58:02,JFRXFC,NA/Fwd VolVar EUR GBP,EUR GBP,Forward,Forward price of underlying instrument,Cash,EUR,GBP,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZPQTL9ZBGP1,New,,2023-11-06T14:58:03,JFRXFC,NA/Fwd VolVar JPY USD,JPY USD,Forward,Forward price of underlying instrument,Cash,JPY,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZTNTX9XBJFR,New,,2023-11-06T14:58:03,JFRXFC,NA/Fwd VolVar NZD USD,NZD USD,Forward,Forward price of underlying instrument,Cash,NZD,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZQB24TJHG71,New,,2023-11-06T15:15:57,JFRXFC,NA/Fwd VolVar EUR ZAR,EUR ZAR,Forward,Forward price of underlying instrument,Cash,EUR,ZAR,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZP28QRR6TB9,New,,2023-11-06T15:24:39,JFRXFC,NA/Fwd VolVar AUD JPY,AUD JPY,Forward,Forward price of underlying instrument,Cash,AUD,JPY,CASH,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZKJZ4X55B68,New,,2023-11-06T15:36:18,JFRXFC,NA/Fwd VolVar EUR USD,EUR USD,Forward,Forward price of underlying instrument,Cash,EUR,USD,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZN0ZV480HQV,New,,2023-11-06T17:01:16,JFRXFC,NA/Fwd VolVar CNY USD,CNY USD,Forward,Forward price of underlying instrument,Cash,CNY,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ53GPD155SZ,New,,2023-11-06T17:01:23,JFRXFC,NA/Fwd VolVar GBP USD,GBP USD,Forward,Forward price of underlying instrument,Cash,GBP,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZPX701JHVCT,New,,2023-11-06T17:01:25,JFRXFC,NA/Fwd VolVar AUD USD,AUD USD,Forward,Forward price of underlying instrument,Cash,AUD,USD,CASH,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ8HMCJ7KTZ6,New,,2023-11-06T18:34:48,JFRXFP,NA/Fwd VolVar USD ZAR,USD ZAR,Forward,Forward price of underlying instrument,Physical,USD,ZAR,PHYS,,XXX,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZT227TB50L0,New,,2023-11-07T15:19:30,JFRXFP,NA/Fwd VolVar EUR GBP,EUR GBP,Forward,Forward price of underlying instrument,Physical,EUR,GBP,PHYS,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ9DZGRHL76T,New,,2023-11-07T15:19:30,JFRXFP,NA/Fwd VolVar EUR GBP,EUR GBP,Forward,Forward price of underlying instrument,Physical,EUR,GBP,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZTVKJXF7X2Z,New,,2023-11-07T15:58:05,JFRXFC,NA/Fwd VolVar CAD GBP,CAD GBP,Forward,Forward price of underlying instrument,Cash,CAD,GBP,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZWM76291NPW,New,,2023-11-07T15:58:06,JFRXFC,NA/Fwd VolVar AUD GBP,AUD GBP,Forward,Forward price of underlying instrument,Cash,AUD,GBP,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZDWX2Z9DH13,New,,2023-11-07T16:22:36,JFRXFC,NA/Fwd VolVar GBP NZD,GBP NZD,Forward,Forward price of underlying instrument,Cash,GBP,NZD,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZQ02QGJVNFC,New,,2023-11-07T16:44:51,JFRXFP,NA/Fwd VolVar EUR GBP,EUR GBP,Forward,Forward price of underlying instrument,Physical,EUR,GBP,PHYS,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZNV8CP76NSW,New,,2023-11-08T12:32:13,JFRXFC,NA/Fwd VolVar NOK USD,NOK USD,Forward,Forward price of underlying instrument,Cash,NOK,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZZ4H2VZ3ZW7,New,,2023-11-08T12:53:36,JFRXFP,NA/Fwd VolVar CAD USD,CAD USD,Forward,Forward price of underlying instrument,Physical,CAD,USD,PHYS,,CAD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ0HNJNC2214,New,,2023-11-08T14:05:39,JFRXFC,NA/Fwd VolVar CHF EUR,CHF EUR,Forward,Forward price of underlying instrument,Cash,CHF,EUR,CASH,,CHF,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ1GBQQMRHK9,New,,2023-11-08T15:41:15,JFRXFC,NA/Fwd VolVar EUR JPY,EUR JPY,Forward,Forward price of underlying instrument,Cash,EUR,JPY,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZWFN5XW3V24,New,,2023-11-08T17:01:18,JFRXFC,NA/Fwd VolVar BRL USD,BRL USD,Forward,Forward price of underlying instrument,Cash,BRL,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZC831LJ87HT,New,,2023-11-08T18:46:29,JFRXFC,NA/Fwd VolVar AUD EUR,AUD EUR,Forward,Forward price of underlying instrument,Cash,AUD,EUR,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ2LS5586R13,New,,2023-11-08T18:49:10,JFRXFP,NA/Fwd VolVar AUD EUR,AUD EUR,Forward,Forward price of underlying instrument,Physical,AUD,EUR,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ2X0915Z91T,New,,2023-11-08T18:49:11,JFRXFP,NA/Fwd VolVar AUD EUR,AUD EUR,Forward,Forward price of underlying instrument,Physical,AUD,EUR,PHYS,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZRGP7MNKGMH,New,,2023-11-08T19:58:42,JFRXFC,NA/Fwd VolVar NZD USD,NZD USD,Forward,Forward price of underlying instrument,Cash,NZD,USD,CASH,,NZD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ04BKKTCH61,New,,2023-11-09T14:20:25,JFRXFP,NA/Fwd VolVar CAD USD,CAD USD,Forward,Forward price of underlying instrument,Physical,CAD,USD,PHYS,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ3TRH1C5JSP,New,,2023-11-09T14:25:05,JFRXFC,NA/Fwd VolVar CHF USD,CHF USD,Forward,Forward price of underlying instrument,Cash,CHF,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZFV97Z8BG9M,New,,2023-11-09T14:54:37,JFRXFC,NA/Fwd VolVar EUR GBP,EUR GBP,Forward,Forward price of underlying instrument,Cash,EUR,GBP,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZB0HBZ0WK3J,New,,2023-11-09T17:01:21,JFRXFC,NA/Fwd VolVar ILS USD,ILS USD,Forward,Forward price of underlying instrument,Cash,ILS,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ5TQTBKFG4X,New,,2023-11-09T17:01:26,JFRXFC,NA/Fwd VolVar CLP USD,CLP USD,Forward,Forward price of underlying instrument,Cash,CLP,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZFT4MPZ7RXZ,New,,2023-11-09T20:56:42,JFRXFC,NA/Fwd VolVar MXN USD,MXN USD,Forward,Forward price of underlying instrument,Cash,MXN,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZZJQF7X15C7,New,,2023-11-10T10:09:57,JFRXFC,NA/Fwd VolVar EUR SEK,EUR SEK,Forward,Forward price of underlying instrument,Cash,EUR,SEK,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZN1S8VZ0WT6,New,,2023-11-10T14:57:43,JFRXFP,NA/Fwd VolVar NZD USD,NZD USD,Forward,Forward price of underlying instrument,Physical,NZD,USD,PHYS,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZC0KBZ97K4G,New,,2023-11-10T15:01:47,JFRXFP,NA/Fwd VolVar EUR GBP,EUR GBP,Forward,Forward price of underlying instrument,Physical,EUR,GBP,PHYS,,CAD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZNQL0W1NSQ0,New,,2023-11-10T15:02:05,JFRXFP,NA/Fwd VolVar AUD JPY,AUD JPY,Forward,Forward price of underlying instrument,Physical,AUD,JPY,PHYS,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ0QSWCXMK0V,New,,2023-11-10T15:02:05,JFRXFP,NA/Fwd VolVar AUD JPY,AUD JPY,Forward,Forward price of underlying instrument,Physical,AUD,JPY,PHYS,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZTQ8J6387ZK,New,,2023-11-10T15:02:39,JFRXFP,NA/Fwd VolVar JPY USD,JPY USD,Forward,Forward price of underlying instrument,Physical,JPY,USD,PHYS,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ3SNXVQQDB9,New,,2023-11-10T15:02:54,JFRXFP,NA/Fwd VolVar AUD JPY,AUD JPY,Forward,Forward price of underlying instrument,Physical,AUD,JPY,PHYS,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZW9686D1GKW,New,,2023-11-10T15:03:21,JFRXFP,NA/Fwd VolVar EUR JPY,EUR JPY,Forward,Forward price of underlying instrument,Physical,EUR,JPY,PHYS,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZT0B5X4QX7G,New,,2023-11-10T15:03:21,JFRXFP,NA/Fwd VolVar EUR JPY,EUR JPY,Forward,Forward price of underlying instrument,Physical,EUR,JPY,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZM4ZDWHG8TZ,New,,2023-11-10T15:03:40,JFRXFP,NA/Fwd VolVar AUD USD,AUD USD,Forward,Forward price of underlying instrument,Physical,AUD,USD,PHYS,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZRX14NZPPSD,New,,2023-11-10T15:03:40,JFRXFP,NA/Fwd VolVar AUD USD,AUD USD,Forward,Forward price of underlying instrument,Physical,AUD,USD,PHYS,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZWGJ6WS9T76,New,,2023-11-10T15:04:15,JFRXFP,NA/Fwd VolVar GBP USD,GBP USD,Forward,Forward price of underlying instrument,Physical,GBP,USD,PHYS,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZTP2V3HQCZ4,New,,2023-11-10T15:05:07,JFRXFP,NA/Fwd VolVar EUR USD,EUR USD,Forward,Forward price of underlying instrument,Physical,EUR,USD,PHYS,,AUD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ2F4P4KTXN9,New,,2023-11-10T15:28:40,JFRXFP,NA/Fwd VolVar JPY USD,JPY USD,Forward,Forward price of underlying instrument,Physical,JPY,USD,PHYS,,CAD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZC5GDBCH981,New,,2023-11-10T15:28:40,JFRXFP,NA/Fwd VolVar JPY USD,JPY USD,Forward,Forward price of underlying instrument,Physical,JPY,USD,PHYS,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZLKT024N27R,New,,2023-11-10T15:29:13,JFRXFP,NA/Fwd VolVar NZD USD,NZD USD,Forward,Forward price of underlying instrument,Physical,NZD,USD,PHYS,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZDZHLV84HTR,New,,2023-11-10T15:29:38,JFRXFP,NA/Fwd VolVar NZD USD,NZD USD,Forward,Forward price of underlying instrument,Physical,NZD,USD,PHYS,,NZD,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZ0HJ0TKLNB1,New,,2023-11-10T15:32:31,JFRXFP,NA/Fwd VolVar GBP USD,GBP USD,Forward,Forward price of underlying instrument,Physical,GBP,USD,PHYS,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZFV42RK5VNM,New,,2023-11-10T17:01:11,JFRXFC,NA/Fwd VolVar CHF EUR,CHF EUR,Forward,Forward price of underlying instrument,Cash,CHF,EUR,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZZH53C5QJDC,New,,2023-11-11T11:49:54,JFRXFC,NA/Fwd VolVar CHF USD,CHF USD,Forward,Forward price of underlying instrument,Cash,CHF,USD,CASH,,CHF,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZVF4Q568V58,New,,2023-11-11T11:49:54,JFRXFC,NA/Fwd VolVar JPY USD,JPY USD,Forward,Forward price of underlying instrument,Cash,JPY,USD,CASH,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Vol_Var,UPI,QZMG6NXQJL9G,New,,2023-11-11T11:49:55,JFRXFP,NA/Fwd VolVar KRW USD,KRW USD,Forward,Forward price of underlying instrument,Physical,KRW,USD,PHYS,,KRW,,,,,,,,
