TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZ9W06D074PQ,New,,2023-11-05T12:46:32,HFTEBP,NA/O Bar Put EUR NOK,EUR NOK,Spot,,Physical,EUR,NOK,PHYS,,CAD,Barrier,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZRH87S4M3BJ,New,,2023-11-05T23:54:45,HFTABP,NA/O Bar Call CHF USD,CHF USD,Spot,,Physical,CHF,USD,PHYS,,XXX,Barrier,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZ4583CNWMRH,New,,2023-11-06T00:21:07,HFTABP,NA/O Bar Call CNY USD,CNY USD,Spot,,Physical,CNY,USD,PHYS,,XXX,Barrier,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZWSR6JPD25D,New,,2023-11-06T00:21:07,HFTDBP,NA/O Bar Put CNY USD,CNY USD,Spot,,Physical,CNY,USD,PHYS,,XXX,Barrier,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZ5FV2TQ1CC7,New,,2023-11-06T00:35:54,HFTDBC,NA/O Bar Put TWD USD,TWD USD,Spot,,Cash,TWD,USD,CASH,,USD,Barrier,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZKCXNKW7738,New,,2023-11-06T00:50:06,HFTABC,NA/O Bar Call KRW USD,KRW USD,Spot,,Cash,KRW,USD,CASH,,XXX,Barrier,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZ9TQVD2N35V,New,,2023-11-06T01:12:24,HFTDBC,NA/O Bar Put KRW USD,KRW USD,Spot,,Cash,KRW,USD,CASH,,USD,Barrier,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZW7GKCTXCV1,New,,2023-11-06T01:16:38,HFTDBP,NA/O Bar Put GBP JPY,GBP JPY,Spot,,Physical,GBP,JPY,PHYS,,XXX,Barrier,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZS7R245PRTB,New,,2023-11-06T01:42:59,HFTDBP,NA/O Bar Put AUD USD,AUD USD,Spot,,Physical,AUD,USD,PHYS,,USD,Barrier,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZ44454H4N2T,New,,2023-11-06T01:43:02,HFTABP,NA/O Bar Call AUD USD,AUD USD,Spot,,Physical,AUD,USD,PHYS,,USD,Barrier,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Barrier_Option,UPI,QZPT5C4S1W8S,New,,2023-11-06T01:51:25,HFTABP,NA/O Bar Call THB USD,THB USD,Spot,,Physical,THB,USD,PHYS,,XXX,Barrier,European-Call,CALL,EURO,,,,
