TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZDKH2QMPTK4,New,,2023-11-05T12:46:34,HFVGMP,NA/O Fwd Vol O CAD GBP,CAD GBP,Volatility,,Physical,CAD,GBP,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ8ZQZNVS7SR,New,,2023-11-06T04:24:59,HFVGMP,NA/O Fwd Vol O JPY USD,JPY USD,Volatility,,Physical,JPY,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZK2QJTZ1C4C,New,,2023-11-06T17:01:05,HFVGMP,NA/O Fwd Vol O CHF USD,CHF USD,Volatility,,Physical,CHF,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZS1V322W5C3,New,,2023-11-07T06:29:27,HFVGMP,NA/O Fwd Vol O CNY USD,CNY USD,Volatility,,Physical,CNY,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ2JNMWKKM19,New,,2023-11-07T13:39:38,HFVAMP,NA/O Fwd Vol Call EUR USD,EUR USD,Volatility,,Physical,EUR,USD,PHYS,,,Other,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZBNP3301B3S,New,,2023-11-07T14:19:30,HFVGMP,NA/O Fwd Vol O BRL USD,BRL USD,Volatility,,Physical,BRL,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZM8PRJ7C8N3,New,,2023-11-07T14:46:31,HFVDMP,NA/O Fwd Vol Put EUR USD,EUR USD,Volatility,,Physical,EUR,USD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZCCMPWDVBDG,New,,2023-11-07T17:00:55,HFVGMP,NA/O Fwd Vol O GBP JPY,GBP JPY,Volatility,,Physical,GBP,JPY,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZDD904G4RHH,New,,2023-11-07T17:01:06,HFVGMP,NA/O Fwd Vol O EUR JPY,EUR JPY,Volatility,,Physical,EUR,JPY,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZF8T0NM2VQX,New,,2023-11-07T17:01:18,HFVGMP,NA/O Fwd Vol O CLP USD,CLP USD,Volatility,,Physical,CLP,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ113V0ZSNTN,New,,2023-11-08T02:20:27,HFVAMP,NA/O Fwd Vol Call AUD USD,AUD USD,Volatility,,Physical,AUD,USD,PHYS,,,Other,European-Call,CALL,EURO,,,,
