TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,NDO,UPI,QZG0J9ZKFFW6,New,,2023-11-05T14:49:30,HFTAVC,NA/O NDO Call TWD USD,TWD USD,Spot,,Cash,TWD,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZLVWZWJ5S2H,New,,2023-11-05T22:01:27,HFTAVC,NA/O NDO Call PHP USD,PHP USD,Spot,,Cash,PHP,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZRNK6VF9XTS,New,,2023-11-05T22:01:28,HFTDVC,NA/O NDO Put PHP USD,PHP USD,Spot,,Cash,PHP,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ8X8C8PKJ4H,New,,2023-11-06T00:34:54,HFTAVC,NA/O NDO Call KRW USD,KRW USD,Spot,,Cash,KRW,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ6R9Q7KKTB9,New,,2023-11-06T01:58:44,HFTDVC,NA/O NDO Put TWD USD,TWD USD,Spot,,Cash,TWD,USD,,CASH,XXX,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ4PZGN14JJQ,New,,2023-11-06T02:01:18,HFTDVC,NA/O NDO Put TWD USD,TWD USD,Spot,,Cash,TWD,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZPV2MKKK4SB,New,,2023-11-06T02:44:11,HFTAVC,NA/O NDO Call JPY TWD,JPY TWD,Spot,,Cash,JPY,TWD,,CASH,JPY,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZPVJ2B3HS5F,New,,2023-11-06T03:02:09,HFTAVC,NA/O NDO Call EUR TWD,EUR TWD,Spot,,Cash,EUR,TWD,,CASH,EUR,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZL4RQ29N1RD,New,,2023-11-06T03:25:10,HFTDVC,NA/O NDO Put IDR USD,IDR USD,Spot,,Cash,IDR,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZT6W1KFB1D3,New,,2023-11-06T03:25:10,HFTAVC,NA/O NDO Call IDR USD,IDR USD,Spot,,Cash,IDR,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ4WKKZTMLMV,New,,2023-11-06T03:59:06,HFTDVC,NA/O NDO Put INR USD,INR USD,Spot,,Cash,INR,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZS95LM1B5NJ,New,,2023-11-06T03:59:06,HFTAVC,NA/O NDO Call INR USD,INR USD,Spot,,Cash,INR,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZPBZNB07HRM,New,,2023-11-06T04:01:21,HFTDVC,NA/O NDO Put IDR USD,IDR USD,Spot,,Cash,IDR,USD,,CASH,XXX,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ3W4Q5HQ4SC,New,,2023-11-06T04:35:29,HFTDVC,NA/O NDO Put JPY USD,JPY USD,Spot,,Cash,JPY,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZMGD4RD9W8R,New,,2023-11-06T04:35:38,HFTAVC,NA/O NDO Call GBP USD,GBP USD,Spot,,Cash,GBP,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZSVD6SM018C,New,,2023-11-06T04:35:44,HFTAVC,NA/O NDO Call CNY USD,CNY USD,Spot,,Cash,CNY,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZW1MK30GZZD,New,,2023-11-06T05:46:46,HFTDVC,NA/O NDO Put KRW USD,KRW USD,Spot,,Cash,KRW,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZP5CBFFM3G2,New,,2023-11-06T06:00:47,HFTAVC,NA/O NDO Call CHF USD,CHF USD,Spot,,Cash,CHF,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ5CKP3W8Z0S,New,,2023-11-06T06:54:12,HFTDVC,NA/O NDO Put CNY USD,CNY USD,Spot,,Cash,CNY,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ98CS9C18PL,New,,2023-11-06T07:15:36,HFTDVC,NA/O NDO Put KRW TWD,KRW TWD,Spot,,Cash,KRW,TWD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZLR9F7J8KWR,New,,2023-11-06T07:35:09,HFTAVC,NA/O NDO Call EUR USD,EUR USD,Spot,,Cash,EUR,USD,,CASH,USD,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZPN3J963KWK,New,,2023-11-06T07:51:15,HFTDVC,NA/O NDO Put EUR KRW,EUR KRW,Spot,,Cash,EUR,KRW,,CASH,EUR,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZNGP16MKPJ3,New,,2023-11-06T08:00:41,HFTDVC,NA/O NDO Put IDR JPY,IDR JPY,Spot,,Cash,IDR,JPY,,CASH,JPY,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZC0W2FTF9Z4,New,,2023-11-06T08:21:10,HFTDVC,NA/O NDO Put AUD USD,AUD USD,Spot,,Cash,AUD,USD,,CASH,USD,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZRGLGCS7KMV,New,,2023-11-06T08:30:20,HFTDVC,NA/O NDO Put KRW USD,KRW USD,Spot,,Cash,KRW,USD,,CASH,XXX,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZKHBR7V77XH,New,,2023-11-06T08:41:23,HFTDVC,NA/O NDO Put CNY TWD,CNY TWD,Spot,,Cash,CNY,TWD,,CASH,CNY,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZR622CTSXFQ,New,,2023-11-06T09:03:24,HFTDVC,NA/O NDO Put GBP INR,GBP INR,Spot,,Cash,GBP,INR,,CASH,GBP,,European-Put,PUTO,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ108Q6XV3D7,New,,2023-11-06T09:03:24,HFTAVC,NA/O NDO Call GBP INR,GBP INR,Spot,,Cash,GBP,INR,,CASH,GBP,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZKZJMG7ZZ48,New,,2023-11-06T09:31:15,HFTAVC,NA/O NDO Call CNY USD,CNY USD,Spot,,Cash,CNY,USD,,CASH,CNY,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ3G74DV8L8S,New,,2023-11-06T09:38:12,HFTAVC,NA/O NDO Call CNY TWD,CNY TWD,Spot,,Cash,CNY,TWD,,CASH,CNY,,European-Call,CALL,EURO,,,,Vanilla
1,Foreign_Exchange,Option,NDO,UPI,QZ8TCB43HFQH,New,,2023-11-06T09:39:24,HFTDVC,NA/O NDO Put INR USD,INR USD,Spot,,Cash,INR,USD,,CASH,XXX,,European-Put,PUTO,EURO,,,,Vanilla
