TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Target_Option,UPI,QZW400XTG4XJ,New,,2023-11-05T12:46:59,HFMGMP,NA/O Targ O MXN USD,MXN USD,Other,,Physical,MXN,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZ0BK69VQG23,New,,2023-11-06T00:30:50,HFMAMP,NA/O Targ Call GBP JPY,GBP JPY,Other,,Physical,GBP,JPY,PHYS,,,Other,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZHXX9QJ7X6M,New,,2023-11-06T00:36:49,HFMGMP,NA/O Targ O CHF USD,CHF USD,Other,,Physical,CHF,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZR0S2KMFDQZ,New,,2023-11-06T00:48:45,HFMDMP,NA/O Targ Put EUR USD,EUR USD,Other,,Physical,EUR,USD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZ508ZR5NN71,New,,2023-11-06T00:59:12,HFMGMP,NA/O Targ O GBP USD,GBP USD,Other,,Physical,GBP,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZRXQ5X8BGLL,New,,2023-11-06T01:28:47,HFMGMP,NA/O Targ O SGD USD,SGD USD,Other,,Physical,SGD,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZM811PD9G32,New,,2023-11-06T01:39:05,HFMDMP,NA/O Targ Put JPY USD,JPY USD,Other,,Physical,JPY,USD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZFC03T37X9B,New,,2023-11-06T01:43:56,HFMDMP,NA/O Targ Put CHF USD,CHF USD,Other,,Physical,CHF,USD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZ534TK984PR,New,,2023-11-06T01:53:36,HFMDMP,NA/O Targ Put HKD USD,HKD USD,Other,,Physical,HKD,USD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZ64G8R11LTB,New,,2023-11-06T01:57:00,HFMDMP,NA/O Targ Put USD XAU,USD XAU,Other,,Physical,USD,XAU,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZVM3GNSVBKF,New,,2023-11-06T02:13:25,HFMAMP,NA/O Targ Call NZD USD,NZD USD,Other,,Physical,NZD,USD,PHYS,,,Other,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZZSNF7LDGP2,New,,2023-11-06T02:13:40,HFMGMP,NA/O Targ O NZD USD,NZD USD,Other,,Physical,NZD,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZJFDC0Z2MCR,New,,2023-11-06T02:15:02,HFMDMP,NA/O Targ Put NZD USD,NZD USD,Other,,Physical,NZD,USD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
1,Foreign_Exchange,Option,Target_Option,UPI,QZKMD6XV6H1K,New,,2023-11-06T02:19:41,HFMDMP,NA/O Targ Put AUD SGD,AUD SGD,Other,,Physical,AUD,SGD,PHYS,,,Other,European-Put,PUTO,EURO,,,,
