TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ83019TMPN5,New,,2023-10-19T19:05:30,HFTGVP,NA/O Van O CAD USD,CAD USD,Spot,,Physical,CAD,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ9L9399503S,New,,2023-10-19T19:06:20,HFTGVP,NA/O Van O CHF USD,CHF USD,Spot,,Physical,CHF,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZKDHW7XVWH0,New,,2023-10-19T19:06:58,HFTGVP,NA/O Van O EUR GBP,EUR GBP,Spot,,Physical,EUR,GBP,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZSVFGDZKLTP,New,,2023-10-19T19:08:17,HFTGVP,NA/O Van O JPY USD,JPY USD,Spot,,Physical,JPY,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZX80SKZ77CD,New,,2023-10-19T19:09:17,HFTGVP,NA/O Van O AUD USD,AUD USD,Spot,,Physical,AUD,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZKR8NPHFL35,New,,2023-10-19T19:10:00,HFTGVP,NA/O Van O EUR USD,EUR USD,Spot,,Physical,EUR,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ97DT9XF0B8,New,,2023-10-19T19:12:41,HFTGVC,NA/O Van O GBP USD,GBP USD,Spot,,Cash,GBP,USD,CASH,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ8C1HX70VG0,New,,2023-10-19T19:13:58,HFTGVC,NA/O Van O CAD USD,CAD USD,Spot,,Cash,CAD,USD,CASH,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZNVS5RTLK43,New,,2023-10-19T19:14:37,HFTGVC,NA/O Van O CHF USD,CHF USD,Spot,,Cash,CHF,USD,CASH,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ5ZVLFCN3NB,New,,2023-10-19T19:15:28,HFTGVC,NA/O Van O EUR GBP,EUR GBP,Spot,,Cash,EUR,GBP,CASH,,,Vanilla,European-Chooser,OPTL,EURO,,,,
