TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZWP0WPV2FPT,New,,2023-10-28T16:31:37,SFCXXP,NA/Swaps CHF USD,CHF USD,Forward-Forward Swap,,Physical,CHF,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZM6VD81JZ24,New,,2023-10-31T05:35:38,SFCXXP,NA/Swaps AUD JPY,AUD JPY,Forward-Forward Swap,,Physical,AUD,JPY,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZK455DHG53Q,New,,2023-10-31T05:39:12,SFCXXP,NA/Swaps AUD USD,AUD USD,Forward-Forward Swap,,Physical,AUD,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZ7LNN5HCPF0,New,,2023-10-31T05:39:20,SFCXXP,NA/Swaps HKD USD,HKD USD,Forward-Forward Swap,,Physical,HKD,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZMRR5NWJDGW,New,,2023-10-31T05:39:27,SFCXXP,NA/Swaps EUR USD,EUR USD,Forward-Forward Swap,,Physical,EUR,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZ7955K09X90,New,,2023-10-31T05:39:43,SFCXXP,NA/Swaps SGD USD,SGD USD,Forward-Forward Swap,,Physical,SGD,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZV150BVHXWC,New,,2023-10-31T05:42:54,SFCXXP,NA/Swaps JPY USD,JPY USD,Forward-Forward Swap,,Physical,JPY,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZS5ZGW6XH6Q,New,,2023-10-31T05:44:09,SFCXXP,NA/Swaps GBP USD,GBP USD,Forward-Forward Swap,,Physical,GBP,USD,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZJ51TTRJC9J,New,,2023-11-05T11:30:35,SFCXXP,NA/Swaps USD ZAR,USD ZAR,Forward-Forward Swap,,Physical,USD,ZAR,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZT8BSS1RQFS,New,,2023-11-05T11:30:45,SFCXXP,NA/Swaps USD XAU,USD XAU,Forward-Forward Swap,,Physical,USD,XAU,PHYS,,,,,,,,,,
1,Foreign_Exchange,Swap,FX_Swap,UPI,QZ7NFWZ71MBN,New,,2023-11-05T11:30:49,SFCXXP,NA/Swaps RUB USD,RUB USD,Forward-Forward Swap,,Physical,RUB,USD,PHYS,,,,,,,,,,
