TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ0P30JRM2Z9,New,,2023-11-05T18:30:21,SFCXXN,NA/Swaps NDS IDR USD,IDR USD,Forward-Forward Swap,,Non-Deliverable,IDR,USD,OPTL,,IDR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZLPHPWWV9VF,New,,2023-11-05T18:30:22,SFCXXN,NA/Swaps NDS IDR USD,IDR USD,Forward-Forward Swap,,Non-Deliverable,IDR,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ40CWJR29P9,New,,2023-11-05T18:30:24,SFCXXN,NA/Swaps NDS BRL USD,BRL USD,Forward-Forward Swap,,Non-Deliverable,BRL,USD,OPTL,,BRL,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ3P4FZDRJJL,New,,2023-11-05T18:30:52,SFCXXN,NA/Swaps NDS COP USD,COP USD,Forward-Forward Swap,,Non-Deliverable,COP,USD,OPTL,,COP,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZTJ9R6LCVLT,New,,2023-11-05T18:30:53,SFCXXN,NA/Swaps NDS INR USD,INR USD,Forward-Forward Swap,,Non-Deliverable,INR,USD,OPTL,,INR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZGXC9NLHSQZ,New,,2023-11-05T18:31:01,SFCXXN,NA/Swaps NDS KRW USD,KRW USD,Forward-Forward Swap,,Non-Deliverable,KRW,USD,OPTL,,KRW,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ63T9VMF1X4,New,,2023-11-05T18:31:35,SFCXXN,NA/Swaps NDS MYR USD,MYR USD,Forward-Forward Swap,,Non-Deliverable,MYR,USD,OPTL,,MYR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZSTTZPQMFJM,New,,2023-11-05T18:32:25,SFCXXN,NA/Swaps NDS KRW USD,KRW USD,Forward-Forward Swap,,Non-Deliverable,KRW,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZS6JPG6Z02M,New,,2023-11-05T18:33:02,SFCXXN,NA/Swaps NDS TWD USD,TWD USD,Forward-Forward Swap,,Non-Deliverable,TWD,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZHB6T426R54,New,,2023-11-05T18:33:04,SFCXXN,NA/Swaps NDS TWD USD,TWD USD,Forward-Forward Swap,,Non-Deliverable,TWD,USD,OPTL,,TWD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZT610J21Q1N,New,,2023-11-05T18:33:12,SFCXXN,NA/Swaps NDS INR USD,INR USD,Forward-Forward Swap,,Non-Deliverable,INR,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZKRKJCQ9NS9,New,,2023-11-05T18:33:28,SFCXXN,NA/Swaps NDS EUR INR,EUR INR,Forward-Forward Swap,,Non-Deliverable,EUR,INR,OPTL,,EUR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ8ZB6X113RX,New,,2023-11-05T18:34:10,SFCXXN,NA/Swaps NDS CNY JPY,CNY JPY,Forward-Forward Swap,,Non-Deliverable,CNY,JPY,OPTL,,JPY,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZBTFL6RQW28,New,,2023-11-05T18:34:10,SFCXXN,NA/Swaps NDS CNY USD,CNY USD,Forward-Forward Swap,,Non-Deliverable,CNY,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZDF53N2SQ91,New,,2023-11-05T18:34:44,SFCXXN,NA/Swaps NDS CNY USD,CNY USD,Forward-Forward Swap,,Non-Deliverable,CNY,USD,OPTL,,CNY,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZHGT5HZPN3G,New,,2023-11-05T18:35:49,SFCXXN,NA/Swaps NDS PHP USD,PHP USD,Forward-Forward Swap,,Non-Deliverable,PHP,USD,OPTL,,PHP,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ4DCRLNBWDH,New,,2023-11-05T18:36:58,SFCXXN,NA/Swaps NDS EUR KRW,EUR KRW,Forward-Forward Swap,,Non-Deliverable,EUR,KRW,OPTL,,EUR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZSV68ZC0290,New,,2023-11-05T18:37:13,SFCXXN,NA/Swaps NDS EUR KRW,EUR KRW,Forward-Forward Swap,,Non-Deliverable,EUR,KRW,OPTL,,KRW,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ2BXWJ71S69,New,,2023-11-05T18:37:27,SFCXXN,NA/Swaps NDS PHP USD,PHP USD,Forward-Forward Swap,,Non-Deliverable,PHP,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZP3H039807S,New,,2023-11-05T18:39:29,SFCXXN,NA/Swaps NDS EUR TWD,EUR TWD,Forward-Forward Swap,,Non-Deliverable,EUR,TWD,OPTL,,TWD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ6Q6NKXFMPR,New,,2023-11-05T18:40:27,SFCXXN,NA/Swaps NDS EGP USD,EGP USD,Forward-Forward Swap,,Non-Deliverable,EGP,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ6N08146141,New,,2023-11-05T18:40:41,SFCXXN,NA/Swaps NDS EUR INR,EUR INR,Forward-Forward Swap,,Non-Deliverable,EUR,INR,OPTL,,INR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ2D2BVWT4L4,New,,2023-11-05T18:41:19,SFCXXN,NA/Swaps NDS BRL USD,BRL USD,Forward-Forward Swap,,Non-Deliverable,BRL,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ1WJNDLZH1L,New,,2023-11-05T18:41:37,SFCXXN,NA/Swaps NDS CLP USD,CLP USD,Forward-Forward Swap,,Non-Deliverable,CLP,USD,OPTL,,CLP,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ43M842TJ77,New,,2023-11-05T18:41:44,SFCXXN,NA/Swaps NDS COP USD,COP USD,Forward-Forward Swap,,Non-Deliverable,COP,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZXPVK6Z2F8Z,New,,2023-11-05T18:42:19,SFCXXN,NA/Swaps NDS BRL EUR,BRL EUR,Forward-Forward Swap,,Non-Deliverable,BRL,EUR,OPTL,,BRL,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ6JV9LXNPJG,New,,2023-11-05T18:42:39,SFCXXN,NA/Swaps NDS CLP USD,CLP USD,Forward-Forward Swap,,Non-Deliverable,CLP,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ7SN086BH2G,New,,2023-11-05T18:42:41,SFCXXN,NA/Swaps NDS EGP USD,EGP USD,Forward-Forward Swap,,Non-Deliverable,EGP,USD,OPTL,,EGP,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ1MVB82CPV5,New,,2023-11-05T18:44:07,SFCXXN,NA/Swaps NDS NGN USD,NGN USD,Forward-Forward Swap,,Non-Deliverable,NGN,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZZFMFBZXX9N,New,,2023-11-05T18:44:23,SFCXXN,NA/Swaps NDS PEN USD,PEN USD,Forward-Forward Swap,,Non-Deliverable,PEN,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZRWV8QMWM9W,New,,2023-11-05T18:46:22,SFCXXN,NA/Swaps NDS PEN USD,PEN USD,Forward-Forward Swap,,Non-Deliverable,PEN,USD,OPTL,,PEN,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ9LS2FJ3T8C,New,,2023-11-05T18:55:18,SFCXXN,NA/Swaps NDS KZT USD,KZT USD,Forward-Forward Swap,,Non-Deliverable,KZT,USD,OPTL,,USD,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ7KRSMP5QKH,New,,2023-11-05T18:56:33,SFCXXN,NA/Swaps NDS EUR TWD,EUR TWD,Forward-Forward Swap,,Non-Deliverable,EUR,TWD,OPTL,,EUR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZZRR8TNZMB6,New,,2023-11-05T19:01:07,SFCXXN,NA/Swaps NDS MXN USD,MXN USD,Forward-Forward Swap,,Non-Deliverable,MXN,USD,OPTL,,MXN,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZHK9QCTQGTS,New,,2023-11-05T19:11:54,SFCXXN,NA/Swaps NDS THB USD,THB USD,Forward-Forward Swap,,Non-Deliverable,THB,USD,OPTL,,THB,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZ9W5PWX1TDX,New,,2023-11-05T19:13:54,SFCXXN,NA/Swaps NDS BRL EUR,BRL EUR,Forward-Forward Swap,,Non-Deliverable,BRL,EUR,OPTL,,EUR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZD4HBBXNVSQ,New,,2023-11-05T19:15:35,SFCXXN,NA/Swaps NDS EGP EUR,EGP EUR,Forward-Forward Swap,,Non-Deliverable,EGP,EUR,OPTL,,EGP,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZGPTXW71XC8,New,,2023-11-05T19:15:41,SFCXXN,NA/Swaps NDS COP EUR,COP EUR,Forward-Forward Swap,,Non-Deliverable,COP,EUR,OPTL,,EUR,,,,,,,,
1,Foreign_Exchange,Swap,Non_Deliverable_FX_Swap,UPI,QZB1CSMS8N7X,New,,2023-11-05T19:18:55,SFCXXN,NA/Swaps NDS JPY PHP,JPY PHP,Forward-Forward Swap,,Non-Deliverable,JPY,PHP,OPTL,,JPY,,,,,,,,
