TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Forward,FRA_Index,UPI,QZM5X2JXNJ7N,New,,2023-11-05T12:26:15,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx CAD,CAD-CORRA-OIS Compound,CAD,CAD-CORRA-OIS Compound,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZB779CK2D89,New,,2023-11-05T12:39:57,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZC2STTN72L3,New,,2023-11-05T12:41:23,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx ZAR,ZAR-JIBAR-SAFEX,ZAR,ZAR-JIBAR-SAFEX,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZCS35PV1NGT,New,,2023-11-05T12:47:18,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx ILS,ILS-TELBOR01-Reuters,ILS,ILS-TELBOR01-Reuters,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZTB9VGS6RR5,New,,2023-11-05T13:13:19,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx PLN,PLN-WIBOR-WIBO,PLN,PLN-WIBOR-WIBO,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZFR5WX32WD3,New,,2023-11-05T13:15:21,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx CZK,CZK-PRIBOR-PRBO,CZK,CZK-PRIBOR-PRBO,6.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZ81DPXXXHHG,New,,2023-11-05T13:35:10,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx PLN,PLN-WIBOR-WIBO,PLN,PLN-WIBOR-WIBO,6.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZFX69ZGCK51,New,,2023-11-05T15:28:20,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx CZK,CZK-PRIBOR-PRBO,CZK,CZK-PRIBOR-PRBO,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZS46FB1R740,New,,2023-11-05T15:33:55,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx HUF,HUF-BUBOR-Reuters,HUF,HUF-BUBOR-Reuters,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
1,Rates,Forward,FRA_Index,UPI,QZXNJM4WT3SL,New,,2023-11-05T16:24:36,JRIXFP,Interest Rate Index,,Physical,NA/Fwd Pr Int Rt Idx ZAR,ZAR-JIBAR,ZAR,ZAR-JIBAR,3.0,MNTH,,,,,,PHYS,,,,,,,,,,,,,,,,,,,Forward price of underlying instrument,,,,
