TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Option,Inflation_CapFloor,UPI,QZ6MXJGZ1NXT,New,,2023-11-05T12:49:20,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn USD,UK-CPIH,USD,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,UK-CPIH,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZJZWP8WGDRK,New,,2023-11-08T15:20:45,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZZRPPFPR0WX,New,,2023-11-08T16:27:20,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZH7KMB2SPVK,New,,2023-11-08T16:28:54,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,FRC-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,FRC-EXT-CPI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ8S06VC3D0W,New,,2023-11-13T09:36:34,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn GBP,UK-RPI,GBP,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,UK-RPI,6.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZXN9TK49G80,New,,2023-11-13T09:36:34,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn USD,USA-CPI-U,USD,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,USA-CPI-U,1.0,MNTH,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZQ8V8MGS0MB,New,,2023-11-13T09:36:34,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn USD,BLG-CPI-HI,USD,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,BLG-CPI-HI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZJ5HLVKV0GR,New,,2023-11-13T09:36:34,HRGAMP,Inflation Rate Index,,Physical,NA/O Call Epn USD,USA-CPI-U,USD,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Call,USA-CPI-U,1.0,MNTH,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZG4K3GXG52R,New,,2023-11-13T09:36:34,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn EUR,MXN-UDI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,MXN-UDI,3.0,MNTH,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ9XVDHNFTGS,New,,2023-11-13T09:36:34,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn GBP,UK-RPI,GBP,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,UK-RPI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZC1XQM24SMR,New,,2023-11-13T09:36:34,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,3.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZGWB0SJG01H,New,,2023-11-13T09:36:34,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,17.0,YEAR,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZMJ8NW2CQVQ,New,,2023-11-13T09:36:34,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn EUR,ESP-CPI,EUR,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,ESP-CPI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZGQM5RCN9C5,New,,2023-11-13T09:36:34,HRGAME,Inflation Rate Index,,Elect at Exercise,NA/O Call Epn QAR,SEK-CPI,QAR,,,,,,,,,OPTL,,,,,,,,,EURO,Other,European-Call,SEK-CPI,22.0,YEAR,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZC7GPP387QM,New,,2023-11-13T09:36:35,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn EUR,FRC-EXT-CPI,EUR,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,FRC-EXT-CPI,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZN8JSMXBSKC,New,,2023-11-13T09:36:35,HRGDMP,Inflation Rate Index,,Physical,NA/O P Epn USD,USA-CPI-U,USD,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Put,USA-CPI-U,1.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ4Z1CTBC8RZ,New,,2023-11-13T09:36:35,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn USD,USA-CPI-U,USD,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,USA-CPI-U,1.0,YEAR,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZZJ57X7VL0P,New,,2023-11-13T09:36:35,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn USD,USA-CPI-U,USD,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,USA-CPI-U,3.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZMGXPQ94VB8,New,,2023-11-13T09:36:35,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,EUR-EXT-CPI,1.0,YEAR,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ520TKN25VK,New,,2023-11-13T09:36:35,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn EUR,DEM-HICP,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,DEM-HICP,4.0,YEAR,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZD9WR00ZBM3,New,,2023-11-13T09:36:35,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn EUR,EUR-EXT-R-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,EUR-EXT-R-CPI,1.0,YEAR,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZX19GF1LGV1,New,,2023-11-13T09:36:35,HRGAMP,Inflation Rate Index,,Physical,NA/O Call Epn EUR,DEM-HICP,EUR,,,,,,,,,PHYS,,,,,,,,,EURO,Other,European-Call,DEM-HICP,4.0,YEAR,CALL,,,,,,,,
