TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZ4L8GF8J13B,New,,2023-10-15T13:23:42,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd EUR USD,N/A,EUR,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZ6W1J37F2PW,New,,2023-10-15T13:26:04,SRDICP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd CAD USD,N/A,CAD,,,,USD,,,,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZPNVM30STTK,New,,2023-10-16T00:04:22,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd SGD USD,N/A,SGD,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZ6PQ0RL4T5M,New,,2023-10-16T00:44:23,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd KRW SEK,N/A,KRW,,,,SEK,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZF4Z1FDX0XF,New,,2023-10-16T00:52:35,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd SEK USD,N/A,SEK,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZGXX80CSMCB,New,,2023-10-16T01:18:09,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd AUD KRW,N/A,AUD,,,,KRW,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZQBZBQ6TZMZ,New,,2023-10-16T01:24:36,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd AUD USD,N/A,AUD,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZR51M7JL23R,New,,2023-10-16T01:26:34,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd KRW USD,N/A,KRW,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZHZ6GHHGZ21,New,,2023-10-16T03:24:18,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd JPY SGD,N/A,JPY,,,,SGD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZLZ5C727TTM,New,,2023-10-16T04:03:46,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd JPY USD,N/A,JPY,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZC7M6KTCWRK,New,,2023-10-16T05:27:09,SRDCCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd CNY USD,N/A,CNY,,,,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZ0L9TTL3H8S,New,,2023-10-16T06:32:57,SRDYCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd DKK USD,N/A,DKK,,,,USD,,,,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZ9L5J3SHK2T,New,,2023-10-16T06:45:24,SRDCCC,Fixed - Fixed,Cross Currency,Cash,NA/Swap Fxd Fxd EUR JPY,N/A,EUR,,,,JPY,,,,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Fixed_Fixed,UPI,QZ62HX18851R,New,,2023-10-16T07:09:38,SRDYCP,Fixed - Fixed,Cross Currency,Physical,NA/Swap Fxd Fxd CNY USD,N/A,CNY,,,,USD,,,,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,
