TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZZH2GH6MK3V,New,,2023-10-15T13:23:45,SRZDCP,Zero Coupon,Cross Currency,Physical,NA/Swap Zero Cpn CAD USD,ILS-SHIR,CAD,ILS-SHIR,7.0,YEAR,USD,,,,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZ285S1FDQC5,New,,2023-10-15T13:49:23,SRZCCP,Zero Coupon,Cross Currency,Physical,NA/Swap Zero Cpn GBP USD,UK Base Rate,GBP,UK Base Rate,3.0,DAYS,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZGNR0JPXC65,New,,2023-10-16T04:58:16,SRZCCP,Zero Coupon,Cross Currency,Physical,NA/Swap Zero Cpn NZD USD,USD-SOFR-OIS Compound,NZD,USD-SOFR-OIS Compound,1.0,DAYS,USD,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZNJ2B4DP070,New,,2023-10-17T07:39:41,SRZCCC,Zero Coupon,Cross Currency,Cash,NA/Swap Zero Cpn EUR USD,USD-LIBOR-BBA,EUR,USD-LIBOR-BBA,1.0,MNTH,USD,,,,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZS5GVTW34RM,New,,2023-10-17T07:39:41,SRZCCC,Zero Coupon,Cross Currency,Cash,NA/Swap Zero Cpn MXN USD,USD-LIBOR-BBA,MXN,USD-LIBOR-BBA,3.0,MNTH,USD,,,,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZWMV5NXZLMD,New,,2023-10-17T07:39:41,SRZICP,Zero Coupon,Cross Currency,Physical,NA/Swap Zero Cpn GBP XDR,USD-SOFR-COMPOUND,GBP,USD-SOFR-COMPOUND,22.0,DAYS,XDR,,,,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZH2P7CPB0GC,New,,2023-10-17T07:39:41,SRZCCC,Zero Coupon,Cross Currency,Cash,NA/Swap Zero Cpn EUR USD,EUR-EURIBOR-Reuters,EUR,EUR-EURIBOR-Reuters,3.0,MNTH,USD,,,,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZNBC7WX6JFK,New,,2023-10-17T07:39:41,SRZYCC,Zero Coupon,Cross Currency,Cash,NA/Swap Zero Cpn USD ZAR,USD-LIBOR-BBA,USD,USD-LIBOR-BBA,3.0,MNTH,ZAR,,,,Custom,CASH,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZZ8SW39NDGD,New,,2023-10-17T07:39:42,SRZICP,Zero Coupon,Cross Currency,Physical,NA/Swap Zero Cpn GBP XDR,EUR-EuroSTR-COMPOUND,GBP,EUR-EuroSTR-COMPOUND,22.0,DAYS,XDR,,,,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Cross_Currency_Zero_Coupon,UPI,QZH6FTJ362P6,New,,2023-10-17T07:39:42,SRZCCC,Zero Coupon,Cross Currency,Cash,NA/Swap Zero Cpn EUR USD,USD-LIBOR-BBA,EUR,USD-LIBOR-BBA,3.0,MNTH,USD,,,,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,
