TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Fixed_Fixed,UPI,QZSJK0ZGWZBG,New,,2023-10-15 13:23:45,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd JPY,N/A,JPY,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZPTHP177S1W,New,,2023-10-16 06:34:10,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd CNY,N/A,CNY,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZMHBZV0H1KV,New,,2023-10-16 07:04:58,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd EUR,N/A,EUR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZLFJG10G6JL,New,,2023-10-16 09:21:16,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd GBP,N/A,GBP,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ3JTLVWP1JW,New,,2023-10-16 09:35:45,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd PLN,,PLN,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZNZMP8J7B79,New,,2023-10-16 09:40:21,SRDYSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd EUR,,EUR,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZNW372GPR24,New,,2023-10-16 10:34:42,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd USD,,USD,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZQXG2FPCVPZ,New,,2023-10-16 12:15:40,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd USD,,USD,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZRXR28T07MS,New,,2023-10-16 12:39:25,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd EUR,N/A,EUR,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZKKBK12S2CP,New,,2023-10-16 12:58:59,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd BRL,,BRL,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZRJ2ZQQQQWM,New,,2023-10-16 13:25:41,SRDYSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd EUR,,EUR,Custom,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ70P2J66QWL,New,,2023-10-16 14:00:47,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd GBP,N/A,GBP,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZCMM66KFLDT,New,,2023-10-16 17:36:06,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd CLF,N/A,CLF,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZSN1P58SLJ2,New,,2023-10-16 19:15:42,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd CAD,N/A,CAD,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZVBPBQTJ1BT,New,,2023-10-17 04:20:43,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd SGD,N/A,SGD,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZH4RTKBD9NZ,New,,2023-10-17 05:37:18,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd KRW,,KRW,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ5TGQR5Q1HN,New,,2023-10-17 07:03:24,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd HKD,,HKD,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZNL1CBG51ZL,New,,2023-10-17 07:40:44,SRDISP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd AED,,AED,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZZH8G5CKKB7,New,,2023-10-17 07:40:44,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd INR,,INR,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZJJ2RGG3CZB,New,,2023-10-17 07:40:44,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CHF,,CHF,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZMVWX9FC9BC,New,,2023-10-17 07:40:44,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd INR,,INR,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
