TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZZT5B2THQV4,New,,2023-10-15T13:23:47,SRGISP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx USD,ESP-R-CPI vs ITL-HICP,USD,ESP-R-CPI,6.0,WEEK,,ITL-HICP,30.0,DAYS,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZ0RBR59WKQR,New,,2023-10-15T13:29:12,SRGISP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx USD,DEK-CPI vs UK-RPI,USD,DEK-CPI,6.0,WEEK,,UK-RPI,30.0,DAYS,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZ4WTH3SRNH6,New,,2023-10-19T05:41:43,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI vs EUR-EXT-CPI,EUR,EUR-EXT-CPI,1.0,YEAR,,EUR-EXT-CPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZGN6X7ZZTBF,New,,2023-10-19T05:41:43,SRGCSC,Inflation Rate Index,Single Currency,Cash,NA/Swap Infl Idx GBP,UK-RPI vs UK-RPI,GBP,UK-RPI,1.0,MNTH,,UK-RPI,1.0,MNTH,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZDVG95F0BJ7,New,,2023-10-19T05:41:43,SRGYSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI vs UK-RPI,GBP,UK-RPI,1.0,YEAR,,UK-RPI,1.0,YEAR,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZHMSZVNGKM0,New,,2023-10-19T05:41:43,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI vs UK-RPI,GBP,UK-RPI,1.0,YEAR,,UK-RPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZMXNPKCHC3G,New,,2023-10-19T05:41:43,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx UGX,ESP-R-CPI vs ITL-WC-EXT-CPI,UGX,ESP-R-CPI,15.0,YEAR,,ITL-WC-EXT-CPI,5.0,WEEK,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZQ4J85ZP1QF,New,,2023-10-19T05:41:43,SRGDSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI vs FRC-EXT-CPI,EUR,EUR-EXT-CPI,1.0,YEAR,,FRC-EXT-CPI,1.0,YEAR,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZ7SMDVRXLT1,New,,2023-10-19T05:41:43,SRGDSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,FRC-EXT-CPI vs FRC-EXT-CPI,EUR,FRC-EXT-CPI,1.0,YEAR,,FRC-EXT-CPI,1.0,YEAR,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_YoY,UPI,QZ1F86LC86FV,New,,2023-10-19T05:41:43,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-AI-CPI vs EUR-AI-CPI,EUR,EUR-AI-CPI,1.0,YEAR,,EUR-AI-CPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
