TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZ9SXZ108NJK,New,,2023-10-15T13:23:42,SRGISP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx FJD,BLG-CPI-GI vs CNY-CPI,FJD,BLG-CPI-GI,35.0,WEEK,,CNY-CPI,20.0,WEEK,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZCFVWQZH2G7,New,,2023-10-15T17:07:07,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,AUD-CPI vs AUD-CPI,EUR,AUD-CPI,1.0,DAYS,,AUD-CPI,1.0,DAYS,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZ65JJT1RFFT,New,,2023-10-16T08:12:23,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI vs EUR-EXT-CPI,EUR,EUR-EXT-CPI,1.0,YEAR,,EUR-EXT-CPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZZQLV4P4DZF,New,,2023-10-19T05:41:55,SRGYSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI vs UK-RPI,GBP,UK-RPI,2.0,MNTH,,UK-RPI,3.0,MNTH,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZ8ZFVRQK9P7,New,,2023-10-19T05:41:55,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI vs EUR-EXT-CPI,EUR,EUR-EXT-CPI,6.0,MNTH,,EUR-EXT-CPI,6.0,MNTH,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZK1RFP2HGJH,New,,2023-10-19T05:41:55,SRGYSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI vs UK-RPI,GBP,UK-RPI,3.0,MNTH,,UK-RPI,3.0,MNTH,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZ538M3J1PX0,New,,2023-10-19T05:41:55,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI vs EUR-EXT-CPI,EUR,EUR-EXT-CPI,1.0,MNTH,,EUR-EXT-CPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZRLJZG3WWD0,New,,2023-10-19T05:41:55,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx USD,USA-CPI-U vs USA-CPI-U,USD,USA-CPI-U,3.0,MNTH,,USA-CPI-U,6.0,MNTH,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZ7F32LW1XST,New,,2023-10-19T05:41:55,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,FRC-EXT-CPI vs FRC-EXT-CPI,EUR,FRC-EXT-CPI,1.0,YEAR,,FRC-EXT-CPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Basis_Zero_Coupon,UPI,QZ23H1Q0LCQB,New,,2023-10-19T05:41:55,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI vs EUR-EXT-CPI,EUR,EUR-EXT-CPI,6.0,MNTH,,EUR-EXT-CPI,1.0,YEAR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
