TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZWGKGF8T16S,New,,2023-10-15T13:23:42,SRGYSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI,GBP,UK-RPI,1.0,YEAR,,,,,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZZRMVBBLM96,New,,2023-10-15T17:10:42,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI,GBP,UK-RPI,15.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZCWWV8WZ9LW,New,,2023-10-15T17:10:43,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI,GBP,UK-RPI,20.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZ1QDPNMNPR0,New,,2023-10-16T06:14:09,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI,GBP,UK-RPI,3.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZGN2JTNPW5W,New,,2023-10-16T06:14:10,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,3.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZ1MSBH8XBPQ,New,,2023-10-16T07:21:09,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,30.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZZR1K1ZN2FW,New,,2023-10-16T07:21:43,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI,GBP,UK-RPI,30.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZNB0BQ4MBLK,New,,2023-10-16T07:22:19,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,5.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZRBKLKHQGCR,New,,2023-10-16T07:25:25,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,10.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_YoY,UPI,QZQS3BPGFML9,New,,2023-10-16T08:38:51,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx GBP,UK-RPI,GBP,UK-RPI,10.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
