TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZFSQBJV9NJS,New,,2023-10-15T12:00:36,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,FRC-EXT-CPI,EUR,FRC-EXT-CPI,12.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZL3RZ09DJFS,New,,2023-10-15T12:00:50,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,7.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZJXXQN2023J,New,,2023-10-15T12:00:51,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,12.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZPVFCQJX9VX,New,,2023-10-15T12:00:52,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,20.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZS3JGCQ0BMF,New,,2023-10-15T12:01:01,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,3.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZZ3NHK2WPKZ,New,,2023-10-15T12:02:48,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,FRC-EXT-CPI,EUR,FRC-EXT-CPI,1.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZDX8X7F43FB,New,,2023-10-15T12:02:49,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,FRC-EXT-CPI,EUR,FRC-EXT-CPI,2.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZDK0TTPRDF3,New,,2023-10-15T12:03:11,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,30.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZGRC5J5V0PG,New,,2023-10-15T12:04:52,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,3.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Inflation_Fixed_Float_Zero_Coupon,UPI,QZBDV4RHD7WJ,New,,2023-10-15T12:05:28,SRGCSP,Inflation Rate Index,Single Currency,Physical,NA/Swap Infl Idx EUR,EUR-EXT-CPI,EUR,EUR-EXT-CPI,4.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
