contract,symbol,date,legend,bin,prob_pct
U6,SFRU26,2026-04-29,1BD ago,<2,0.48450120624350423
U6,SFRU26,2026-04-29,1BD ago,2-2.25,0.4057713062864778
U6,SFRU26,2026-04-29,1BD ago,2.25-2.5,0.21534972032716654
U6,SFRU26,2026-04-29,1BD ago,2.5-2.75,0.22552322212251608
U6,SFRU26,2026-04-29,1BD ago,2.75-3,1.2746094614422903
U6,SFRU26,2026-04-29,1BD ago,3-3.25,4.487306777057009
U6,SFRU26,2026-04-29,1BD ago,3.25-3.5,11.862732896774444
U6,SFRU26,2026-04-29,1BD ago,3.5-3.75,50.287875222093184
U6,SFRU26,2026-04-29,1BD ago,3.75-4,17.843986949363156
U6,SFRU26,2026-04-29,1BD ago,4-4.25,3.5610839157554586
U6,SFRU26,2026-04-29,1BD ago,4.25-4.5,4.507730813516645
U6,SFRU26,2026-04-29,1BD ago,>4.5,4.843528509018142
U6,SFRU26,2026-04-23,5BD ago,<2,0.4111536881330726
U6,SFRU26,2026-04-23,5BD ago,2-2.25,0.13903050350981397
U6,SFRU26,2026-04-23,5BD ago,2.25-2.5,0.2020691404663879
U6,SFRU26,2026-04-23,5BD ago,2.5-2.75,0.6646193391670483
U6,SFRU26,2026-04-23,5BD ago,2.75-3,1.9088628711257345
U6,SFRU26,2026-04-23,5BD ago,3-3.25,5.452872833973172
U6,SFRU26,2026-04-23,5BD ago,3.25-3.5,14.213670803036221
U6,SFRU26,2026-04-23,5BD ago,3.5-3.75,49.61835018195909
U6,SFRU26,2026-04-23,5BD ago,3.75-4,19.191914151742726
U6,SFRU26,2026-04-23,5BD ago,4-4.25,1.9037071449826959
U6,SFRU26,2026-04-23,5BD ago,4.25-4.5,2.7811895673397515
U6,SFRU26,2026-04-23,5BD ago,>4.5,3.5125597745642745
U6,SFRU26,2026-04-01,21BD ago,<2,0.0
U6,SFRU26,2026-04-01,21BD ago,2-2.25,0.09614751419593115
U6,SFRU26,2026-04-01,21BD ago,2.25-2.5,0.5237710070799673
U6,SFRU26,2026-04-01,21BD ago,2.5-2.75,1.4167344374246815
U6,SFRU26,2026-04-01,21BD ago,2.75-3,3.3636555011095486
U6,SFRU26,2026-04-01,21BD ago,3-3.25,6.433616180242681
U6,SFRU26,2026-04-01,21BD ago,3.25-3.5,10.626618500192604
