contract,symbol,date,legend,distribution_mode,bin,prob_pct
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,<2,0.48450120624350423
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2-2.25,0.4057713062864778
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.25-2.5,0.21534972032716654
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.5-2.75,0.22552322212251608
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.75-3,1.2746094614422903
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3-3.25,4.487306777057009
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.25-3.5,11.862732896774444
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.5-3.75,50.287875222093184
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.75-4,17.843986949363156
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,4-4.25,3.5610839157554586
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,4.25-4.5,4.507730813516645
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,>4.5,4.843528509018142
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,<2,0.6724528456129973
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2-2.25,0.46256571710337446
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.25-2.5,0.7902373362497834
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.5-2.75,1.0461895866729978
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.75-3,1.219923504265123
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3-3.25,3.569925368052171
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.25-3.5,16.600307643607522
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.5-3.75,35.1791665735331
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.75-4,25.932502904328636
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,4-4.25,9.071850070993882
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,4.25-4.5,2.788242852551236
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,>4.5,2.666635597029182
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,<2,0.4111536881330726
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2-2.25,0.13903050350981397
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.25-2.5,0.2020691404663879
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.5-2.75,0.6646193391670483
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.75-3,1.9088628711257345
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,3-3.25,5.452872833973172
