contract,symbol,date,legend,distribution_mode,bin_left,bin_right,bin_mid,prob_pct
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,1.25,1.5,1.375,0.0
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,1.5,1.75,1.625,0.11402251499224765
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,1.75,2.0,1.875,0.36798440770079105
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.0,2.25,2.125,0.4000836398458888
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.25,2.5,2.375,0.21404051115644962
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.5,2.75,2.625,0.22069463536386213
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,2.75,3.0,2.875,1.2641002400207806
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.0,3.25,3.125,4.469641596903908
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.25,3.5,3.375,11.69345754559468
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.5,3.75,3.625,50.0816279728796
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,3.75,4.0,3.875,17.52761851972654
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,4.0,4.25,4.125,3.535719428769147
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,4.25,4.5,4.375,4.483832293270012
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,4.5,4.75,4.625,2.080983989301792
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,4.75,5.0,4.875,0.2795271908690943
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,5.0,5.25,5.125,0.020082567949715958
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,5.25,5.5,5.375,1.0085654381462372
U6,SFRU26,2026-04-29,1BD ago,raw_jpm_bl,5.5,5.75,5.625,1.4009260656688027
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,0.25,0.5,0.375,0.06919811208816035
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,0.5,0.75,0.625,0.10914536537396546
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,0.75,1.0,0.875,0.11442665864888849
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,1.0,1.25,1.125,0.08982854253279542
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,1.25,1.5,1.375,0.03869422443524489
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,1.5,1.75,1.625,0.045609965158119645
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,1.75,2.0,1.875,0.1869909969817338
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.0,2.25,2.125,0.45580250332261296
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.25,2.5,2.375,0.7771142777655777
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.5,2.75,2.625,1.0280157729906827
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,2.75,3.0,2.875,1.1985712041756147
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.0,3.25,3.125,3.5481386552403418
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.25,3.5,3.375,16.35801014318739
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.5,3.75,3.625,34.63169366871443
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,3.75,4.0,3.875,25.551758153454728
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,4.0,4.25,4.125,9.03218919015663
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,4.25,4.5,4.375,2.718306808879586
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,4.5,4.75,4.625,0.7926382725795773
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,4.75,5.0,4.875,0.6209806931951949
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,5.0,5.25,5.125,0.512344082350288
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,5.25,5.5,5.375,0.3892957475291591
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,5.5,5.75,5.625,0.23615068150911744
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,5.75,6.0,5.875,0.07135619024327337
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,6.0,6.25,6.125,0.0
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,6.25,6.5,6.375,0.0
U6,SFRU26,2026-04-29,1BD ago,sabr_smoothed_bl,6.5,6.75,6.625,0.0
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,1.0,1.25,1.125,0.08684927887089977
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,1.25,1.5,1.375,0.0791843094481806
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,1.5,1.75,1.625,0.08595061162996766
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,1.75,2.0,1.875,0.10447467006186764
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.0,2.25,2.125,0.137297589833279
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.25,2.5,2.375,0.1989129640436863
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.5,2.75,2.625,0.6526072809170856
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,2.75,3.0,2.875,1.9043466761068273
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,3.0,3.25,3.125,5.396763174654126
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,3.25,3.5,3.375,14.04163000828518
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,3.5,3.75,3.625,49.092961911444974
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,3.75,4.0,3.875,18.99867634180801
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,4.0,4.25,4.125,1.9006417983101085
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,4.25,4.5,4.375,2.7481558091545057
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,4.5,4.75,4.625,1.9822425215466108
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,4.75,5.0,4.875,0.93059862516033
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,5.0,5.25,5.125,0.27531602057659843
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,5.25,5.5,5.375,0.021952696813525543
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,5.5,5.75,5.625,0.16368668507393316
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,5.75,6.0,5.875,0.09374344405273058
U6,SFRU26,2026-04-23,5BD ago,raw_jpm_bl,6.0,6.25,6.125,0.0
U6,SFRU26,2026-04-23,5BD ago,sabr_smoothed_bl,0.25,0.5,0.375,0.04767595242499037
U6,SFRU26,2026-04-23,5BD ago,sabr_smoothed_bl,0.5,0.75,0.625,0.06387690718649908
U6,SFRU26,2026-04-23,5BD ago,sabr_smoothed_bl,0.75,1.0,0.875,0.07560780797261042
U6,SFRU26,2026-04-23,5BD ago,sabr_smoothed_bl,1.0,1.25,1.125,0.08020079181593404
U6,SFRU26,2026-04-23,5BD ago,sabr_smoothed_bl,1.25,1.5,1.375,0.08147585490487319
