contract,symbol,date,legend,fetch_mode,mean,median,mode,p5,p10,p25,p75,p90,p95,input_strikes,input_min_rate,input_max_rate,forward_rate,warnings,mean_jpm,mean_diff,median_jpm,median_diff,mode_jpm,mode_diff,p5_jpm,p5_diff,p10_jpm,p10_diff,p25_jpm,p25_diff,p75_jpm,p75_diff,p90_jpm,p90_diff,p95_jpm,p95_diff,rmse_stats,jpm_no_strikes,jpm_min_rate,jpm_max_rate
U6,SFRU26,2026-04-29,1BD ago,bounded_listed_otm_oi100,3.7155556385366713,3.6768697303833067,3.67152326163081,3.1669169960369397,3.333062386619412,3.567731676849592,3.780967381599192,4.21529460360137,4.48918321677945,47,1.6875,5.125,3.6899999999999977,negative density mass clipped (0.77% of total),3.72,-0.0044443614633289386,3.67,0.006869730383306738,3.66,0.011523261630809856,3.14,0.026916996036939533,3.34,-0.006937613380587848,3.58,-0.012268323150407934,3.79,-0.009032618400807824,4.18,0.035294603601370156,4.58,-0.09081678322054998,0.03447685755859838,57,0.5,6.25
U6,SFRU26,2026-04-23,5BD ago,bounded_listed_otm_oi100,3.6524073625497673,3.6663136947444173,3.690407703851932,3.109930290845391,3.282182013007301,3.523408456992323,3.760922662359277,3.8898589287466163,4.366249831728758,51,1.375,5.625,3.644999999999996,negative density mass clipped (0.76% of total),3.68,-0.027592637450232882,3.67,-0.003686305255582667,3.69,0.0004077038519318954,3.1,0.009930290845391099,3.28,0.0021820130073013644,3.54,-0.016591543007677068,3.76,0.0009226623592772931,3.95,-0.06014107125338386,4.47,-0.10375016827124206,0.04154737194575042,57,0.5,6.25
U6,SFRU26,2026-04-01,21BD ago,bounded_listed_otm_oi100,3.7010534265352097,3.678344838190779,3.689282141070535,2.978141354811678,3.1916997036708334,3.5423289829543845,3.7779502313690294,4.3490344141402195,4.57465154195834,47,1.6875,5.125,3.6650000000000063,negative density mass clipped (3.23% of total),3.73,-0.028946573464790237,3.68,-0.0016551618092210951,3.68,0.009282141070535044,2.93,0.04814135481167803,3.18,0.011699703670833284,3.54,0.00232898295438444,3.78,-0.0020497686309703944,4.43,-0.0809655858597802,4.83,-0.2553484580416603,0.09137782478310286,57,0.5,6.25
Z6,SFRZ26,2026-04-29,1BD ago,bounded_listed_otm_oi100,3.809745597073939,3.675059496973627,3.643446723361677,2.9330967867454043,3.1263008069497684,3.516379939374645,4.081276658660078,4.653489403320642,5.230177044396459,56,1.25,6.25,3.7450000000000045,negative density mass clipped (1.30% of total),3.74,0.0697455970739389,3.68,-0.004940503026372944,3.66,-0.016553276638322956,2.87,0.0630967867454042,3.14,-0.013699193050231706,3.45,0.0663799393746447,4.01,0.0712766586600786,4.56,0.0934894033206426,4.96,0.2701770443964593,0.10570099469195811,60,0.5,6.5
Z6,SFRZ26,2026-04-23,5BD ago,bounded_listed_otm_oi100,3.625087895879794,3.6461512572066983,3.728176588294147,2.763490212491548,3.038278756731012,3.364550867865446,3.8386825760647056,4.288609734274809,4.641902283405155,54,1.375,5.875,3.6400000000000006,negative density mass clipped (0.41% of total),3.64,-0.014912104120206049,3.66,-0.013848742793301838,3.71,0.018176588294147145,2.78,-0.01650978750845189,3.03,0.008278756731012304,3.37,-0.005449132134554002,3.86,-0.021317423935294233,4.34,-0.05139026572519079,4.76,-0.11809771659484447,0.04491697707416075,60,0.5,6.5
Z6,SFRZ26,2026-04-01,21BD ago,bounded_listed_otm_oi100,3.688215773512444,3.634611896584659,3.6869059529764883,2.6378902706893714,2.9179506272608116,3.2990408117636925,3.9753422480194565,4.648965683310464,5.060034710898612,53,1.375,5.875,3.625,negative density mass clipped (0.03% of total),3.67,0.018215773512443967,3.64,-0.005388103415341128,3.69,-0.0030940470235116813,2.59,0.04789027068937157,2.89,0.027950627260811434,3.29,0.009040811763692425,3.97,0.005342248019456264,4.63,0.018965683310463888,5.04,0.020034710898611863,0.0219000189155183,60,0.5,6.5
H7,SFRH27,2026-04-29,1BD ago,bounded_listed_otm_oi100,3.7233980001594302,3.6809835137143434,3.6004877438719376,2.74945269889749,3.0065217803222763,3.3908060366767527,4.047503418987416,4.501164982135437,4.804305273447863,42,2.375,5.3125,3.799999999999997,negative density mass clipped (4.66% of total),3.8,-0.07660199984056959,3.71,-0.029016486285656562,3.63,-0.029512256128062297,2.67,0.07945269889748996,2.99,0.016521780322276136,3.39,0.0008060366767526084,4.14,-0.09249658101258351,4.8,-0.2988350178645627,5.27,-0.46569472655213673,0.19116505670334735,51,0.5,6.75
H7,SFRH27,2026-04-23,5BD ago,bounded_listed_otm_oi100,3.610918906227469,3.620759753147034,3.656640820410203,2.430358311976873,2.813965900594104,3.2566075880841763,3.959387247484278,4.387856299911806,4.843673863305489,48,1.375,5.875,3.6400000000000006,negative density mass clipped (2.14% of total),3.66,-0.049081093772531226,3.64,-0.019240246852965992,3.72,-0.06335917958979698,2.48,-0.049641688023127184,2.83,-0.016034099405896285,3.26,-0.003392411915823512,3.99,-0.030612752515722264,4.54,-0.15214370008819422,5.18,-0.3363261366945105,0.12768300191937293,51,0.5,6.75
H7,SFRH27,2026-04-01,21BD ago,bounded_listed_otm_oi100,3.6059227107141334,3.5965680145668397,3.667646323161577,2.2863905353380827,2.608005331086748,3.1156453283410213,4.024132516506552,4.748228789715815,5.147080203289534,45,1.375,5.875,3.605000000000004,negative density mass clipped (2.01% of total),3.64,-0.03407728928586673,3.61,-0.013431985433160154,3.64,0.02764632316157689,2.18,0.10639053533808251,2.57,0.038005331086748306,3.12,-0.004354671658978848,4.07,-0.04586748349344827,4.86,-0.11177121028418568,5.37,-0.2229197967104657,0.09379539119437172,51,0.5,6.75
M7,SFRM27,2026-04-29,1BD ago,bounded_listed_otm_oi100,3.6962485542915715,3.6798260569781327,3.732866433216614,2.478105891264084,2.7870409342714226,3.224221109720099,4.123136150740911,4.729594890337212,5.16115220999976,32,1.25,6.0,3.7950000000000017,negative density mass clipped (3.98% of total),3.68,0.01624855429157135,3.68,-0.00017394302186746202,3.64,0.09286643321661403,2.36,0.11810589126408422,2.73,0.05704093427142265,3.23,-0.005778890279901194,4.13,-0.006863849259088894,4.73,-0.0004051096627888384,5.2,-0.03884779000023997,0.05545840566107734,35,0.5,6.0
M7,SFRM27,2026-04-23,5BD ago,bounded_listed_otm_oi100,3.598263296353637,3.5935584764368933,3.66214357178589,2.389803539009033,2.6838221266821214,3.1518877919577735,3.9810733349306004,4.441962279356876,5.134961894574794,30,1.375,5.875,3.605000000000004,negative density mass clipped (4.00% of total),3.55,0.04826329635363713,3.58,0.01355847643689323,3.62,0.04214357178589001,2.14,0.24980353900903296,2.57,0.11382212668212155,3.12,0.03188779195777336,3.99,-0.008926665069399764,4.47,-0.028037720643124153,5.19,-0.05503810542520604,0.09692973788484402,35,0.5,6.0
