,engine_mtm_per_unit
2021-04-30,0.0
2021-05-03,20.83500000006988
2021-05-04,10.414999999990522
2021-05-05,20.83249999998105
2021-05-06,-10.419999999990532
2021-05-07,-31.254999999971584
2021-05-10,-62.50499999994316
2021-05-11,-62.50499999994316
2021-05-12,-0.005000000000006821
2021-05-13,31.244999999971572
2021-05-14,31.244999999971572
2021-05-17,10.40999999996091
2021-05-18,10.40999999996091
2021-05-19,-31.25750000000119
2021-05-20,10.40999999996091
2021-05-21,-20.84000000001067
2021-05-24,10.40999999996091
2021-05-25,-10.425000000020137
2021-05-26,10.40999999996091
2021-05-27,10.40999999996091
2021-05-28,-62.510000000039085
2021-06-01,-62.510000000039085
2021-06-02,-62.510000000039085
2021-06-03,-62.510000000039085
2021-06-04,-62.510000000039085
2021-06-07,-62.510000000039085
2021-06-08,-62.510000000039085
2021-06-09,-62.510000000039085
2021-06-10,-62.510000000039085
2021-06-11,-62.510000000039085
2021-06-14,-62.510000000039085
2021-06-15,-62.510000000039085
2021-06-16,-173.26025000002713
2021-06-17,-172.57075000002777
2021-06-18,-177.77700000002304
2021-06-21,-147.2190000000508
2021-06-22,-109.37875000008526
2021-06-23,-141.32075000005617
2021-06-24,-136.11200000006093
2021-06-25,-198.61200000000406
2021-06-28,-136.11200000006093
2021-06-29,-182.29625000001892
2021-06-30,-94.44450000009887
2021-07-01,-162.15325000003727
2021-07-02,-162.15325000003727
2021-07-06,-171.8787500000284
2021-07-07,-171.8787500000284
2021-07-08,-162.15325000003727
2021-07-09,-193.4032500000088
2021-07-12,-193.4032500000088
2021-07-13,-234.37874999997152
2021-07-14,-203.12624999999994
2021-07-15,-161.4612500000379
2021-07-16,-161.4612500000379
2021-07-19,-255.21124999995263
2021-07-20,-223.95874999998105
2021-07-21,-262.33112500003796
2021-07-22,-262.33112500003796
2021-07-23,-262.33112500003796
2021-07-26,-262.33112500003796
2021-07-27,-240.8041250001232
2021-07-28,-240.8041250001232
2021-07-29,-240.8041250001232
2021-07-30,-240.8041250001232
2021-08-02,-240.8041250001232
2021-08-03,-281.7771250001327
2021-08-04,-281.7771250001327
