,engine_per_unit,panel_per_unit,diff
2021-04-30,0.0,-36.46,36.46
2021-05-03,20.83500000006988,-5.2074999999396,26.04250000000948
2021-05-04,10.414999999990522,-15.627500000018948,26.04250000000947
2021-05-05,20.83249999998105,-5.210000000028424,26.042500000009476
2021-05-06,-10.419999999990532,-36.4625,26.04250000000947
2021-05-07,-31.254999999971584,-57.29749999998105,26.042500000009465
2021-05-10,-62.50499999994316,-88.54749999995263,26.042500000009476
2021-05-11,-62.50499999994316,-88.54749999995263,26.042500000009476
2021-05-12,-0.005000000000006821,-26.047500000009478,26.042500000009472
2021-05-13,31.244999999971572,5.2024999999621,26.042500000009472
2021-05-14,31.244999999971572,5.2024999999621,26.042500000009472
2021-05-17,10.40999999996091,-15.632500000048559,26.04250000000947
2021-05-18,10.40999999996091,-15.632500000048559,26.04250000000947
2021-05-19,-31.25750000000119,-57.300000000010655,26.042500000009465
2021-05-20,10.40999999996091,-15.632500000048559,26.04250000000947
2021-05-21,-20.84000000001067,-46.88250000002014,26.04250000000947
2021-05-24,10.40999999996091,-15.632500000048559,26.04250000000947
2021-05-25,-10.425000000020137,-36.46750000002961,26.042500000009472
2021-05-26,10.40999999996091,-15.632500000048559,26.04250000000947
2021-05-27,10.40999999996091,-15.632500000048559,26.04250000000947
2021-05-28,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-01,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-02,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-03,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-04,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-07,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-08,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-09,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-10,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-11,-62.510000000039085,-52.09250000004856,-10.417499999990525
2021-06-14,-62.510000000039085,-111.64337500004856,49.13337500000948
2021-06-15,-62.510000000039085,-111.64337500004856,49.13337500000948
2021-06-16,-173.26025000002713,-222.39362500003665,49.13337500000952
2021-06-17,-172.57075000002777,-221.70412500003727,49.133375000009494
2021-06-18,-177.77700000002304,-226.91037500003253,49.133375000009494
2021-06-21,-147.2190000000508,-196.3523750000603,49.133375000009494
2021-06-22,-109.37875000008526,-158.51212500009473,49.133375000009465
2021-06-23,-141.32075000005617,-190.45412500006566,49.133375000009494
2021-06-24,-136.11200000006093,-185.2453750000704,49.133375000009465
2021-06-25,-198.61200000000406,-247.74537500001355,49.133375000009494
2021-06-28,-136.11200000006093,-185.2453750000704,49.133375000009465
2021-06-29,-182.29625000001892,-231.4296250000284,49.133375000009494
2021-06-30,-94.44450000009887,-143.5778750001083,49.13337500000942
2021-07-01,-162.15325000003727,-206.07787500005145,43.924625000014174
2021-07-02,-162.15325000003727,-206.07787500005145,43.924625000014174
2021-07-06,-171.8787500000284,-215.8033750000426,43.9246250000142
2021-07-07,-171.8787500000284,-215.8033750000426,43.9246250000142
2021-07-08,-162.15325000003727,-206.07787500005145,43.924625000014174
2021-07-09,-193.4032500000088,-237.32787500002303,43.92462500001423
2021-07-12,-193.4032500000088,-237.32787500002303,43.92462500001423
2021-07-13,-234.37874999997152,-278.30337499998575,43.92462500001423
2021-07-14,-203.12624999999994,-247.05087500001417,43.92462500001423
2021-07-15,-161.4612500000379,-205.38587500005207,43.924625000014174
2021-07-16,-161.4612500000379,-205.38587500005207,43.924625000014174
2021-07-19,-255.21124999995263,-299.1358749999668,43.924625000014174
2021-07-20,-223.95874999998105,-267.8833749999952,43.924625000014174
2021-07-21,-262.33112500003796,-246.70487500005208,-15.626249999985873
2021-07-22,-262.33112500003796,-246.70487500005208,-15.626249999985873
2021-07-23,-262.33112500003796,-246.70487500005208,-15.626249999985873
2021-07-26,-262.33112500003796,-282.8176250000521,20.486500000014132
2021-07-27,-240.8041250001232,-225.17787500013736,-15.626249999985845
2021-07-28,-240.8041250001232,-225.17787500013736,-15.626249999985845
2021-07-29,-240.8041250001232,-225.17787500013736,-15.626249999985845
2021-07-30,-240.8041250001232,-225.17787500013736,-15.626249999985845
2021-08-02,-240.8041250001232,-250.87312500013735,10.069000000014142
2021-08-03,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-04,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-05,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-06,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-09,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-10,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-11,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-12,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-13,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-16,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-17,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-18,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-19,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-20,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-23,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-24,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-25,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-26,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-27,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-30,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-08-31,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-09-01,-281.7771250001327,-266.1508750001468,-15.626249999985873
2021-09-02,-281.7771250001327,-325.71855241950163,43.94142741936895
2021-09-03,-344.2821250001351,-387.90990725821393,43.62778225807881
2021-09-07,-375.53212500028434,-419.15990725836315,43.62778225807881
2021-09-08,-375.53212500028434,-419.15990725836315,43.62778225807881
2021-09-09,-375.53212500028434,-419.15990725836315,43.62778225807881
2021-09-10,-250.52712500016113,-294.46855241953006,43.94142741936892
2021-09-13,-250.52712500016113,-294.46855241953006,43.94142741936892
2021-09-14,-287.3331250001276,-331.27455241949656,43.94142741936895
2021-09-15,-328.99812500026735,-372.9395524196363,43.94142741936895
2021-09-16,-360.248125000239,-404.1895524196079,43.94142741936889
2021-09-17,-333.857125000263,-377.7985524196319,43.94142741936889
2021-09-20,-323.4421250002724,-367.3835524196414,43.94142741936895
2021-09-21,-323.4421250002724,-367.3835524196414,43.94142741936895
2021-09-22,-323.4421250002724,-367.3835524196414,43.94142741936895
2021-09-23,-354.69212500024406,-398.63355241961295,43.94142741936889
2021-09-24,-323.4421250002724,-367.3835524196414,43.94142741936895
2021-09-27,-323.4421250002724,-367.3835524196414,43.94142741936895
2021-09-28,-313.0246250002819,-356.96605241965085,43.94142741936895
2021-09-29,-323.4421250002724,-367.3835524196414,43.94142741936895
2021-09-30,-301.9176250001144,-345.5454072581933,43.62778225807887
2021-10-01,-325.66452500028305,-369.605952419652,43.94142741936895
2021-10-04,-338.7236250002586,-379.0178072583531,40.29418225809451
2021-10-05,-297.74812500029583,-338.3559524196804,40.60782741938459
2021-10-06,-297.74812500029583,-338.3559524196804,40.60782741938459
2021-10-07,-317.89112500009986,-358.1853072581944,40.294182258094565
2021-10-08,-307.47362500010934,-347.7678072582039,40.294182258094565
2021-10-11,-266.49812500014656,-307.1059524195312,40.60782741938465
2021-10-12,-297.74812500029583,-338.3559524196804,40.60782741938459
2021-10-13,-297.74812500029583,-338.3559524196804,40.60782741938459
2021-10-14,-276.22362500013776,-316.5178072582323,40.294182258094565
2021-10-15,-307.47362500010934,-347.7678072582039,40.294182258094565
2021-10-18,-266.49812500014656,-307.1059524195312,40.60782741938465
2021-10-19,-244.97362500016618,-285.26780725826075,40.294182258094565
2021-10-20,-213.7236250001946,-254.01780725828917,40.294182258094565
2021-10-21,-234.55612500017565,-274.8503072582702,40.294182258094565
2021-10-22,-203.30612500020408,-243.60030725829864,40.294182258094565
2021-10-25,-234.55612500017565,-274.8503072582702,40.294182258094565
2021-10-26,-234.55612500017565,-274.8503072582702,40.294182258094565
2021-10-27,-244.97362500016618,-285.26780725826075,40.294182258094565
2021-10-28,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-10-29,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-01,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-02,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-03,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-04,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-05,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-08,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-09,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-10,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-11,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-12,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-15,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-16,-304.38572983891373,-285.1122346776535,-19.273495161260257
2021-11-17,-304.38572983891373,-285.1122346776535,-19.273495161260257
