,r0_precovid_QT1,r1_flood,r2_rrp_abundance,r3_QT2_drain,r4_postadj_RMO
2021-04-30,-8.748143609497166,-5.292763627267194,-6.039613253960852e-14,,
2021-05-28,-8.748143609497166,-5.292763627267194,14.75375366685436,,
2021-06-30,-8.748143609497166,-5.292763627267194,6.861996865466866,,
2021-07-30,-8.748143609497166,-5.292763627267194,3.937716218558836,,
2021-08-31,-8.748143609497166,-5.292763627267194,4.813821821637092,,
2021-09-30,-8.748143609497166,-5.292763627267194,7.965318263259955,,
2021-10-29,-8.748143609497166,-5.292763627267194,7.973757536211366,,
2021-11-30,-8.748143609497166,-5.292763627267194,8.58733740789702,,
2021-12-31,-8.748143609497166,-5.292763627267194,8.670687579716832,,
2022-01-31,-8.748143609497166,-5.292763627267194,8.849798205775954,,
2022-02-28,-8.748143609497166,-5.292763627267194,8.989132615638448,,
2022-03-31,-8.748143609497166,-5.292763627267194,8.922907366094917,,
2022-04-29,-8.748143609497166,-5.292763627267194,8.985923039873281,,
2022-05-31,-8.748143609497166,-5.292763627267194,8.880441709751997,,
2022-06-30,-8.748143609497166,-5.292763627267194,9.133612824105391,,
2022-07-29,-8.748143609497166,-5.292763627267194,9.105935671955455,,
2022-08-31,-8.748143609497166,-5.292763627267194,9.101159718431546,,
2022-09-30,-8.748143609497166,-5.292763627267194,9.607660028685014,,
2022-10-31,-8.748143609497166,-5.292763627267194,9.430737653460096,,
2022-11-30,-8.748143609497166,-5.292763627267194,8.703690358884716,,
2022-12-30,-8.748143609497166,-5.292763627267194,7.669362148011973,,
2023-01-31,-8.748143609497166,-5.292763627267194,6.672047185102323,,
2023-02-28,-8.748143609497166,-5.292763627267194,5.308891634528861,,
2023-03-31,-8.748143609497166,-5.292763627267194,4.401041850628955,,
2023-04-28,-8.748143609497166,-5.292763627267194,4.346873631882,,
2023-05-31,-8.748143609497166,-5.292763627267194,3.752730850025465,,
2023-06-30,-8.748143609497166,-5.292763627267194,2.996370239105242,,
2023-07-31,-8.748143609497166,-5.292763627267194,1.5110709685122699,,
2023-08-31,-8.748143609497166,-5.292763627267194,0.6480234508112288,,
2023-09-29,-8.748143609497166,-5.292763627267194,-0.46873354269294465,,
2023-10-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,20.65151721561395,
2023-11-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-7.941298211892281,
2023-12-29,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-21.826926902724143,
2024-01-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.315453012145358,
2024-02-29,-8.748143609497166,-5.292763627267194,-0.46873354269294465,1.5387480301695071,
2024-03-28,-8.748143609497166,-5.292763627267194,-0.46873354269294465,3.0281048752830144,
2024-04-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,2.542716805467145,
2024-05-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,2.5057546672341346,
2024-06-28,-8.748143609497166,-5.292763627267194,-0.46873354269294465,0.5209703755919718,
2024-07-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-4.130379427006676,
2024-08-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-5.753412673591754,
2024-09-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-7.265452781176568,
2024-10-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-7.946568326345522,
2024-11-29,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-6.920335091061137,
2024-12-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,
2025-01-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-84.75711960141521
2025-02-28,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-49.4958443733088
2025-03-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-33.28838207806005
2025-04-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,4.051564419606841
2025-05-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,15.12645344989481
2025-06-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,9.63927037929044
2025-07-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,9.64132348302687
2025-08-29,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-2.273055531115788
2025-09-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-35.04722511002183
2025-10-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-50.13976144012481
2025-11-28,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-43.629343081829944
2025-12-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-37.85227287856369
2026-01-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-32.306885250988
2026-02-27,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-28.355299006825767
2026-03-31,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-24.977553692704873
2026-04-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-22.37455631518276
2026-05-29,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-17.778704808348714
2026-06-30,-8.748143609497166,-5.292763627267194,-0.46873354269294465,-8.96897287226367,-15.769491737886415
