n_trades,hit_rate,avg_pnl_bp,sharpe,total_pnl_bp,median_pnl_bp,max_dd_bp,hold_days,cost_bp,variant
52,0.5576923076923077,0.19230769230776337,0.17032250866312215,10.000000000003695,0.49999999999954525,-29.000000000003467,5,0.0,spread
52,0.28846153846153844,-0.8076923076922367,-0.7153545363847857,-41.999999999996305,-0.5000000000004547,-49.4999999999967,5,1.0,spread
52,0.21153846153846154,-1.8076923076922367,-1.6010315814326936,-93.9999999999963,-1.5000000000004547,-99.99999999999613,5,2.0,spread
47,0.5957446808510638,0.8510638297873974,0.6322070025117107,40.000000000007674,0.5000000000009663,-28.50000000000108,10,0.0,spread
47,0.425531914893617,-0.1489361702126027,-0.11063622543940685,-6.999999999992326,-0.49999999999903366,-41.50000000000057,10,1.0,spread
47,0.2765957446808511,-1.1489361702126026,-0.8534794533905243,-53.999999999992326,-1.4999999999990337,-55.50000000000057,10,2.0,spread
36,0.8055555555555556,3.8611111111112706,1.973639764033865,139.00000000000574,3.2500000000013074,-7.999999999998408,21,0.0,spread
36,0.7777777777777778,2.8611111111112706,1.4624812639963385,103.00000000000574,2.2500000000013074,-12.999999999999318,21,1.0,spread
36,0.6388888888888888,1.8611111111112706,0.9513227639588118,67.00000000000574,1.2500000000013074,-18.999999999999318,21,2.0,spread
18,1.0,12.652777777777954,18.770525674445032,227.75000000000318,12.87500000000108,0.0,42,0.0,spread
18,1.0,11.652777777777954,17.287015412578928,209.75000000000318,11.87500000000108,0.0,42,1.0,spread
18,1.0,10.652777777777954,15.80350515071282,191.75000000000318,10.87500000000108,0.0,42,2.0,spread
1,1.0,16.499999999999204,0.0,16.499999999999204,16.499999999999204,0.0,63,0.0,spread
1,1.0,15.499999999999204,0.0,15.499999999999204,15.499999999999204,0.0,63,1.0,spread
1,1.0,14.499999999999204,0.0,14.499999999999204,14.499999999999204,0.0,63,2.0,spread
52,0.6153846153846154,0.5144230769231556,0.5993862564469602,26.750000000004093,0.5000000000016769,-11.750000000003524,5,0.0,butterfly
52,0.21153846153846154,-1.4855769230768443,-1.7309378807670333,-77.24999999999591,-1.4999999999983231,-81.49999999999801,5,2.0,butterfly
52,0.019230769230769232,-3.4855769230768443,-4.061262017981027,-181.2499999999959,-3.499999999998323,-180.4999999999958,5,4.0,butterfly
47,0.6382978723404256,1.3191489361706155,1.1001761225984914,62.00000000001893,0.49999999999954525,-9.49999999999278,10,0.0,butterfly
47,0.3191489361702128,-0.6808510638293845,-0.5678328374696799,-31.99999999998107,-1.5000000000004547,-54.49999999999551,10,2.0,butterfly
47,0.1276595744680851,-2.6808510638293845,-2.235841797537851,-125.99999999998107,-3.5000000000004547,-124.74999999998283,10,4.0,butterfly
36,0.7777777777777778,3.6041666666669414,2.1611249255538003,129.7500000000099,4.249999999997556,-10.999999999997101,21,0.0,butterfly
36,0.6111111111111112,1.6041666666669414,0.9618879726454244,57.75000000000989,2.2499999999975557,-34.99999999999608,21,2.0,butterfly
36,0.5,-0.3958333333330586,-0.2373489802629513,-14.24999999999011,0.24999999999755573,-63.499999999993975,21,4.0,butterfly
18,0.9444444444444444,7.402777777777993,7.939825600069492,133.25000000000387,7.6250000000001705,0.0,42,0.0,butterfly
18,0.8888888888888888,5.402777777777993,5.794732004553594,97.25000000000387,5.6250000000001705,-3.5000000000004547,42,2.0,butterfly
18,0.8333333333333334,3.4027777777779926,3.6496384090376957,61.250000000003865,3.6250000000001705,-8.750000000000114,42,4.0,butterfly
1,1.0,11.389999999998679,0.0,11.389999999998679,11.389999999998679,0.0,63,0.0,butterfly
1,1.0,9.389999999998679,0.0,9.389999999998679,9.389999999998679,0.0,63,2.0,butterfly
1,1.0,7.389999999998679,0.0,7.389999999998679,7.389999999998679,0.0,63,4.0,butterfly
