entry_date,side,entry_z,symbol,exit_date,held_days,reason,pnl,pnl_volbp
2018-08-30,1,-2.7874105037316466,UBZ18,2018-09-10,11,max_hold,-95661.51551179303,-3.061168496377377
2018-10-04,-1,2.813676952212448,UBZ18,2018-10-09,5,z_exit,26270.536118673248,0.840657155797544
2018-11-29,1,-2.6836316880468436,UBH19,2018-12-03,4,z_exit,131085.5502800763,4.194737608962442
2018-12-28,1,-4.2748885277007345,UBH19,2018-12-31,3,z_exit,-173927.17131447454,-5.565669482063186
2019-08-07,-1,2.726278278141058,UBU19,2019-08-08,1,z_exit,-665670.6713116308,-21.301461481972183
2019-08-08,1,-5.782955023395273,UBU19,2019-08-19,11,max_hold,183265.0163061089,5.864480521795485
2019-08-22,1,-3.0693679627568984,UBU19,2019-08-26,1,roll,105179.74135994734,3.365751723518315
2019-09-11,1,-3.070787853175184,UBZ19,2019-09-12,1,z_exit,109254.5222539485,3.496144712126352
2019-09-23,-1,2.6850358293418473,UBZ19,2019-09-30,7,z_exit,-178325.9058291549,-5.7064289865329565
2020-03-02,-1,2.934815805248948,UBM20,2020-03-12,10,max_hold,2849986.1602483494,91.19955712794719
2020-03-12,1,-5.3185356166504425,UBM20,2020-03-23,11,max_hold,2190412.902785994,70.09321288915181
2020-03-25,1,-3.2729174338862688,UBM20,2020-03-27,2,z_exit,2171426.4748698324,69.48564719583463
2020-03-27,1,-2.572449578738903,UBM20,2020-04-01,5,z_exit,-258504.08409516502,-8.27213069104528
2020-10-07,1,-2.673256294258407,UBZ20,2020-10-08,1,z_exit,341543.50621136586,10.929392198763708
2020-11-02,1,-2.688500566232529,UBZ20,2020-11-03,1,z_exit,164588.6747884049,5.266837593228956
2021-02-26,1,-3.1962764276081708,UBM21,2021-03-05,7,z_exit,-369856.7673127542,-11.835416554008134
2021-03-19,-1,2.795707581214972,UBM21,2021-03-24,5,z_exit,-118343.19285296142,-3.7869821712947656
2021-06-01,-1,2.6389881773334816,UBU21,2021-06-02,1,z_exit,84020.6344118144,2.6886603011780608
2021-10-01,-1,2.6265488474874057,UBZ21,2021-10-04,3,z_exit,-26178.16789528149,-0.8377013726490077
2021-12-06,1,-3.333751299267212,UBH22,2021-12-08,2,z_exit,-100624.56571874634,-3.219986102999883
2021-12-16,1,-2.7317529673155994,UBH22,2021-12-27,11,max_hold,218037.67387206107,6.9772055639059545
2022-01-25,1,-2.624521003056729,UBH22,2022-01-27,2,z_exit,-183070.83761619937,-5.858266803718379
2022-02-03,1,-3.5598505037820507,UBH22,2022-02-04,1,z_exit,13400.667097073438,0.42882134710635
2022-02-10,1,-3.1352003912381234,UBH22,2022-02-22,8,roll,172396.89556194548,5.5167006579822555
2022-03-08,1,-4.351469848985833,UBM22,2022-03-11,3,z_exit,-111041.72886587091,-3.553335323707869
2022-05-10,-1,2.714916512311348,UBM22,2022-05-11,1,z_exit,277697.7732370227,8.886328743584725
2022-06-14,1,-3.398350224075406,UBU22,2022-06-15,1,z_exit,275341.66749614995,8.810933359876799
2022-07-28,1,-2.591074927496901,UBU22,2022-08-01,4,z_exit,-185689.53204066935,-5.942065025301419
2023-01-09,-1,2.628693162431364,UBH23,2023-01-19,10,max_hold,-243640.33353121788,-7.7964906729989725
2023-03-14,1,-3.195134165627959,UBM23,2023-03-16,2,z_exit,99659.4275427185,3.189101681366992
2023-03-24,-1,4.690946860406615,UBM23,2023-03-29,5,z_exit,-4735.343899525906,-0.15153100478482898
2023-10-18,-1,2.8749297227573343,UBZ23,2023-10-30,12,max_hold,102752.77489371604,3.288088796598913
2023-12-01,1,-3.0302802776233766,UBH24,2023-12-06,5,z_exit,-125436.95407318011,-4.013982530341764
2024-04-08,1,-2.687747844487911,UBM24,2024-04-09,1,z_exit,59937.656658348715,1.9180050130671589
2024-05-02,1,-2.7773595176447943,UBM24,2024-05-03,1,z_exit,-4162.6418171460955,-0.13320453814867506
2024-06-06,1,-3.222459681979675,UBU24,2024-06-14,8,z_exit,49357.44267825727,1.5794381657042327
2024-06-20,1,-3.076093354912301,UBU24,2024-06-25,5,z_exit,146300.47856560678,4.6816153140994174
2024-08-27,1,-2.8547011603048067,UBZ24,2024-09-06,10,max_hold,-174802.0713008458,-5.5936662816270655
