root,year,n,pct_ok,bad_median_abs_bnoc32
ZB,2018,145,1.0,0.0
ZB,2019,250,1.0,0.0
ZB,2020,251,1.0,0.0
ZB,2021,251,0.9282868525896414,98.98809710634896
ZB,2022,249,0.8634538152610441,84.82193869961179
ZB,2023,249,0.9357429718875502,40.450476316664435
ZB,2024,251,1.0,0.0
ZB,2025,250,1.0,0.0
ZB,2026,156,1.0,0.0
ZN,2018,145,1.0,0.0
ZN,2019,248,1.0,0.0
ZN,2020,251,1.0,0.0
ZN,2021,250,1.0,0.0
ZN,2022,248,1.0,0.0
ZN,2023,250,0.976,76.91213588886421
ZN,2024,251,1.0,0.0
ZN,2025,250,1.0,0.0
ZN,2026,156,1.0,0.0
UB,2018,145,1.0,0.0
UB,2019,241,1.0,0.0
UB,2020,248,1.0,0.0
UB,2021,251,1.0,0.0
UB,2022,247,1.0,0.0
UB,2023,247,0.979757085020243,282.2841218887802
UB,2024,247,1.0,0.0
UB,2025,249,1.0,0.0
UB,2026,156,1.0,0.0
